Time,s	TEY,A	Shutter
0	9.43371E-11	0
0.028919	8.934145E-11	0
0.057842	9.27256E-11	0
0.086768	9.482055E-11	0
0.11421	9.417595E-11	0
0.142135	9.191985E-11	0
0.17006	9.288675E-11	0
0.196503	9.417595E-11	0
0.224434	9.24033E-11	0
0.253354	9.030835E-11	0
0.279285	9.288675E-11	0
0.306756	9.14364E-11	0
0.335679	9.01472E-11	0
0.362607	9.17587E-11	0
0.390535	9.417595E-11	0
0.418973	8.692419E-11	0
0.448894	8.966375E-11	0
0.478814	9.578745E-11	0
0.507255	9.482055E-11	0
0.535179	9.256445E-11	0
0.562107	9.14364E-11	0
0.589037	9.127525E-11	0
0.615478	9.07918E-11	0
0.643405	9.43371E-11	0
0.671328	9.643205E-11	0
0.699812	9.27256E-11	0
0.72674	9.063065E-11	0
0.752671	9.224215E-11	0
0.780597	9.385365E-11	0
0.808062	9.2081E-11	0
0.83499	9.40148E-11	0
0.860921	9.095295E-11	0
0.889847	8.805224E-11	0
0.916311	9.256445E-11	0
0.943239	9.385365E-11	0
0.970169	8.853569E-11	0
0.997097	8.998605E-11	0
1.026532	9.514285E-11	0
1.054458	9.65932E-11	0
1.082384	9.224215E-11	0
1.112007	9.75601E-11	0
1.137937	9.288675E-11	0
1.165864	8.998605E-11	0
1.192797	9.127525E-11	0
1.221647	9.385365E-11	0
1.2492	9.159755E-11	0
1.276129	9.17587E-11	0
1.303564	9.191985E-11	0
1.329531	9.030835E-11	0
1.357662	9.01472E-11	0
1.384863	9.063065E-11	0
1.41257	9.449825E-11	0
1.440676	8.95026E-11	0
1.468648	8.95026E-11	0
1.496793	9.07918E-11	0
1.526468	9.30479E-11	0
1.55355	9.04695E-11	0
1.581487	9.24033E-11	0
1.60899	9.256445E-11	0
1.638094	9.11141E-11	0
1.66602	9.224215E-11	0
1.692974	9.095295E-11	0
1.721409	9.43371E-11	0
1.747341	9.11141E-11	0
1.774267	9.2081E-11	0
1.801737	9.159755E-11	0
1.829663	9.07918E-11	0
1.857589	9.449825E-11	0
1.884521	9.224215E-11	0
1.911034	9.159755E-11	0
1.938936	8.998605E-11	0
1.966803	9.288675E-11	0
1.994857	9.36925E-11	0
2.021769	9.063065E-11	0
2.049895	9.07918E-11	0
2.077131	8.934145E-11	0
2.10629	9.030835E-11	0
2.133423	9.288675E-11	0
2.161522	9.78824E-11	0
2.18802	9.417595E-11	0
2.214726	9.095295E-11	0
2.242632	9.030835E-11	0
2.270746	9.868815E-11	0
2.297495	9.385365E-11	0
2.324706	9.11141E-11	0
2.352095	9.14364E-11	0
2.378899	9.353135E-11	0
2.407943	9.11141E-11	0
2.435843	9.385365E-11	0
2.46277	9.2081E-11	0
2.489703	8.708534E-11	0
2.518392	9.36925E-11	0
2.545378	9.07918E-11	0
2.572865	9.095295E-11	0
2.601864	9.36925E-11	0
2.629688	9.063065E-11	0
2.65782	9.127525E-11	0
2.686147	9.030835E-11	0
2.713897	9.127525E-11	0
2.741843	9.36925E-11	0
2.768734	9.095295E-11	0
2.797345	9.288675E-11	0
2.825681	9.04695E-11	0
2.853879	8.853569E-11	0
2.88188	9.01472E-11	0
2.909811	9.43371E-11	0
2.937913	9.514285E-11	0
2.964816	9.11141E-11	0
2.992778	9.11141E-11	0
3.020216	9.159755E-11	0
3.049139	9.030835E-11	0
3.078074	9.804355E-11	0
3.10949	9.11141E-11	0
3.138828	9.127525E-11	0
3.165257	9.01472E-11	0
3.192226	9.49817E-11	0
3.220655	9.224215E-11	0
3.248582	9.030835E-11	0
3.27551	8.740764E-11	0
3.303653	9.288675E-11	0
3.330059	9.07918E-11	0
3.356989	9.030835E-11	0
3.384913	9.288675E-11	0
3.41236	9.14364E-11	0
3.440847	9.320905E-11	0
3.468936	9.063065E-11	0
3.498647	8.918029E-11	0
3.525626	9.11141E-11	0
3.553782	9.33702E-11	0
3.581344	9.43371E-11	0
3.607961	9.14364E-11	0
3.638414	9.127525E-11	0
3.666016	9.224215E-11	0
3.694888	9.30479E-11	0
3.723751	9.288675E-11	0
3.751468	9.191985E-11	0
3.779622	9.49817E-11	0
3.808807	9.063065E-11	0
3.837664	9.320905E-11	0
3.864906	9.127525E-11	0
3.893608	9.320905E-11	0
3.921408	9.36925E-11	0
3.950708	9.224215E-11	0
3.9797	8.998605E-11	0
4.00718	9.27256E-11	0
4.035752	9.46594E-11	0
4.065122	9.191985E-11	0
4.093256	9.43371E-11	0
4.120725	9.14364E-11	0
4.1497	9.191985E-11	0
4.176618	9.030835E-11	0
4.205254	8.756879E-11	0
4.233896	8.966375E-11	0
4.262044	9.224215E-11	0
4.290442	9.353135E-11	0
4.318426	9.17587E-11	0
4.345591	9.030835E-11	0
4.373517	9.2081E-11	0
4.401446	9.43371E-11	0
4.42988	9.449825E-11	0
4.458802	9.24033E-11	0
4.486725	9.417595E-11	0
4.51321	8.740764E-11	0
4.540136	9.095295E-11	0
4.57006	8.98249E-11	0
4.598137	9.56263E-11	0
4.62458	9.095295E-11	0
4.653502	8.901914E-11	0
4.680431	9.14364E-11	0
4.706873	9.07918E-11	0
4.734903	9.43371E-11	0
4.76222	8.821339E-11	0
4.790722	9.224215E-11	0
4.818851	8.789109E-11	0
4.846778	8.805224E-11	0
4.872726	9.191985E-11	0
4.900048	9.127525E-11	0
4.928733	9.27256E-11	0
4.956142	9.191985E-11	0
4.984067	9.288675E-11	0
5.012053	9.610975E-11	0
5.043967	9.288675E-11	0
5.071893	8.98249E-11	0
5.101848	9.095295E-11	0
5.129291	9.01472E-11	0
5.156218	8.740764E-11	0
5.184143	9.385365E-11	0
5.211609	9.14364E-11	0
5.239534	8.934145E-11	0
5.26746	9.063065E-11	0
5.295419	9.224215E-11	0
5.321884	8.918029E-11	0
5.349809	9.159755E-11	0
5.377764	9.36925E-11	0
5.404665	9.191985E-11	0
5.434117	8.966375E-11	0
5.462042	8.837454E-11	0
5.491966	9.36925E-11	0
5.520403	9.07918E-11	0
5.547332	9.127525E-11	0
5.575257	9.40148E-11	0
5.60421	9.514285E-11	0
5.632657	9.095295E-11	0
5.659721	9.01472E-11	0
5.686975	9.385365E-11	0
5.715425	9.40148E-11	0
5.744443	9.256445E-11	0
5.77237	9.30479E-11	0
5.800324	9.07918E-11	0
5.828772	9.224215E-11	0
5.85668	9.320905E-11	0
5.884606	9.56263E-11	0
5.911857	9.2081E-11	0
5.939782	9.095295E-11	0
5.966711	9.30479E-11	0
