SRSRGA log file, Units: Torr, Noise floor: 6, Focus Voltage: 90 V, Ion Energy: 12 eV, Electron Energy: 70 eV, CEM Voltage: 1074 V, Filament Current: 0.9976 mA 
Time	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
2024/12/15 04:24:46.0	1.1449e-09	4.1828e-08	3.9502e-11	1.8721e-12	2.6122e-12	1.8721e-12	2.0177e-11	2.1971e-11	1.8721e-12	1.8721e-12	3.8598e-12	1.2742e-10	5.9126e-11	1.6034e-10	2.4592e-10	3.5664e-10	1.9953e-09	7.5874e-09	3.2633e-11	3.4265e-11	2.2650e-13	2.6888e-11	2.1846e-12	3.6582e-11	4.8319e-11	2.0210e-10	3.6014e-10	1.6031e-09	4.3012e-10	1.5567e-10	8.9317e-11	1.5007e-10	1.2356e-11	2.3227e-11	2.5444e-11	2.9133e-11	3.2129e-11	5.3896e-11	2.0404e-10	7.2278e-11	3.9131e-10	1.6231e-10	2.8593e-10	5.8352e-10	7.2907e-11	2.2408e-11	3.2413e-11	2.6282e-11	3.0423e-11	4.9687e-11	4.0241e-11	2.2274e-11	4.5991e-11	4.0107e-11	1.6349e-10	1.1272e-10	1.4934e-10	2.8123e-11	2.7201e-11	3.8685e-11	3.4672e-11	2.6442e-11	3.4915e-11	3.6980e-11	4.0191e-11	4.2103e-11	4.7761e-11	2.8123e-11	7.4729e-11	8.3422e-11	5.7263e-11	2.5041e-11	3.3416e-11	3.6645e-11	4.2499e-11	4.2687e-11	4.1165e-11	2.3589e-11	3.8602e-11	9.8802e-12	2.3355e-11	1.7217e-11	3.2486e-11	3.4008e-11	3.1852e-11	4.0914e-11	3.3251e-11	3.6980e-11	2.7788e-11	2.6763e-11	3.2261e-11	3.4948e-11	3.9369e-11	3.5211e-11	1.2795e-11	3.3041e-11	2.1367e-11	1.9562e-11	3.1016e-11	3.7715e-11
2024/12/15 04:24:49.5	1.1670e-09	4.2623e-08	3.8883e-11	1.0118e-12	1.8386e-12	1.6313e-12	1.5280e-12	1.8337e-12	2.3566e-12	3.3285e-11	8.0205e-13	1.1938e-10	4.7692e-11	1.4423e-10	2.3022e-10	3.7128e-10	1.9537e-09	7.5866e-09	2.7573e-11	4.0549e-11	2.0796e-11	3.7060e-11	-3.4656e-14	1.9347e-11	4.1247e-11	1.8888e-10	3.6649e-10	1.5939e-09	4.3580e-10	1.3398e-10	7.8630e-11	1.4842e-10	2.3226e-11	2.0729e-11	2.3333e-11	5.2216e-11	3.8378e-11	4.7692e-11	2.0747e-10	6.9526e-11	3.9511e-10	1.7674e-10	2.8860e-10	5.9531e-10	6.3577e-11	1.9195e-11	2.3374e-11	3.0467e-11	3.8186e-11	5.9396e-11	5.2428e-11	2.4578e-11	4.2955e-11	3.7921e-11	1.7797e-10	1.2814e-10	1.7492e-10	2.0495e-11	3.0189e-11	4.0183e-11	3.1905e-11	2.5736e-11	2.8068e-11	3.4818e-11	3.8110e-11	3.2327e-11	5.1709e-11	2.6888e-11	9.8831e-11	9.2867e-11	6.0510e-11	2.1093e-11	3.4953e-11	3.1173e-11	3.2857e-11	2.9870e-11	3.6718e-11	3.0743e-11	2.2039e-11	2.9627e-11	3.5425e-11	1.9195e-11	3.3916e-11	2.9116e-11	2.7876e-11	3.8257e-11	2.4492e-11	2.3491e-11	2.9811e-11	3.5862e-11	1.8864e-11	2.6294e-11	2.9887e-11	3.5208e-11	3.7982e-11	2.8851e-11	4.1343e-11	2.1085e-11	3.4903e-11	2.7307e-11
2024/12/15 04:24:53.0	1.1141e-09	4.2402e-08	3.7386e-11	3.1188e-11	2.3362e-12	3.3753e-12	3.3759e-12	3.2704e-11	1.7198e-12	3.1473e-11	4.7652e-14	1.1186e-10	5.4128e-11	1.5808e-10	2.5548e-10	3.9816e-10	1.9485e-09	7.6426e-09	3.0052e-11	3.8886e-11	1.3906e-12	1.8794e-11	2.8530e-12	2.2461e-11	4.4203e-11	2.0600e-10	3.9483e-10	1.5746e-09	4.2614e-10	1.4783e-10	7.9482e-11	1.3733e-10	1.1398e-11	2.4412e-11	2.7923e-11	2.9218e-11	4.0800e-11	5.7094e-11	2.0687e-10	6.4933e-11	3.9029e-10	1.5650e-10	2.8526e-10	6.0617e-10	6.5078e-11	1.8441e-11	3.1058e-11	3.4378e-11	3.6543e-11	5.3446e-11	3.9426e-11	2.1275e-11	4.4610e-11	3.4114e-11	1.7794e-10	1.1257e-10	1.4560e-10	2.4149e-11	3.8366e-11	4.3961e-11	3.2380e-11	2.7039e-11	3.0127e-11	4.0264e-11	3.0115e-11	3.0559e-11	5.4257e-11	3.0321e-11	9.1737e-11	8.0943e-11	6.6116e-11	2.5150e-11	3.0718e-11	3.0649e-11	3.5607e-11	4.6004e-11	3.0448e-11	3.1178e-11	2.3540e-11	3.5437e-11	2.0086e-11	1.7861e-11	3.2120e-11	2.7451e-11	2.8801e-11	3.4779e-11	4.1408e-11	4.0074e-11	3.4094e-11	6.6788e-12	1.8794e-11	4.0339e-11	3.9685e-11	2.8387e-11	2.9163e-11	3.2831e-11	3.8560e-11	2.0494e-11	3.0199e-11	2.9809e-11
2024/12/15 04:24:56.5	1.1663e-09	4.2375e-08	3.6691e-11	2.5570e-11	2.5571e-12	1.9321e-12	2.9767e-12	2.8709e-12	3.2893e-12	-1.4172e-13	1.4141e-12	1.2258e-10	4.9094e-11	1.5611e-10	2.4606e-10	3.7532e-10	1.9709e-09	7.7597e-09	2.6690e-11	4.0934e-11	7.9524e-13	3.6078e-11	3.9267e-12	4.1342e-11	4.3403e-11	2.0248e-10	3.7049e-10	1.6203e-09	4.2853e-10	1.2761e-10	9.2440e-11	1.6706e-10	1.0596e-11	1.9611e-11	3.6856e-11	2.5336e-11	4.7595e-11	4.9945e-11	2.1378e-10	6.6518e-11	3.9526e-10	1.7034e-10	3.0199e-10	6.1473e-10	7.1450e-11	1.8173e-11	2.5851e-11	3.3246e-11	4.0747e-11	5.2702e-11	4.4443e-11	2.4806e-11	4.0347e-11	3.6955e-11	1.7352e-10	1.2028e-10	1.5411e-10	2.7143e-11	3.2921e-11	1.3958e-11	3.5750e-11	4.0614e-11	3.1221e-11	2.8739e-11	3.9858e-11	3.7640e-11	5.8783e-11	2.5544e-11	9.4069e-11	8.6274e-11	6.9069e-11	2.3608e-11	1.3709e-11	2.8365e-11	2.8160e-11	5.1581e-11	3.5677e-11	3.2477e-11	2.5050e-11	2.3978e-11	2.0866e-11	1.6321e-11	2.6662e-11	2.7992e-11	2.8995e-11	1.1135e-11	4.1935e-11	3.5534e-11	3.2724e-11	2.7067e-11	4.3281e-11	3.6438e-11	3.3279e-11	3.3883e-11	2.8453e-11	1.2589e-11	4.0626e-11	4.3000e-11	2.8713e-11	3.5663e-11
2024/12/15 04:25:00.0	1.2656e-09	4.2403e-08	3.5005e-11	6.1094e-12	4.1216e-13	-5.3037e-13	2.5077e-11	2.2790e-11	1.2390e-12	1.2340e-12	5.9238e-12	1.2341e-10	4.7092e-11	1.4957e-10	2.5651e-10	3.8683e-10	1.9618e-09	7.5540e-09	2.5447e-11	4.2614e-11	3.1203e-12	2.6590e-11	4.1216e-13	1.9423e-11	2.9016e-11	1.9267e-10	3.6080e-10	1.6043e-09	4.3233e-10	1.3394e-10	8.5822e-11	1.4515e-10	8.2736e-12	4.0224e-11	2.3861e-11	2.8405e-11	3.2300e-11	5.0538e-11	2.0311e-10	6.7861e-11	3.8683e-10	1.6058e-10	2.8525e-10	5.8036e-10	7.1192e-11	2.1098e-11	3.3898e-11	3.0445e-11	3.6678e-11	4.6425e-11	3.9571e-11	2.6547e-11	4.2362e-11	4.0097e-11	1.7291e-10	1.2418e-10	1.5394e-10	2.8652e-11	3.7843e-11	1.2635e-11	2.6216e-11	4.0665e-11	2.4985e-11	3.7868e-11	3.0496e-11	3.1284e-11	5.6361e-11	2.1439e-11	8.3748e-11	8.2035e-11	6.1257e-11	2.0887e-11	3.7868e-11	1.6391e-11	3.5915e-11	3.2808e-11	3.4083e-11	2.3394e-11	1.8949e-11	3.9497e-11	2.1104e-11	2.1439e-11	3.2165e-11	2.7276e-11	3.0488e-11	3.5375e-11	8.6047e-12	3.6897e-11	3.5262e-11	3.7868e-11	1.6175e-11	1.0034e-11	3.4354e-11	2.8788e-11	3.3278e-11	1.3180e-11	2.0493e-11	1.7681e-11	2.5430e-11	2.5744e-11
2024/12/15 04:25:03.5	1.2028e-09	4.2761e-08	3.5641e-11	-8.4227e-13	1.7582e-12	-6.3310e-13	1.2365e-12	2.6432e-11	2.5955e-12	7.1355e-13	1.8634e-12	1.0453e-10	4.4843e-11	1.5040e-10	2.3801e-10	3.7412e-10	2.0024e-09	7.7808e-09	2.2816e-11	3.8159e-11	-2.2279e-13	4.3902e-12	1.8683e-12	2.9080e-11	5.0189e-11	1.8607e-10	3.9234e-10	1.5261e-09	4.1383e-10	1.2936e-10	8.2900e-11	1.4514e-10	9.7205e-12	3.7113e-11	2.4112e-11	2.0634e-11	3.1832e-11	5.2727e-11	2.1027e-10	6.3796e-11	3.7442e-10	1.4361e-10	2.9092e-10	5.7304e-10	6.8871e-11	1.8388e-11	3.2092e-11	2.4285e-11	3.0465e-11	5.1214e-11	3.9403e-11	2.0557e-11	4.0419e-11	4.1738e-11	1.8641e-10	1.1786e-10	1.5647e-10	2.0992e-11	3.5054e-11	3.8344e-11	2.5807e-11	2.4047e-11	2.4663e-11	3.1832e-11	3.2511e-11	3.4269e-11	4.2941e-11	2.4256e-11	8.8345e-11	8.0843e-11	5.8111e-11	2.0167e-11	1.1614e-11	3.9349e-11	1.3317e-11	3.1221e-11	4.4425e-11	2.8060e-11	2.2069e-11	3.5554e-11	2.1113e-11	1.5710e-11	2.9089e-11	2.7935e-11	2.3759e-11	7.5693e-12	8.3967e-12	1.4682e-11	3.1325e-11	2.0534e-11	3.4617e-11	2.6276e-11	2.7220e-11	3.3886e-11	2.7219e-11	2.8492e-11	1.7453e-11	2.0320e-11	3.6470e-11	3.3747e-11
2024/12/15 04:25:07.0	1.2072e-09	4.2679e-08	3.6981e-11	-4.6848e-13	6.6713e-13	1.2997e-11	8.7445e-13	4.0189e-12	2.0305e-12	3.1190e-11	1.1870e-12	1.0365e-10	4.8588e-11	1.5621e-10	2.3696e-10	3.8809e-10	2.0793e-09	7.5581e-09	2.3777e-11	4.3958e-11	2.5126e-13	3.0710e-11	1.7099e-12	2.2089e-11	4.2893e-11	1.9085e-10	3.6012e-10	1.5764e-09	4.3541e-10	1.4689e-10	8.6705e-11	1.4675e-10	1.1421e-11	3.3966e-11	2.6364e-11	2.5961e-11	3.5508e-11	5.2903e-11	2.0398e-10	6.3539e-11	3.9513e-10	1.6319e-10	3.0511e-10	5.9168e-10	7.5305e-11	1.7812e-11	3.1126e-11	3.0689e-12	3.6027e-11	6.2716e-11	4.4360e-11	2.3393e-11	4.7761e-11	3.8771e-11	1.8391e-10	1.2188e-10	1.5112e-10	2.9784e-11	2.6356e-11	1.3561e-11	3.3480e-11	3.1623e-11	3.0701e-11	2.7307e-11	3.9941e-11	1.2270e-11	4.8340e-11	2.7791e-11	7.9279e-11	7.3592e-11	6.6933e-11	2.1723e-11	3.0957e-11	3.7350e-11	1.4008e-11	3.7720e-11	3.4490e-11	2.7915e-11	2.0869e-11	3.7350e-11	3.2574e-11	4.5178e-11	3.2566e-11	2.5477e-11	3.2951e-11	2.9847e-11	3.5695e-11	3.0957e-11	3.0572e-11	2.5063e-11	2.6963e-11	3.5273e-11	3.1544e-11	3.3580e-11	1.5390e-11	3.9422e-11	3.5634e-11	4.6415e-11	2.6688e-11	3.4484e-11
2024/12/15 04:25:10.5	1.1799e-09	4.2374e-08	4.0859e-11	1.3955e-12	3.1495e-11	3.2000e-11	1.1950e-12	5.9293e-12	3.0708e-12	1.2903e-12	3.2768e-11	1.2244e-10	5.7640e-11	1.6301e-10	2.5698e-10	3.7276e-10	2.0226e-09	7.7169e-09	3.1125e-11	3.4686e-11	1.3887e-12	2.6434e-11	1.5960e-12	2.3270e-11	5.5091e-11	2.0595e-10	3.6365e-10	1.5356e-09	4.0732e-10	1.4447e-10	8.7552e-11	1.4467e-10	1.0839e-11	4.0038e-11	2.5799e-11	4.4698e-11	3.2390e-11	5.1284e-11	2.0592e-10	7.4555e-11	3.9701e-10	1.4261e-10	2.9975e-10	5.6826e-10	6.5065e-11	2.3835e-11	3.4901e-11	6.7827e-12	3.5474e-11	5.3274e-11	4.6938e-11	2.2051e-11	4.8950e-11	3.5729e-11	1.8817e-10	1.2023e-10	1.5158e-10	2.8994e-11	9.6171e-12	3.1451e-11	3.2802e-11	3.9361e-11	3.0179e-11	2.6591e-11	3.3989e-11	2.9813e-11	4.0699e-11	2.4685e-11	8.1543e-11	8.4992e-11	5.9946e-11	2.2874e-11	1.0724e-11	1.3887e-11	3.0660e-11	3.2797e-11	4.0985e-11	2.9738e-11	2.2047e-11	3.6099e-11	2.2515e-11	4.5408e-11	5.0729e-11	3.0490e-11	3.1875e-11	3.0789e-11	3.3782e-11	2.4360e-11	2.7884e-11	3.1113e-11	1.3867e-11	3.1260e-11	3.5606e-11	2.8944e-11	3.8252e-11	2.6211e-11	1.9653e-11	1.8267e-11	3.2707e-12	9.6171e-12
2024/12/15 04:25:14.0	1.1646e-09	4.2183e-08	3.4542e-11	6.9560e-13	1.8281e-12	2.6294e-11	2.9780e-12	3.3372e-11	4.7652e-13	1.9544e-12	3.2954e-12	1.3429e-10	4.8981e-11	1.5204e-10	2.3522e-10	3.5978e-10	2.0330e-09	7.5255e-09	2.6704e-11	4.4735e-11	2.5602e-12	3.5544e-11	1.8331e-12	1.9866e-11	3.6936e-11	1.7868e-10	3.7556e-10	1.5762e-09	4.0391e-10	1.4154e-10	8.6077e-11	1.4757e-10	8.7513e-12	1.8700e-11	2.5612e-11	3.3443e-11	3.2567e-11	5.3681e-11	2.0398e-10	6.8167e-11	3.9374e-10	1.5256e-10	2.9649e-10	5.8426e-10	7.7156e-11	1.9737e-11	3.0681e-11	3.6969e-11	3.3253e-11	5.4806e-11	4.6629e-11	2.3909e-11	4.3670e-11	4.0197e-11	1.7628e-10	1.1986e-10	1.6484e-10	2.4152e-11	3.5807e-11	1.3233e-11	2.5209e-11	3.4377e-11	4.0088e-11	2.8980e-11	3.3729e-11	2.6233e-11	4.9529e-11	2.8308e-11	9.6114e-11	9.0573e-11	6.2292e-11	2.8213e-11	3.8376e-11	1.7055e-11	2.8571e-11	3.6699e-11	3.5513e-11	2.3907e-11	2.0447e-11	4.0404e-11	2.5361e-11	1.6967e-11	4.5599e-11	2.5275e-11	2.9466e-11	3.5694e-11	2.6807e-11	4.3419e-12	3.5258e-11	3.3501e-11	3.1654e-11	2.8305e-11	3.7967e-11	9.5113e-12	1.5490e-11	3.1217e-11	2.1046e-11	1.7173e-11	3.7199e-11	2.6601e-11
2024/12/15 04:25:17.5	1.2267e-09	4.2375e-08	3.6718e-11	1.0487e-11	2.6487e-12	2.9613e-12	3.3190e-11	1.8114e-12	2.5417e-12	1.4989e-12	9.7904e-13	1.2038e-10	5.1717e-11	1.5911e-10	2.3527e-10	3.9336e-10	2.0051e-09	7.6311e-09	2.8562e-11	4.0045e-11	3.6234e-12	3.0307e-11	9.7904e-13	3.9827e-11	4.4039e-11	1.8543e-10	3.8373e-10	1.5410e-09	4.4618e-10	1.4080e-10	8.4914e-11	1.4971e-10	6.9993e-12	2.3914e-11	3.8239e-11	4.0731e-11	2.9417e-11	5.2832e-11	2.2839e-10	6.0584e-11	3.9305e-10	1.6583e-10	2.8107e-10	5.9233e-10	6.6218e-11	2.1376e-11	2.9873e-11	3.6555e-11	1.3957e-11	5.7918e-11	4.7295e-11	2.4497e-11	4.4713e-11	3.9520e-11	1.7624e-10	1.2038e-10	1.5407e-10	2.5588e-11	2.6952e-11	3.0602e-11	3.9130e-11	3.4611e-11	3.2801e-11	2.9211e-11	3.2291e-11	2.8600e-11	4.4713e-11	2.6202e-11	8.5414e-11	8.3670e-11	6.4651e-11	2.2093e-11	3.0216e-11	4.2322e-11	3.8668e-11	4.0049e-11	3.2104e-11	2.8842e-11	2.6198e-11	3.6919e-11	2.5100e-11	1.8787e-11	2.5466e-11	3.3055e-11	2.9295e-11	2.7374e-11	2.7727e-11	2.9613e-12	1.0604e-11	3.4854e-11	2.3586e-11	3.8869e-11	3.6392e-11	3.9782e-11	4.2304e-11	2.9326e-11	5.2028e-11	2.1265e-11	3.8081e-11	3.7335e-11
