Time,s	TEY,A	Shutter
0	9.095295E-11	0
0.027433	8.128394E-11	0
0.055359	9.868815E-11	0
0.082287	7.467678E-11	0
0.110729	1.019112E-10	0
0.139651	7.967244E-11	0
0.167577	8.418464E-11	0
0.194512	8.885799E-11	0
0.222541	8.531269E-11	0
0.250464	9.933275E-11	0
0.278391	7.612713E-11	0
0.305321	1.012666E-10	0
0.33235	8.080049E-11	0
0.359282	8.789109E-11	0
0.388201	9.24033E-11	0
0.414302	7.757748E-11	0
0.443234	1.059399E-10	0
0.47115	7.532138E-11	0
0.499083	9.36925E-11	0
0.525523	8.047819E-11	0
0.553449	9.46594E-11	0
0.581374	8.869684E-11	0
0.607821	7.725518E-11	0
0.636745	9.804355E-11	0
0.663674	7.516023E-11	0
0.691604	9.449825E-11	0
0.720063	8.208969E-11	0
0.746992	8.98249E-11	0
0.77392	9.288675E-11	0
0.801877	8.160624E-11	0
0.828323	9.997735E-11	0
0.856249	8.096164E-11	0
0.88517	9.56263E-11	0
0.912613	7.789978E-11	0
0.940539	9.063065E-11	0
0.968466	9.56263E-11	0
0.995397	8.112279E-11	0
1.022839	9.643205E-11	0
1.051764	7.886669E-11	0
1.078691	9.75601E-11	0
1.107623	8.354004E-11	0
1.136621	9.868815E-11	0
1.164556	8.918029E-11	0
1.192474	8.354004E-11	0
1.221099	1.007831E-10	0
1.248187	8.192854E-11	0
1.276221	9.30479E-11	0
1.302206	7.838323E-11	0
1.328685	8.918029E-11	0
1.357584	8.998605E-11	0
1.386165	8.418464E-11	0
1.413612	9.82047E-11	0
1.442537	8.015589E-11	0
1.47258	9.836585E-11	0
1.499533	8.257314E-11	0
1.526521	9.62709E-11	0
1.553448	8.611844E-11	0
1.581373	8.112279E-11	0
1.609838	9.772125E-11	0
1.636769	8.305659E-11	0
1.663711	1.001385E-10	0
1.690742	7.596598E-11	0
1.719631	1.004608E-10	0
1.748233	8.273429E-11	0
1.776394	9.01472E-11	0
1.80467	9.643205E-11	0
1.831645	7.999474E-11	0
1.859642	9.482055E-11	0
1.887082	8.031704E-11	0
1.915279	9.62709E-11	0
1.942097	8.257314E-11	0
1.970527	9.030835E-11	0
1.998661	9.75601E-11	0
2.027493	8.047819E-11	0
2.055766	9.72378E-11	0
2.082414	8.096164E-11	0
2.111948	9.417595E-11	0
2.139344	8.080049E-11	0
2.167362	9.514285E-11	0
2.194449	9.385365E-11	0
2.222749	8.063934E-11	0
2.252323	9.8527E-11	0
2.279678	8.289544E-11	0
2.30792	9.2081E-11	0
2.335504	8.225084E-11	0
2.362469	9.17587E-11	0
2.391142	8.402349E-11	0
2.421246	8.692419E-11	0
2.449636	9.49817E-11	0
2.476614	7.967244E-11	0
2.504275	9.69155E-11	0
2.532171	8.128394E-11	0
2.563623	9.36925E-11	0
2.591763	8.611844E-11	0
2.619642	9.191985E-11	0
2.647976	8.708534E-11	0
2.680455	8.386234E-11	0
2.711375	9.224215E-11	0
2.737812	8.466809E-11	0
2.765738	8.885799E-11	0
2.793664	8.482924E-11	0
2.821101	9.933275E-11	0
2.848029	8.450694E-11	0
2.874959	8.627959E-11	0
2.902886	8.740764E-11	0
2.929322	8.595729E-11	0
2.95625	9.675435E-11	0
2.985172	7.838323E-11	0
3.013218	9.063065E-11	0
3.040146	8.756879E-11	0
3.067395	8.998605E-11	0
3.093893	8.98249E-11	0
3.120568	8.063934E-11	0
3.148651	9.24033E-11	0
3.177865	8.225084E-11	0
3.204312	9.01472E-11	0
3.232124	7.918899E-11	0
3.260808	9.224215E-11	0
3.288157	9.17587E-11	0
3.31592	8.337889E-11	0
3.344056	1.019112E-10	0
3.372972	7.918899E-11	0
3.402881	9.868815E-11	0
3.430477	8.579614E-11	0
3.45865	8.885799E-11	0
3.486785	8.579614E-11	0
3.513868	8.708534E-11	0
3.541942	9.191985E-11	0
3.569651	8.128394E-11	0
3.598823	9.14364E-11	0
3.62967	8.144509E-11	0
3.657168	9.965505E-11	0
3.685362	8.998605E-11	0
3.713161	8.579614E-11	0
3.74053	9.095295E-11	0
3.767532	9.01472E-11	0
3.796119	9.40148E-11	0
3.823008	8.257314E-11	0
3.851563	9.62709E-11	0
3.880713	8.305659E-11	0
3.907965	8.595729E-11	0
