Outgassing data BL_TEY-01
Mass number	Avg Values (Torr)	Std Values (Torr)
1	4.126659e-11	4.687809e-11
2	6.810002e-10	2.481904e-10
3	5.698653e-13	1.976378e-12
4	-1.636150e-12	8.781765e-12
5	-3.898154e-12	6.974595e-12
6	4.911352e-12	7.883595e-12
7	-3.903488e-12	8.845988e-12
8	5.628072e-13	1.027573e-11
9	2.274219e-12	9.888360e-12
10	-6.843072e-14	1.160919e-11
11	2.275754e-12	1.222045e-11
12	6.702951e-12	8.011847e-12
13	4.089826e-12	2.995595e-12
14	3.205600e-12	6.494358e-12
15	7.704636e-12	9.205897e-12
16	4.041271e-12	1.206463e-11
17	1.344159e-11	4.279192e-11
18	3.122179e-11	8.832673e-11
19	5.062395e-13	2.633657e-12
20	-3.389657e-12	7.562421e-12
21	-4.153427e-12	9.635863e-12
22	2.135102e-12	9.250985e-12
23	-2.728430e-13	9.935481e-12
24	5.214213e-12	8.628054e-12
25	5.445440e-13	3.898967e-12
26	9.497696e-12	7.019832e-12
27	7.923974e-12	1.061295e-11
28	3.834948e-11	3.654508e-11
29	1.442111e-11	1.282684e-11
30	6.591152e-12	6.793543e-12
31	-1.037932e-12	3.152442e-12
32	-3.830566e-12	6.833688e-12
33	-5.509572e-12	8.948238e-12
34	8.566919e-12	6.580559e-12
35	-1.728618e-12	7.364935e-12
36	1.925940e-12	7.161535e-12
37	2.673214e-12	6.779168e-12
38	-1.797109e-12	2.834849e-12
39	1.289331e-11	6.804953e-12
40	8.884707e-14	3.782237e-12
41	1.217811e-11	1.321287e-11
42	5.991270e-12	5.644156e-12
43	1.025670e-11	7.977332e-12
44	7.564754e-11	1.648332e-11
45	6.941607e-13	4.031355e-12
46	-4.388629e-13	2.133129e-12
47	5.783804e-12	6.296740e-12
48	3.931114e-12	8.105699e-12
49	-1.933979e-12	6.781926e-12
50	4.579509e-12	3.549251e-12
51	9.913323e-13	3.713448e-12
52	2.505570e-12	4.368094e-12
53	-1.012586e-12	3.701024e-12
54	1.773580e-12	3.312084e-12
55	1.421737e-11	8.295905e-12
56	-2.387606e-12	8.135136e-12
57	1.174188e-11	7.639742e-12
58	1.775477e-12	1.874393e-12
59	1.770991e-12	8.932371e-12
60	-1.349857e-11	9.388321e-12
61	-1.288239e-12	4.845094e-12
62	6.772995e-13	3.931189e-12
63	4.715745e-12	9.791588e-12
64	2.096348e-12	6.141587e-12
65	1.997753e-12	8.628742e-12
66	-6.514175e-12	6.016634e-12
67	-1.576023e-12	5.401187e-12
68	7.535130e-13	2.467854e-12
69	3.994620e-12	4.400477e-12
70	6.983573e-12	5.659385e-12
71	3.074426e-12	3.199018e-12
72	-1.110596e-13	3.120022e-12
73	-1.709996e-12	1.065015e-11
74	-7.946887e-12	7.913344e-12
75	4.543107e-12	1.055774e-11
76	2.011308e-13	6.862815e-12
77	1.461332e-12	4.072080e-12
78	3.119446e-12	1.976485e-12
79	8.660898e-12	6.400584e-12
80	4.510831e-12	8.329978e-12
81	6.096279e-12	7.735143e-12
82	-3.135491e-12	1.107100e-11
83	-1.322441e-12	6.292451e-12
84	-1.033063e-12	2.184570e-12
85	2.886695e-12	2.818542e-12
86	8.634698e-13	1.077442e-11
87	3.371076e-12	9.945284e-12
88	5.911973e-12	1.001453e-11
89	5.287972e-12	8.853091e-12
90	-4.794255e-13	1.065522e-11
91	2.691795e-12	9.043571e-12
92	9.653690e-15	7.584708e-12
93	5.633952e-12	8.326651e-12
94	-2.377152e-12	5.229278e-12
95	3.830316e-12	1.066431e-11
96	5.504433e-12	1.020846e-11
97	2.616896e-12	8.742321e-12
98	-3.233153e-12	6.778250e-12
99	6.704716e-12	9.386976e-12
100	-5.648464e-13	9.732743e-12
