Ion signal for BL_TEY-03, m/z=26
Time(s)	Corrected Signal(Torr)	Std(Torr)
0.000000e+00	9.271666e-12	6.976887e-12
3.500000e+00	-4.012862e-12	6.976887e-12
7.000000e+00	1.304261e-11	6.976887e-12
1.050000e+01	9.458083e-12	6.976887e-12
1.400000e+01	-4.164442e-13	6.976887e-12
1.750000e+01	-7.080972e-12	6.976887e-12
2.100000e+01	-2.365499e-12	6.976887e-12
2.450000e+01	1.266997e-11	6.976887e-12
2.800000e+01	-1.466455e-11	6.976887e-12
3.150000e+01	-7.979081e-12	6.976887e-12
3.500000e+01	-5.713609e-12	6.976887e-12
3.840000e+01	8.763707e-12	6.976887e-12
4.190000e+01	-2.290820e-12	6.976887e-12
4.540000e+01	-2.755348e-12	6.976887e-12
4.890000e+01	-1.569988e-11	6.976887e-12
5.240000e+01	2.306560e-11	6.976887e-12
5.590000e+01	3.351070e-12	6.976887e-12
5.940000e+01	3.456542e-12	6.976887e-12
6.290000e+01	2.341202e-11	6.976887e-12
6.640000e+01	-5.212512e-12	6.976887e-12
6.990000e+01	-1.837040e-12	6.976887e-12
7.340000e+01	2.948433e-12	6.976887e-12
7.690000e+01	1.253391e-11	6.976887e-12
8.040000e+01	4.029378e-12	6.976887e-12
8.390000e+01	1.972485e-11	6.976887e-12
8.740000e+01	-1.420968e-11	6.976887e-12
9.090000e+01	1.349580e-11	6.976887e-12
9.440000e+01	-7.438732e-12	6.976887e-12
9.790000e+01	3.196740e-12	6.976887e-12
1.014000e+02	6.072213e-12	6.976887e-12
1.049000e+02	-4.323145e-13	6.976887e-12
1.083000e+02	1.305002e-12	6.976887e-12
1.118000e+02	-3.129526e-12	6.976887e-12
1.153000e+02	5.815947e-12	6.976887e-12
1.188000e+02	1.491419e-12	6.976887e-12
1.223000e+02	-2.943108e-12	6.976887e-12
1.258000e+02	-4.877636e-12	6.976887e-12
1.293000e+02	-2.762163e-12	6.976887e-12
1.328000e+02	1.181331e-11	6.976887e-12
1.363000e+02	3.808782e-12	6.976887e-12
1.398000e+02	-9.565745e-12	6.976887e-12
1.433000e+02	7.619727e-12	6.976887e-12
1.468000e+02	-4.944800e-12	6.976887e-12
1.503000e+02	-4.849328e-12	6.976887e-12
1.538000e+02	-1.303855e-12	6.976887e-12
1.573000e+02	2.581617e-12	6.976887e-12
1.608000e+02	-2.354291e-11	6.976887e-12
1.643000e+02	7.812562e-12	6.976887e-12
1.678000e+02	-1.071197e-11	6.976887e-12
1.712000e+02	-6.746489e-13	6.976887e-12
1.747000e+02	-6.119176e-12	6.976887e-12
1.782000e+02	5.706296e-12	6.976887e-12
1.817000e+02	1.563177e-11	6.976887e-12
1.852000e+02	5.167241e-12	6.976887e-12
1.887000e+02	1.312714e-12	6.976887e-12
1.922000e+02	-2.731814e-12	6.976887e-12
1.957000e+02	9.365884e-14	6.976887e-12
1.992000e+02	9.909131e-12	6.976887e-12
2.027000e+02	2.194604e-12	6.976887e-12
2.062000e+02	-2.211992e-11	6.976887e-12
2.097000e+02	-1.924451e-12	6.976887e-12
2.132000e+02	-5.838978e-12	6.976887e-12
2.167000e+02	-2.893506e-12	6.976887e-12
2.202000e+02	5.919666e-13	6.976887e-12
2.237000e+02	-4.125608e-13	6.976887e-12
2.272000e+02	4.172912e-12	6.976887e-12
2.307000e+02	3.168384e-12	6.976887e-12
2.341000e+02	3.725700e-12	6.976887e-12
2.376000e+02	-6.358827e-12	6.976887e-12
