TEY data for BL_TEY-05
Time(s)	Normalized_TEY
0.000000e+00	4.605679e-06
2.743300e-02	4.116059e-06
5.535900e-02	4.997374e-06
8.228700e-02	3.781486e-06
1.107290e-01	5.160583e-06
1.396510e-01	4.034456e-06
1.675770e-01	4.262945e-06
1.945120e-01	4.499594e-06
2.225410e-01	4.320067e-06
2.504640e-01	5.030016e-06
2.783910e-01	3.854929e-06
3.053210e-01	5.127942e-06
3.323500e-01	4.091578e-06
3.592820e-01	4.450632e-06
3.882010e-01	4.679122e-06
4.143020e-01	3.928371e-06
4.432340e-01	5.364589e-06
4.711500e-01	3.814127e-06
4.990830e-01	4.744404e-06
5.255230e-01	4.075258e-06
5.534490e-01	4.793366e-06
5.813740e-01	4.491434e-06
6.078210e-01	3.912051e-06
6.367450e-01	4.964733e-06
6.636740e-01	3.805967e-06
6.916040e-01	4.785206e-06
7.200630e-01	4.156861e-06
7.469920e-01	4.548557e-06
7.739200e-01	4.703603e-06
8.018770e-01	4.132380e-06
8.283230e-01	5.062657e-06
8.562490e-01	4.099739e-06
8.851700e-01	4.842328e-06
9.126130e-01	3.944692e-06
9.405390e-01	4.589358e-06
9.684660e-01	4.842328e-06
9.953970e-01	4.107899e-06
1.022839e+00	4.883130e-06
1.051764e+00	3.993655e-06
1.078691e+00	4.940252e-06
1.107623e+00	4.230304e-06
1.136621e+00	4.997374e-06
1.164556e+00	4.515915e-06
1.192474e+00	4.230304e-06
1.221099e+00	5.103459e-06
1.248187e+00	4.148701e-06
1.276221e+00	4.711763e-06
1.302206e+00	3.969173e-06
1.328685e+00	4.515915e-06
1.357584e+00	4.556717e-06
1.386165e+00	4.262945e-06
1.413612e+00	4.972893e-06
1.442537e+00	4.058937e-06
1.472580e+00	4.981054e-06
1.499533e+00	4.181342e-06
1.526521e+00	4.874970e-06
1.553448e+00	4.360869e-06
1.581373e+00	4.107899e-06
1.609838e+00	4.948412e-06
1.636769e+00	4.205823e-06
1.663711e+00	5.070817e-06
1.690742e+00	3.846768e-06
1.719631e+00	5.087138e-06
1.748233e+00	4.189502e-06
1.776394e+00	4.564877e-06
1.804670e+00	4.883130e-06
1.831645e+00	4.050777e-06
1.859642e+00	4.801527e-06
1.887082e+00	4.067097e-06
1.915279e+00	4.874970e-06
1.942097e+00	4.181342e-06
1.970527e+00	4.573038e-06
1.998661e+00	4.940252e-06
2.027493e+00	4.075258e-06
2.055766e+00	4.923932e-06
2.082414e+00	4.099739e-06
2.111948e+00	4.768885e-06
2.139344e+00	4.091578e-06
2.167362e+00	4.817847e-06
2.194449e+00	4.752565e-06
2.222749e+00	4.083418e-06
2.252323e+00	4.989214e-06
2.279678e+00	4.197663e-06
2.307920e+00	4.662801e-06
2.335504e+00	4.165021e-06
2.362469e+00	4.646481e-06
2.391142e+00	4.254785e-06
2.421246e+00	4.401671e-06
2.449636e+00	4.809687e-06
2.476614e+00	4.034456e-06
2.504275e+00	4.907611e-06
2.532171e+00	4.116059e-06
2.563623e+00	4.744404e-06
2.591763e+00	4.360869e-06
2.619642e+00	4.654641e-06
2.647976e+00	4.409831e-06
2.680455e+00	4.246624e-06
2.711375e+00	4.670962e-06
2.737812e+00	4.287426e-06
2.765738e+00	4.499594e-06
2.793664e+00	4.295586e-06
2.821101e+00	5.030016e-06
2.848029e+00	4.279266e-06
2.874959e+00	4.369029e-06
2.902886e+00	4.426152e-06
2.929322e+00	4.352709e-06
2.956250e+00	4.899451e-06
2.985172e+00	3.969173e-06
3.013218e+00	4.589358e-06
3.040146e+00	4.434312e-06
3.067395e+00	4.556717e-06
3.093893e+00	4.548557e-06
3.120568e+00	4.083418e-06
3.148651e+00	4.679122e-06
3.177865e+00	4.165021e-06
3.204312e+00	4.564877e-06
3.232124e+00	4.009975e-06
3.260808e+00	4.670962e-06
3.288157e+00	4.646481e-06
3.315920e+00	4.222144e-06
3.344056e+00	5.160583e-06
3.372972e+00	4.009975e-06
3.402881e+00	4.997374e-06
3.430477e+00	4.344548e-06
3.458650e+00	4.499594e-06
3.486785e+00	4.344548e-06
3.513868e+00	4.409831e-06
3.541942e+00	4.654641e-06
3.569651e+00	4.116059e-06
3.598823e+00	4.630160e-06
3.629670e+00	4.124220e-06
3.657168e+00	5.046336e-06
3.685362e+00	4.556717e-06
3.713161e+00	4.344548e-06
3.740530e+00	4.605679e-06
3.767532e+00	4.564877e-06
3.796119e+00	4.760725e-06
3.823008e+00	4.181342e-06
3.851563e+00	4.874970e-06
3.880713e+00	4.205823e-06
3.907965e+00	4.352709e-06
3.937141e+00	4.613839e-06
3.964417e+00	4.377190e-06
3.992776e+00	4.605679e-06
4.021987e+00	4.254785e-06
4.049550e+00	4.597519e-06
4.077470e+00	3.944692e-06
4.105395e+00	4.679122e-06
4.132833e+00	4.442472e-06
4.162754e+00	4.336388e-06
4.189682e+00	4.646481e-06
4.218149e+00	4.409831e-06
4.246075e+00	4.532236e-06
4.273004e+00	3.879410e-06
4.299934e+00	4.646481e-06
4.326435e+00	4.524076e-06
4.355356e+00	4.491434e-06
4.383281e+00	4.760725e-06
4.410245e+00	4.434312e-06
4.438686e+00	4.858649e-06
4.466046e+00	3.944692e-06
4.493326e+00	4.638320e-06
4.521640e+00	4.638320e-06
4.551298e+00	4.360869e-06
4.579665e+00	4.564877e-06
4.606994e+00	4.311907e-06
4.633955e+00	4.622000e-06
4.661012e+00	4.034456e-06
4.687819e+00	4.662801e-06
4.717178e+00	4.507755e-06
4.744277e+00	4.344548e-06
4.772428e+00	4.589358e-06
4.801251e+00	4.409831e-06
4.828011e+00	4.679122e-06
4.856396e+00	4.083418e-06
4.883799e+00	4.809687e-06
4.911757e+00	4.336388e-06
4.939671e+00	4.393510e-06
4.968668e+00	4.483274e-06
4.997170e+00	4.360869e-06
5.026009e+00	4.646481e-06
5.054868e+00	4.589358e-06
5.082792e+00	4.646481e-06
5.111719e+00	4.303747e-06
5.140166e+00	4.883130e-06
5.167755e+00	4.417991e-06
5.194449e+00	4.377190e-06
5.221170e+00	4.393510e-06
5.250548e+00	4.360869e-06
5.277543e+00	4.695443e-06
5.304629e+00	4.189502e-06
5.333448e+00	4.826008e-06
5.362624e+00	4.222144e-06
5.390811e+00	4.646481e-06
5.418675e+00	4.654641e-06
5.446789e+00	4.344548e-06
5.475231e+00	4.589358e-06
5.503181e+00	4.654641e-06
5.529663e+00	4.866809e-06
5.557588e+00	4.091578e-06
5.586513e+00	4.581198e-06
5.612467e+00	4.670962e-06
5.640470e+00	4.417991e-06
5.669393e+00	4.491434e-06
5.696320e+00	4.369029e-06
5.722764e+00	4.687282e-06
