Sum of corrected signals for BL_TEY-06
Time(s)	SumCorrected(Torr)	Std(Torr)
0.000000e+00	-1.199006e-09	2.839936e-10
3.500000e+00	6.722230e-11	2.839936e-10
7.000000e+00	5.925612e-10	2.839936e-10
1.050000e+01	-2.828288e-10	2.839936e-10
1.400000e+01	-1.236378e-10	2.839936e-10
1.750000e+01	-3.207031e-10	2.839936e-10
2.100000e+01	-1.999517e-10	2.839936e-10
2.450000e+01	-6.283330e-11	2.839936e-10
2.800000e+01	-3.425815e-10	2.839936e-10
3.150000e+01	3.920108e-11	2.839936e-10
3.500000e+01	9.197632e-11	2.839936e-10
3.850000e+01	2.186417e-10	2.839936e-10
4.200000e+01	3.498855e-10	2.839936e-10
4.550000e+01	2.743570e-10	2.839936e-10
4.900000e+01	-1.880815e-10	2.839936e-10
5.250000e+01	-5.606143e-10	2.839936e-10
5.590000e+01	-3.953808e-10	2.839936e-10
5.940000e+01	1.137466e-09	2.839936e-10
6.290000e+01	1.731867e-09	2.839936e-10
6.640000e+01	1.136496e-09	2.839936e-10
6.990000e+01	2.143469e-09	2.839936e-10
7.340000e+01	1.415141e-09	2.839936e-10
7.690000e+01	1.817776e-09	2.839936e-10
8.040000e+01	1.367869e-09	2.839936e-10
8.390000e+01	8.137306e-10	2.839936e-10
8.740000e+01	1.862953e-09	2.839936e-10
9.090000e+01	1.114636e-09	2.839936e-10
9.440000e+01	2.186041e-09	2.839936e-10
9.790000e+01	1.406122e-09	2.839936e-10
1.014000e+02	1.639784e-09	2.839936e-10
1.049000e+02	1.422474e-09	2.839936e-10
1.084000e+02	1.574735e-09	2.839936e-10
1.119000e+02	4.567885e-10	2.839936e-10
1.154000e+02	1.297106e-09	2.839936e-10
1.189000e+02	1.619381e-10	2.839936e-10
1.224000e+02	1.582795e-09	2.839936e-10
1.258000e+02	9.562557e-10	2.839936e-10
1.293000e+02	6.660736e-10	2.839936e-10
1.328000e+02	8.656886e-10	2.839936e-10
1.363000e+02	1.490208e-09	2.839936e-10
1.398000e+02	8.527117e-10	2.839936e-10
1.433000e+02	7.833168e-10	2.839936e-10
1.468000e+02	7.877545e-10	2.839936e-10
1.503000e+02	4.112896e-10	2.839936e-10
1.538000e+02	1.522739e-09	2.839936e-10
1.573000e+02	1.028421e-09	2.839936e-10
1.608000e+02	1.289873e-09	2.839936e-10
1.643000e+02	7.152109e-10	2.839936e-10
1.678000e+02	9.165871e-10	2.839936e-10
1.713000e+02	1.061801e-09	2.839936e-10
1.748000e+02	9.769503e-10	2.839936e-10
1.783000e+02	1.083572e-09	2.839936e-10
1.818000e+02	5.079586e-10	2.839936e-10
1.853000e+02	-6.957361e-11	2.839936e-10
1.887000e+02	1.917753e-10	2.839936e-10
1.922000e+02	-1.635456e-10	2.839936e-10
1.957000e+02	-3.086951e-10	2.839936e-10
1.992000e+02	3.170280e-10	2.839936e-10
2.027000e+02	6.648204e-10	2.839936e-10
2.062000e+02	-2.016843e-10	2.839936e-10
2.097000e+02	1.025152e-11	2.839936e-10
2.132000e+02	-4.579685e-11	2.839936e-10
2.167000e+02	-2.611409e-10	2.839936e-10
2.202000e+02	5.157297e-10	2.839936e-10
2.237000e+02	2.045950e-10	2.839936e-10
2.272000e+02	-4.625053e-10	2.839936e-10
2.307000e+02	-2.445857e-10	2.839936e-10
2.342000e+02	2.565006e-10	2.839936e-10
2.377000e+02	-8.202608e-10	2.839936e-10
