Time,s	TEY,A	Shutter
0	1.548971E-10	0
0.109737	1.557996E-10	0
0.216012	1.552839E-10	0
0.323293	1.561863E-10	0
0.430549	1.541236E-10	0
0.536782	1.568954E-10	0
0.643013	1.540591E-10	0
0.751305	1.552194E-10	0
0.857562	1.55864E-10	0
0.965823	1.538658E-10	0
1.072075	1.545748E-10	0
1.17951	1.576689E-10	0
1.288208	1.56702E-10	0
1.396904	1.55864E-10	0
1.50549	1.550905E-10	0
1.614335	1.536724E-10	0
1.721607	1.550905E-10	0
1.828901	1.549616E-10	0
1.936184	1.52641E-10	0
2.046194	1.547682E-10	0
2.154678	1.530278E-10	0
2.262334	1.568954E-10	0
2.369342	1.541236E-10	0
2.477947	1.556062E-10	0
2.586282	1.525121E-10	0
2.694265	1.570888E-10	0
2.802043	1.574111E-10	0
2.910932	1.560574E-10	0
3.018056	1.539947E-10	0
3.126378	1.565731E-10	0
3.235301	1.523832E-10	0
3.344037	1.580557E-10	0
3.451043	1.561863E-10	0
3.560129	1.588292E-10	0
3.667434	1.54317E-10	0
3.777628	1.536079E-10	0
3.88557	1.527699E-10	0
3.992427	1.588937E-10	0
4.101827	1.542525E-10	0
4.211142	1.549616E-10	0
4.317668	1.539302E-10	0
4.426151	1.565086E-10	0
4.534671	1.560574E-10	0
4.642589	1.578623E-10	0
4.749753	1.572822E-10	0
4.857206	1.568309E-10	0
4.964869	1.579268E-10	0
5.071523	1.588937E-10	0
5.179559	1.577334E-10	0
5.290376	1.590226E-10	0
5.398722	1.555417E-10	0
5.507619	1.5754E-10	0
5.615501	1.566375E-10	0
5.721677	1.603762E-10	0
5.829763	1.565086E-10	0
5.937594	1.602473E-10	0
6.045146	1.576689E-10	0
6.152385	1.585069E-10	0
6.260122	1.579268E-10	0
6.368031	1.560574E-10	0
6.477061	1.566375E-10	0
6.585472	1.592804E-10	0
6.694009	1.527699E-10	0
6.802419	1.580557E-10	0
6.912673	1.555417E-10	0
7.022157	1.560574E-10	0
7.130359	1.587647E-10	0
7.238277	1.596672E-10	0
7.34619	1.548971E-10	0
7.454754	1.581201E-10	0
7.56295	1.553483E-10	0
7.671981	1.571532E-10	0
7.779855	1.577978E-10	0
7.887277	1.58378E-10	0
7.996089	1.577334E-10	0
8.102947	1.579268E-10	0
8.211665	1.528344E-10	0
8.319253	1.589581E-10	0
8.428525	1.537368E-10	0
8.536485	1.582491E-10	0
8.644931	1.541881E-10	0
8.752804	1.591515E-10	0
8.861735	1.565086E-10	0
8.96971	1.585714E-10	0
9.077405	1.523187E-10	0
9.18721	1.566375E-10	0
9.295373	1.572822E-10	0
9.404316	1.559285E-10	0
9.512895	1.545104E-10	0
9.621095	1.572177E-10	0
9.728135	1.55155E-10	0
9.83519	1.5754E-10	0
9.942552	1.55864E-10	0
10.050313	1.584424E-10	0
10.157975	1.562508E-10	0
10.265723	1.552839E-10	0
10.373909	1.540591E-10	0
10.48243	1.588292E-10	0
10.589801	1.52641E-10	0
10.697025	1.557996E-10	0
10.805616	1.505783E-10	0
10.914669	1.554128E-10	0
11.023137	1.513518E-10	0
11.130242	1.601184E-10	0
11.237375	1.541881E-10	0
11.344011	1.576045E-10	0
11.451062	1.534145E-10	0
11.558304	1.548327E-10	0
11.667447	1.548971E-10	0
11.775261	1.552839E-10	0
11.884192	1.565731E-10	0
11.991155	1.54317E-10	0
12.099738	1.561219E-10	0
12.207533	1.572177E-10	0
12.314871	1.56702E-10	0
12.422626	1.547037E-10	0
12.531209	1.546393E-10	0
12.638907	1.568309E-10	0
12.746908	1.579912E-10	0
12.854309	1.559285E-10	0
12.960548	1.55155E-10	0
13.068648	1.552194E-10	0
13.17718	1.55026E-10	0
13.284743	1.565086E-10	0
13.392468	1.560574E-10	0
13.499825	1.542525E-10	0
13.607977	1.625679E-10	0
13.716164	1.556062E-10	0
13.823606	1.554773E-10	0
13.931242	1.55864E-10	0
14.040512	1.577334E-10	0
14.147335	1.573466E-10	0
14.257314	1.581201E-10	0
14.364672	1.547682E-10	0
14.471639	1.537368E-10	0
14.579834	1.549616E-10	0
14.688038	1.579912E-10	0
14.795504	1.539947E-10	0
14.904467	1.576689E-10	0
15.010556	1.561219E-10	0
15.11972	1.579912E-10	0
15.227967	1.597961E-10	0
15.334	1.568309E-10	0
15.441876	1.534145E-10	0
15.551509	1.584424E-10	0
15.660834	1.547682E-10	0
15.770556	1.542525E-10	0
15.877424	1.532212E-10	0
15.985066	1.585714E-10	0
16.093578	1.553483E-10	0
16.20182	1.574111E-10	0
16.309826	1.548971E-10	0
16.417985	1.559285E-10	0
16.525086	1.525766E-10	0
16.632384	1.569598E-10	0
16.740798	1.557996E-10	0
16.848853	1.552194E-10	0
16.957211	1.564442E-10	0
17.065385	1.583135E-10	0
17.172399	1.533501E-10	0
17.280767	1.570243E-10	0
17.39057	1.512874E-10	0
17.497858	1.599895E-10	0
17.605112	1.543814E-10	0
17.712409	1.581201E-10	0
17.821271	1.534145E-10	0
17.929081	1.556706E-10	0
18.036291	1.517386E-10	0
18.142894	1.56702E-10	0
18.250993	1.529633E-10	0
18.359489	1.56702E-10	0
18.46657	1.545748E-10	0
18.574663	1.563152E-10	0
18.684443	1.533501E-10	0
18.793414	1.571532E-10	0
18.900408	1.531567E-10	0
19.009031	1.553483E-10	0
19.118678	1.536079E-10	0
19.226279	1.546393E-10	0
19.334571	1.563797E-10	0
19.441951	1.573466E-10	0
19.549879	1.541236E-10	0
19.657678	1.563797E-10	0
19.765485	1.561863E-10	0
19.874601	1.574755E-10	0
19.982958	1.535435E-10	0
20.092392	1.564442E-10	0
20.200921	1.530278E-10	0
20.309536	1.574755E-10	0
20.416928	1.562508E-10	0
20.524229	1.594093E-10	0
20.632557	1.543814E-10	0
20.738792	1.579912E-10	0
20.847273	1.556706E-10	0
20.955985	1.570243E-10	0
21.064063	1.559929E-10	0
21.171281	1.571532E-10	0
21.279587	1.512229E-10	0
21.391119	1.527699E-10	0
21.498286	1.550905E-10	0
21.607696	1.559929E-10	0
21.716002	1.552839E-10	0
21.824542	1.561863E-10	0
21.931578	1.537368E-10	0
22.040482	1.565086E-10	0
22.147955	1.546393E-10	0
22.255805	1.561219E-10	0
22.364877	1.557996E-10	0
22.473274	1.584424E-10	0
22.58293	1.542525E-10	0
22.692115	1.59087E-10	0
22.798486	1.517386E-10	0
22.906882	1.570243E-10	0
23.015038	1.568954E-10	0
23.121918	1.590226E-10	0
23.229909	1.548971E-10	0
23.337316	1.570243E-10	0
23.447361	1.576045E-10	0
23.554877	1.567665E-10	0
23.662874	1.580557E-10	0
23.770248	1.565086E-10	0
23.877474	1.577334E-10	0
23.985562	1.565731E-10	0
24.09324	1.566375E-10	0
24.202077	1.577978E-10	0
24.312034	1.556706E-10	0
24.419759	1.582491E-10	0
24.527171	1.557351E-10	0
24.635798	1.569598E-10	0
24.743073	1.51803E-10	0
24.851636	1.577334E-10	0
24.959926	1.566375E-10	0
25.067571	1.549616E-10	0
25.175538	1.557351E-10	0
25.285099	1.565086E-10	0
25.392817	1.567665E-10	0
25.503389	1.545104E-10	0
25.61263	1.578623E-10	0
25.720949	1.559285E-10	0
25.830321	1.543814E-10	0
25.937838	1.570888E-10	0
26.046583	1.581846E-10	0
26.153902	1.563797E-10	0
26.262689	1.598606E-10	0
26.370201	1.549616E-10	0
26.477983	1.576689E-10	0
26.585623	1.563152E-10	0
26.694802	1.566375E-10	0
