Time,s	TEY,A	Shutter
0	1.554773E-10	0
0.107069	1.548971E-10	0
0.214293	1.530278E-10	0
0.321345	1.581201E-10	0
0.427617	1.542525E-10	0
0.534843	1.585714E-10	0
0.64309	1.581201E-10	0
0.750485	1.564442E-10	0
0.857713	1.566375E-10	0
0.964909	1.561219E-10	0
1.072729	1.587647E-10	0
1.181546	1.56702E-10	0
1.289015	1.524476E-10	0
1.396205	1.553483E-10	0
1.502857	1.566375E-10	0
1.613734	1.569598E-10	0
1.720112	1.540591E-10	0
1.82817	1.562508E-10	0
1.936226	1.569598E-10	0
2.044269	1.599895E-10	0
2.153327	1.564442E-10	0
2.261964	1.56702E-10	0
2.37007	1.538658E-10	0
2.478288	1.552194E-10	0
2.586041	1.549616E-10	0
2.693724	1.591515E-10	0
2.80181	1.585069E-10	0
2.910469	1.579912E-10	0
3.01894	1.577334E-10	0
3.128654	1.591515E-10	0
3.236103	1.581201E-10	0
3.344212	1.563797E-10	0
3.451719	1.591515E-10	0
3.559052	1.557996E-10	0
3.666737	1.569598E-10	0
3.775925	1.594738E-10	0
3.884337	1.574755E-10	0
3.993955	1.563797E-10	0
4.102528	1.554128E-10	0
4.210217	1.560574E-10	0
4.318051	1.570243E-10	0
4.42536	1.586358E-10	0
4.533959	1.588292E-10	0
4.641459	1.568954E-10	0
4.7503	1.587003E-10	0
4.858483	1.554773E-10	0
4.966697	1.576689E-10	0
5.07449	1.554128E-10	0
5.182535	1.569598E-10	0
5.290963	1.556062E-10	0
5.399172	1.580557E-10	0
5.506454	1.586358E-10	0
5.614642	1.565086E-10	0
5.722969	1.56702E-10	0
5.831331	1.567665E-10	0
5.941078	1.565086E-10	0
6.048695	1.554128E-10	0
6.1562	1.570243E-10	0
6.265085	1.587003E-10	0
6.372977	1.538013E-10	0
6.48061	1.571532E-10	0
6.587948	1.571532E-10	0
6.696756	1.530922E-10	0
6.80394	1.548971E-10	0
6.910102	1.552839E-10	0
7.018085	1.539302E-10	0
7.126593	1.571532E-10	0
7.235339	1.590226E-10	0
7.34272	1.548327E-10	0
7.44942	1.540591E-10	0
7.557763	1.582491E-10	0
7.66614	1.587647E-10	0
7.773954	1.574755E-10	0
7.881704	1.574755E-10	0
7.990166	1.577978E-10	0
8.097903	1.56702E-10	0
8.205866	1.552194E-10	0
8.314005	1.559285E-10	0
8.421257	1.5754E-10	0
8.529796	1.562508E-10	0
8.63881	1.567665E-10	0
8.747317	1.567665E-10	0
8.854892	1.586358E-10	0
8.962998	1.572177E-10	0
9.071887	1.569598E-10	0
9.179359	1.554773E-10	0
9.28788	1.588937E-10	0
9.394781	1.576689E-10	0
9.504011	1.59216E-10	0
9.61141	1.597316E-10	0
9.720305	1.567665E-10	0
9.828066	1.579268E-10	0
9.936235	1.547037E-10	0
10.043004	1.614721E-10	0
10.15122	1.588937E-10	0
10.259561	1.580557E-10	0
10.366787	1.561863E-10	0
10.473824	1.566375E-10	0
10.582405	1.578623E-10	0
10.690259	1.570888E-10	0
10.798569	1.604407E-10	0
10.90683	1.578623E-10	0
11.014965	1.587003E-10	0
11.124028	1.591515E-10	0
11.230725	1.545748E-10	0
11.339494	1.588292E-10	0
11.44601	1.561219E-10	0
11.55441	1.565731E-10	0
11.662108	1.566375E-10	0
11.770389	1.59925E-10	0
11.87784	1.580557E-10	0
11.984685	1.56702E-10	0
12.095026	1.576689E-10	0
12.201767	1.574755E-10	0
12.309647	1.571532E-10	0
12.416588	1.571532E-10	0
12.525732	1.630836E-10	0
12.632651	1.617944E-10	0
12.739659	1.557996E-10	0
12.847164	1.579268E-10	0
12.956318	1.577978E-10	0
13.064287	1.595383E-10	0
13.173032	1.601829E-10	0
13.282139	1.560574E-10	0
13.390051	1.588292E-10	0
13.496702	1.5754E-10	0
13.605425	1.585714E-10	0
13.713447	1.572822E-10	0
13.819912	1.584424E-10	0
13.928396	1.601184E-10	0
14.037547	1.588937E-10	0
14.146561	1.608275E-10	0
14.254046	1.59087E-10	0
14.363788	1.588292E-10	0
14.472108	1.585069E-10	0
14.579082	1.585069E-10	0
14.687553	1.612142E-10	0
14.795601	1.586358E-10	0
14.904047	1.605052E-10	0
15.011926	1.589581E-10	0
15.119067	1.603762E-10	0
15.22715	1.612787E-10	0
15.333987	1.585069E-10	0
15.441441	1.579268E-10	0
15.550842	1.588937E-10	0
15.66001	1.590226E-10	0
15.768684	1.591515E-10	0
15.876838	1.574755E-10	0
15.986169	1.576689E-10	0
16.093335	1.59087E-10	0
16.201498	1.606341E-10	0
16.309943	1.579912E-10	0
16.418496	1.539302E-10	0
16.526723	1.554773E-10	0
16.634079	1.599895E-10	0
16.741081	1.597961E-10	0
16.848292	1.583135E-10	0
16.954459	1.580557E-10	0
17.063418	1.55864E-10	0
17.174814	1.580557E-10	0
17.282679	1.586358E-10	0
17.391961	1.588292E-10	0
17.500108	1.595383E-10	0
17.607425	1.579268E-10	0
17.715849	1.597316E-10	0
17.824083	1.545748E-10	0
17.93186	1.586358E-10	0
18.039625	1.623745E-10	0
18.147385	1.574111E-10	0
18.256698	1.571532E-10	0
18.366547	1.587647E-10	0
18.475971	1.58378E-10	0
18.583958	1.561863E-10	0
18.691641	1.59087E-10	0
18.800107	1.585714E-10	0
18.909014	1.596672E-10	0
