Time,s	TEY,A	Shutter
0	1.588937E-10	0
0.107223	1.571532E-10	0
0.213456	1.570243E-10	0
0.321483	1.590226E-10	0
0.428522	1.587647E-10	0
0.535748	1.55864E-10	0
0.642649	1.569598E-10	0
0.749874	1.563152E-10	0
0.857103	1.603118E-10	0
0.964346	1.565086E-10	0
1.071604	1.582491E-10	0
1.178983	1.579268E-10	0
1.286756	1.56702E-10	0
1.394583	1.545748E-10	0
1.50122	1.610208E-10	0
1.610667	1.574111E-10	0
1.719556	1.587003E-10	0
1.826931	1.58378E-10	0
1.935095	1.596672E-10	0
2.044512	1.554773E-10	0
2.152048	1.566375E-10	0
2.259382	1.589581E-10	0
2.367693	1.598606E-10	0
2.475731	1.56702E-10	0
2.583792	1.591515E-10	0
2.694108	1.583135E-10	0
2.803494	1.594093E-10	0
2.910831	1.561863E-10	0
3.019109	1.605052E-10	0
3.128022	1.536079E-10	0
3.23511	1.563797E-10	0
3.343345	1.535435E-10	0
3.451218	1.559285E-10	0
3.55829	1.588292E-10	0
3.66573	1.618588E-10	0
3.772657	1.565731E-10	0
3.880286	1.561219E-10	0
3.988993	1.570243E-10	0
4.096739	1.576689E-10	0
4.204125	1.571532E-10	0
4.311127	1.562508E-10	0
4.417684	1.581846E-10	0
4.526162	1.571532E-10	0
4.633867	1.593449E-10	0
4.742582	1.579912E-10	0
4.851559	1.594738E-10	0
4.959502	1.565731E-10	0
5.068444	1.588292E-10	0
5.176212	1.581201E-10	0
5.283885	1.581846E-10	0
5.392144	1.584424E-10	0
5.499263	1.540591E-10	0
5.606964	1.568309E-10	0
5.715183	1.598606E-10	0
5.823061	1.587647E-10	0
5.930756	1.577978E-10	0
6.039854	1.554773E-10	0
6.146441	1.571532E-10	0
6.254571	1.565731E-10	0
6.362501	1.609564E-10	0
6.469485	1.560574E-10	0
6.577237	1.569598E-10	0
6.685113	1.552839E-10	0
6.794732	1.569598E-10	0
6.902888	1.5754E-10	0
7.009383	1.605696E-10	0
7.118006	1.570888E-10	0
7.226611	1.580557E-10	0
7.336765	1.593449E-10	0
7.444753	1.590226E-10	0
7.551859	1.55155E-10	0
7.659124	1.552194E-10	0
7.765197	1.577334E-10	0
7.873673	1.562508E-10	0
7.980465	1.574755E-10	0
8.088749	1.570243E-10	0
8.198138	1.573466E-10	0
8.306773	1.583135E-10	0
8.414112	1.566375E-10	0
8.522315	1.571532E-10	0
8.629519	1.594093E-10	0
8.738494	1.577978E-10	0
8.848223	1.55864E-10	0
8.957357	1.566375E-10	0
9.067543	1.604407E-10	0
9.176462	1.590226E-10	0
9.284749	1.577978E-10	0
9.39348	1.552839E-10	0
9.503162	1.588292E-10	0
9.610003	1.570243E-10	0
9.718481	1.557351E-10	0
9.825793	1.572177E-10	0
9.934547	1.570243E-10	0
10.042218	1.576689E-10	0
10.149296	1.577978E-10	0
10.257112	1.579912E-10	0
10.365713	1.567665E-10	0
10.473638	1.59925E-10	0
10.580525	1.561863E-10	0
10.689672	1.577978E-10	0
10.796986	1.555417E-10	0
10.904693	1.590226E-10	0
11.01323	1.588937E-10	0
11.121658	1.577978E-10	0
11.230345	1.583135E-10	0
11.339215	1.590226E-10	0
11.446809	1.583135E-10	0
11.554677	1.572822E-10	0
11.661683	1.549616E-10	0
11.769109	1.569598E-10	0
11.87719	1.583135E-10	0
11.985568	1.595383E-10	0
12.092766	1.56702E-10	0
12.201393	1.565086E-10	0
12.309954	1.563797E-10	0
12.417243	1.567665E-10	0
12.525043	1.581201E-10	0
12.631942	1.576689E-10	0
12.739298	1.56702E-10	0
12.847183	1.561219E-10	0
12.954582	1.564442E-10	0
13.063094	1.572177E-10	0
13.171671	1.566375E-10	0
13.2798	1.605052E-10	0
13.388285	1.556706E-10	0
13.49682	1.568309E-10	0
13.60389	1.55864E-10	0
13.711692	1.606985E-10	0
13.819936	1.574111E-10	0
13.928196	1.579912E-10	0
14.037215	1.549616E-10	0
14.146957	1.564442E-10	0
14.253924	1.556062E-10	0
14.362362	1.570888E-10	0
14.470261	1.541236E-10	0
14.578141	1.576689E-10	0
14.687546	1.554773E-10	0
14.796064	1.539947E-10	0
14.904443	1.585714E-10	0
15.011999	1.563152E-10	0
15.121205	1.560574E-10	0
15.228229	1.55864E-10	0
15.335124	1.543814E-10	0
15.444507	1.59087E-10	0
15.552519	1.568309E-10	0
15.661427	1.569598E-10	0
15.769746	1.608919E-10	0
15.87684	1.582491E-10	0
15.98585	1.574111E-10	0
16.095671	1.579268E-10	0
16.202897	1.557996E-10	0
16.310134	1.595383E-10	0
16.416026	1.555417E-10	0
16.525505	1.554773E-10	0
16.632605	1.536724E-10	0
16.742219	1.612142E-10	0
16.85167	1.586358E-10	0
16.960264	1.555417E-10	0
17.06776	1.576689E-10	0
17.174297	1.565086E-10	0
17.283747	1.556062E-10	0
17.390871	1.54317E-10	0
17.500515	1.581201E-10	0
17.60916	1.566375E-10	0
17.718084	1.577978E-10	0
17.825739	1.563797E-10	0
17.933227	1.576045E-10	0
18.039529	1.625679E-10	0
18.146684	1.576045E-10	0
18.254328	1.560574E-10	0
18.363333	1.567665E-10	0
18.470637	1.574111E-10	0
18.579653	1.559929E-10	0
18.688164	1.565731E-10	0
18.794444	1.572177E-10	0
18.903291	1.589581E-10	0
19.011495	1.545104E-10	0
19.117725	1.587647E-10	0
19.225995	1.556706E-10	0
19.33429	1.565086E-10	0
19.44153	1.563797E-10	0
19.549855	1.554773E-10	0
19.657534	1.570243E-10	0
19.764637	1.560574E-10	0
19.872884	1.524476E-10	0
19.979798	1.593449E-10	0
20.087553	1.537368E-10	0
20.195234	1.580557E-10	0
20.303476	1.530922E-10	0
20.409685	1.524476E-10	0
20.518254	1.550905E-10	0
20.627654	1.572822E-10	0
20.735291	1.548327E-10	0
20.845194	1.567665E-10	0
20.953387	1.554773E-10	0
21.061003	1.574755E-10	0
21.169415	1.556706E-10	0
21.279139	1.597316E-10	0
21.38869	1.547037E-10	0
21.495373	1.572822E-10	0
21.602787	1.564442E-10	0
21.710629	1.571532E-10	0
21.819165	1.513518E-10	0
21.927077	1.559929E-10	0
22.035063	1.572177E-10	0
22.142974	1.545748E-10	0
22.251448	1.579912E-10	0
22.358323	1.553483E-10	0
22.467289	1.552194E-10	0
22.575027	1.566375E-10	0
22.684212	1.544459E-10	0
22.793667	1.572822E-10	0
22.901578	1.55026E-10	0
23.008782	1.542525E-10	0
23.116634	1.565731E-10	0
23.224405	1.556062E-10	0
23.333997	1.55155E-10	0
23.442495	1.548971E-10	0
23.551237	1.576045E-10	0
23.658189	1.594093E-10	0
23.766908	1.567665E-10	0
23.874453	1.559285E-10	0
23.983529	1.556706E-10	0
24.091621	1.571532E-10	0
24.199757	1.544459E-10	0
24.307303	1.548327E-10	0
24.416993	1.576689E-10	0
24.524757	1.538013E-10	0
24.633079	1.548971E-10	0
24.741349	1.565731E-10	0
24.849603	1.560574E-10	0
24.957976	1.562508E-10	0
25.065228	1.539947E-10	0
25.172719	1.587003E-10	0
25.281101	1.55864E-10	0
25.38914	1.561863E-10	0
25.497541	1.563152E-10	0
25.605922	1.547682E-10	0
25.714927	1.555417E-10	0
25.824333	1.577978E-10	0
25.933871	1.583135E-10	0
26.041969	1.545104E-10	0
26.149249	1.58378E-10	0
26.256096	1.588937E-10	0
26.363997	1.568309E-10	0
26.472453	1.613431E-10	0
26.581365	1.559929E-10	0
26.689655	1.594093E-10	0
26.798507	1.579912E-10	0
26.906935	1.572177E-10	0
27.015362	1.5754E-10	0
27.12248	1.573466E-10	0
27.230008	1.555417E-10	0
27.337417	1.577334E-10	0
27.445941	1.556062E-10	0
27.554085	1.592804E-10	0
27.662147	1.569598E-10	0
27.76904	1.590226E-10	0
27.87936	1.559285E-10	0
27.988338	1.568309E-10	0
28.095942	1.563797E-10	0
28.203584	1.588292E-10	0
28.31153	1.568309E-10	0
28.419884	1.585714E-10	0
28.527582	1.548971E-10	0
28.637247	1.568954E-10	0
28.746932	1.548971E-10	0
28.854214	1.53479E-10	0
28.962453	1.556062E-10	0
29.070141	1.568954E-10	0
29.178985	1.589581E-10	0
29.285957	1.587647E-10	0
29.393857	1.582491E-10	0
29.50035	1.532856E-10	0
29.610183	1.51932E-10	0
29.717648	1.568309E-10	0
29.824798	1.535435E-10	0
29.932407	1.561863E-10	0
30.041492	1.54317E-10	0
30.148633	1.577334E-10	0
30.257356	1.579912E-10	0
30.365818	1.565086E-10	0
30.474267	1.56702E-10	0
30.583046	1.589581E-10	0
30.692048	1.533501E-10	0
30.799901	1.59087E-10	0
30.90736	1.588292E-10	0
31.015969	1.557351E-10	0
31.123286	1.574755E-10	0
31.231871	1.574755E-10	0
31.339827	1.588292E-10	0
31.448344	1.577334E-10	0
31.558147	1.570243E-10	0
31.665974	1.59216E-10	0
31.774388	1.596027E-10	0
31.88209	1.582491E-10	0
31.989743	1.590226E-10	0
32.097911	1.583135E-10	0
32.206995	1.550905E-10	0
32.314769	1.563152E-10	0
32.422477	1.568954E-10	0
32.530379	1.561219E-10	0
32.637017	1.544459E-10	0
32.746986	1.563152E-10	0
32.854718	1.55864E-10	0
32.962078	1.581846E-10	0
33.070934	1.597316E-10	0
33.179636	1.548971E-10	0
33.287383	1.580557E-10	0
33.396988	1.562508E-10	0
33.506095	1.58378E-10	0
33.613198	1.563797E-10	0
33.72137	1.560574E-10	0
33.830051	1.567665E-10	0
33.938859	1.576045E-10	0
34.047102	1.5754E-10	0
34.153843	1.595383E-10	0
34.26256	1.560574E-10	0
34.372011	1.569598E-10	0
34.479697	1.573466E-10	0
34.587966	1.598606E-10	0
34.696004	1.567665E-10	0
34.803698	1.561219E-10	0
34.913621	1.563797E-10	0
35.022906	1.568954E-10	0
35.13203	1.571532E-10	0
35.241098	1.579268E-10	0
35.349116	1.556062E-10	0
35.456957	1.552194E-10	0
35.565677	1.557996E-10	0
35.674301	1.586358E-10	0
35.783253	1.569598E-10	0
35.891079	1.565086E-10	0
35.999864	1.571532E-10	0
36.107898	1.585069E-10	0
36.216119	1.552194E-10	0
36.325333	1.532856E-10	0
36.434521	1.559285E-10	0
36.543399	1.589581E-10	0
36.652345	1.581201E-10	0
36.761621	1.556706E-10	0
36.869055	1.614721E-10	0
36.978115	1.564442E-10	0
37.086493	1.582491E-10	0
37.19408	1.581201E-10	0
37.301578	1.58378E-10	0
37.409119	1.566375E-10	0
37.517293	1.555417E-10	0
37.626399	1.563797E-10	0
37.733152	1.547682E-10	0
37.841825	1.555417E-10	0
37.949438	1.544459E-10	0
38.05701	1.5754E-10	0
38.166033	1.541881E-10	0
38.273234	1.59087E-10	0
38.382276	1.591515E-10	0
38.490969	1.566375E-10	0
38.59991	1.587647E-10	0
38.707425	1.565086E-10	0
38.816346	1.5754E-10	0
38.925119	1.554773E-10	0
39.033598	1.583135E-10	0
39.141132	1.576045E-10	0
39.250077	1.611498E-10	0
39.357393	1.537368E-10	0
39.467021	1.556062E-10	0
39.575666	1.556706E-10	0
39.685026	1.608919E-10	0
39.792629	1.557996E-10	0
39.901424	1.600539E-10	0
40.009012	1.576045E-10	0
40.11705	1.587647E-10	0
40.225319	1.570243E-10	0
40.334	1.576045E-10	0
40.441072	1.563797E-10	0
40.548333	1.579268E-10	0
40.656519	1.556706E-10	0
40.764658	1.576045E-10	0
40.872219	1.590226E-10	0
40.979745	1.588937E-10	0
41.087574	1.567665E-10	0
41.195331	1.581201E-10	0
41.303779	1.596027E-10	0
41.412105	1.570243E-10	0
41.520463	1.572822E-10	0
41.628609	1.580557E-10	0
41.736066	1.582491E-10	0
41.846731	1.591515E-10	0
41.954573	1.53479E-10	0
42.061839	1.597961E-10	0
42.169881	1.566375E-10	0
42.277073	1.559285E-10	0
42.384652	1.579912E-10	0
42.492941	1.597961E-10	0
42.601804	1.561863E-10	0
42.70891	1.610208E-10	0
42.818251	1.565731E-10	0
42.926685	1.595383E-10	0
43.034032	1.535435E-10	0
43.142048	1.576689E-10	0
43.250423	1.597316E-10	0
43.357785	1.583135E-10	0
43.465965	1.59216E-10	0
43.57462	1.595383E-10	0
43.683695	1.579268E-10	0
43.79182	1.62439E-10	0
43.90055	1.577334E-10	0
44.008558	1.621167E-10	0
44.117347	1.564442E-10	0
44.224761	1.594093E-10	0
44.331474	1.561863E-10	0
44.439888	1.560574E-10	0
44.54669	1.572822E-10	0
44.654594	1.571532E-10	0
44.762849	1.593449E-10	0
44.871365	1.563152E-10	0
44.979795	1.536724E-10	0
45.087306	1.547682E-10	0
45.196556	1.574111E-10	0
45.30501	1.571532E-10	0
45.413599	1.572177E-10	0
45.521634	1.559285E-10	0
45.629601	1.552194E-10	0
45.73733	1.591515E-10	0
45.846325	1.570243E-10	0
45.954504	1.597961E-10	0
46.061838	1.591515E-10	0
46.169749	1.579912E-10	0
46.278576	1.571532E-10	0
46.385127	1.627613E-10	0
46.495039	1.550905E-10	0
46.601956	1.577978E-10	0
46.710462	1.546393E-10	0
46.819082	1.604407E-10	0
46.928128	1.556062E-10	0
47.036117	1.571532E-10	0
47.144987	1.561863E-10	0
47.254849	1.594738E-10	0
47.361615	1.5754E-10	0
47.469217	1.559285E-10	0
47.576061	1.565731E-10	0
47.683188	1.577978E-10	0
47.790542	1.565086E-10	0
47.898746	1.571532E-10	0
48.007073	1.570888E-10	0
48.113904	1.600539E-10	0
48.222163	1.614076E-10	0
48.328961	1.601184E-10	0
48.435905	1.583135E-10	0
48.545745	1.582491E-10	0
48.653979	1.594738E-10	0
48.762795	1.578623E-10	0
48.87096	1.574755E-10	0
48.979112	1.595383E-10	0
49.087915	1.600539E-10	0
49.195273	1.585069E-10	0
49.303728	1.577334E-10	0
49.412372	1.591515E-10	0
49.521547	1.576689E-10	0
49.630595	1.608275E-10	0
49.738746	1.576689E-10	0
49.847132	1.573466E-10	0
49.954841	1.588292E-10	0
50.062205	1.573466E-10	0
50.170432	1.573466E-10	0
50.277096	1.59087E-10	0
50.384392	1.577334E-10	0
50.492901	1.591515E-10	0
50.602198	1.576045E-10	0
50.709047	1.58378E-10	0
50.81753	1.594738E-10	0
50.92573	1.597316E-10	0
51.033448	1.578623E-10	0
51.14158	1.576045E-10	0
51.24856	1.566375E-10	0
51.357266	1.602473E-10	0
51.465745	1.599895E-10	0
51.574526	1.5754E-10	0
51.681815	1.589581E-10	0
51.789743	1.601829E-10	0
51.898596	1.595383E-10	0
52.005628	1.594738E-10	0
52.11467	1.579912E-10	0
52.222978	1.577978E-10	0
52.332727	1.585069E-10	0
52.440555	1.552839E-10	0
52.550404	1.536724E-10	0
52.657666	1.56702E-10	0
52.765661	1.577978E-10	0
52.873977	1.568309E-10	0
52.981569	1.585069E-10	0
53.090825	1.594738E-10	0
53.198492	1.580557E-10	0
53.305263	1.589581E-10	0
53.41413	1.581201E-10	0
53.522375	1.593449E-10	0
53.631306	1.533501E-10	0
53.740261	1.578623E-10	0
53.847515	1.570243E-10	0
53.954268	1.601184E-10	0
54.061688	1.5754E-10	0
54.170077	1.572822E-10	0
