Time,s	TEY,A	Shutter
0	1.582491E-10	0
0.106237	1.554773E-10	0
0.213474	1.587003E-10	0
0.319764	1.572822E-10	0
0.427001	1.588937E-10	0
0.534235	1.561863E-10	0
0.64149	1.572177E-10	0
0.747758	1.615365E-10	0
0.853998	1.572177E-10	0
0.962224	1.579268E-10	0
1.069969	1.608919E-10	0
1.1784	1.576689E-10	0
1.286953	1.609564E-10	0
1.395433	1.577978E-10	0
1.503898	1.601829E-10	0
1.612012	1.628902E-10	0
1.721108	1.604407E-10	0
1.828674	1.609564E-10	0
1.937164	1.550905E-10	0
2.044751	1.590226E-10	0
2.152878	1.584424E-10	0
2.260459	1.598606E-10	0
2.36894	1.605696E-10	0
2.475939	1.577334E-10	0
2.583853	1.593449E-10	0
2.691025	1.59925E-10	0
2.79898	1.581201E-10	0
2.908808	1.637926E-10	0
3.017482	1.584424E-10	0
3.124638	1.596027E-10	0
3.233913	1.585714E-10	0
3.342521	1.601829E-10	0
3.450019	1.572822E-10	0
3.559169	1.548971E-10	0
3.666418	1.587003E-10	0
3.773301	1.58378E-10	0
3.881238	1.59087E-10	0
3.989301	1.570243E-10	0
4.097275	1.55864E-10	0
4.203979	1.617299E-10	0
4.311529	1.606985E-10	0
4.420077	1.594093E-10	0
4.527744	1.60763E-10	0
4.634962	1.574755E-10	0
4.743334	1.630836E-10	0
4.850625	1.586358E-10	0
4.960042	1.611498E-10	0
5.06698	1.564442E-10	0
5.17562	1.581846E-10	0
5.284795	1.588292E-10	0
5.392748	1.574755E-10	0
5.500358	1.601184E-10	0
5.608176	1.594093E-10	0
5.716168	1.571532E-10	0
5.823394	1.613431E-10	0
5.931203	1.577978E-10	0
6.037434	1.585714E-10	0
6.143662	1.59216E-10	0
6.25066	1.603118E-10	0
6.359605	1.601829E-10	0
6.469306	1.563152E-10	0
6.573526	1.605696E-10	0
6.681016	1.597961E-10	0
6.786792	1.565086E-10	0
6.892955	1.603118E-10	0
7.001209	1.579912E-10	0
7.109906	1.562508E-10	0
7.218289	1.608275E-10	0
7.327625	1.585714E-10	0
7.436101	1.572177E-10	0
7.545535	1.54317E-10	0
7.653936	1.608919E-10	0
7.760105	1.590226E-10	0
7.86749	1.591515E-10	0
7.974183	1.600539E-10	0
8.080531	1.559929E-10	0
8.188893	1.61601E-10	0
8.296102	1.601184E-10	0
8.404769	1.576045E-10	0
8.511564	1.56702E-10	0
8.62006	1.548971E-10	0
8.726879	1.574111E-10	0
8.833127	1.563797E-10	0
8.940548	1.618588E-10	0
9.046191	1.608275E-10	0
9.151934	1.617299E-10	0
9.260618	1.585069E-10	0
9.368609	1.583135E-10	0
9.476187	1.617944E-10	0
9.584055	1.588937E-10	0
9.692307	1.587003E-10	0
9.800454	1.603118E-10	0
9.909128	1.587647E-10	0
10.016449	1.599895E-10	0
10.125182	1.593449E-10	0
10.233579	1.585069E-10	0
10.340559	1.610853E-10	0
10.44853	1.598606E-10	0
10.55719	1.602473E-10	0
10.663776	1.577334E-10	0
10.77297	1.577334E-10	0
10.882095	1.603118E-10	0
10.988847	1.579912E-10	0
11.098036	1.585714E-10	0
11.205908	1.561863E-10	0
11.315671	1.591515E-10	0
11.425042	1.576045E-10	0
11.532592	1.582491E-10	0
11.639862	1.598606E-10	0
11.747848	1.627613E-10	0
11.857311	1.576689E-10	0
11.966421	1.606341E-10	0
12.073009	1.572822E-10	0
12.181598	1.601829E-10	0
12.289765	1.632125E-10	0
12.397796	1.556706E-10	0
12.506281	1.599895E-10	0
12.614627	1.587647E-10	0
12.721535	1.589581E-10	0
12.829695	1.625034E-10	0
12.938024	1.584424E-10	0
13.045611	1.572177E-10	0
13.15312	1.594738E-10	0
13.261605	1.612787E-10	0
13.370049	1.562508E-10	0
13.477021	1.58378E-10	0
13.584608	1.598606E-10	0
13.693829	1.589581E-10	0
13.80244	1.574755E-10	0
13.910713	1.599895E-10	0
14.018928	1.586358E-10	0
14.127906	1.590226E-10	0
14.236737	1.585714E-10	0
14.344388	1.625034E-10	0
14.452616	1.585714E-10	0
14.560797	1.61601E-10	0
14.670466	1.564442E-10	0
14.779466	1.614721E-10	0
14.88756	1.601829E-10	0
14.994164	1.585069E-10	0
15.102445	1.5754E-10	0
15.211119	1.592804E-10	0
15.320692	1.59087E-10	0
15.427516	1.611498E-10	0
15.53532	1.593449E-10	0
15.644235	1.603118E-10	0
15.75263	1.544459E-10	0
15.860852	1.617944E-10	0
15.969141	1.593449E-10	0
16.076387	1.601184E-10	0
16.182222	1.593449E-10	0
16.289523	1.552839E-10	0
16.397497	1.570243E-10	0
16.506625	1.574755E-10	0
16.614602	1.597961E-10	0
16.722715	1.573466E-10	0
16.831035	1.544459E-10	0
16.937276	1.582491E-10	0
17.044901	1.605696E-10	0
17.153028	1.583135E-10	0
17.262626	1.602473E-10	0
17.370716	1.546393E-10	0
17.478179	1.588937E-10	0
17.584467	1.577978E-10	0
17.692915	1.555417E-10	0
17.801562	1.587647E-10	0
17.909631	1.591515E-10	0
18.017722	1.591515E-10	0
18.126795	1.591515E-10	0
18.235022	1.584424E-10	0
18.341424	1.59925E-10	0
18.449198	1.588937E-10	0
18.558064	1.576689E-10	0
18.667447	1.610853E-10	0
18.775347	1.5754E-10	0
18.883079	1.579912E-10	0
18.989685	1.608919E-10	0
19.0977	1.596027E-10	0
19.206079	1.566375E-10	0
19.314766	1.582491E-10	0
19.423397	1.604407E-10	0
19.531758	1.578623E-10	0
19.640011	1.577334E-10	0
19.748096	1.585714E-10	0
19.856958	1.597316E-10	0
19.964985	1.600539E-10	0
20.072691	1.582491E-10	0
20.18163	1.627613E-10	0
20.290005	1.599895E-10	0
20.397537	1.594093E-10	0
20.50668	1.572822E-10	0
20.617265	1.589581E-10	0
20.724936	1.60763E-10	0
20.833052	1.597316E-10	0
20.941071	1.579268E-10	0
21.048296	1.600539E-10	0
21.156048	1.579268E-10	0
21.264067	1.588937E-10	0
21.371512	1.605052E-10	0
21.479884	1.605052E-10	0
21.588334	1.605696E-10	0
21.697582	1.579912E-10	0
21.806819	1.579268E-10	0
21.91298	1.587003E-10	0
22.021981	1.581201E-10	0
22.131238	1.588937E-10	0
22.240476	1.584424E-10	0
22.348502	1.603118E-10	0
22.456958	1.59216E-10	0
22.566116	1.609564E-10	0
22.675055	1.576045E-10	0
22.781688	1.597316E-10	0
22.891371	1.566375E-10	0
22.99941	1.585069E-10	0
23.107694	1.594738E-10	0
23.214943	1.606985E-10	0
23.324084	1.571532E-10	0
23.432459	1.568309E-10	0
23.54069	1.570888E-10	0
23.647606	1.592804E-10	0
23.755254	1.568954E-10	0
23.863767	1.569598E-10	0
23.972705	1.557351E-10	0
24.079828	1.610208E-10	0
24.188608	1.5754E-10	0
24.298192	1.565086E-10	0
24.406392	1.582491E-10	0
24.51371	1.574755E-10	0
24.620702	1.574111E-10	0
24.728807	1.581846E-10	0
24.837143	1.573466E-10	0
24.944098	1.577334E-10	0
25.052813	1.570888E-10	0
25.162038	1.616654E-10	0
25.268446	1.602473E-10	0
25.377602	1.608275E-10	0
25.485363	1.578623E-10	0
25.593857	1.585069E-10	0
25.702719	1.576689E-10	0
25.809927	1.557996E-10	0
25.917365	1.586358E-10	0
26.025934	1.573466E-10	0
26.134111	1.560574E-10	0
26.242682	1.580557E-10	0
26.352865	1.581846E-10	0
26.460665	1.611498E-10	0
26.56908	1.60763E-10	0
26.677194	1.625034E-10	0
26.785884	1.581201E-10	0
26.894283	1.570243E-10	0
27.001379	1.543814E-10	0
27.109049	1.605052E-10	0
27.217918	1.559285E-10	0
27.325267	1.571532E-10	0
27.434769	1.579268E-10	0
27.542732	1.55026E-10	0
27.649699	1.568309E-10	0
27.757584	1.581846E-10	0
27.863878	1.595383E-10	0
27.972168	1.580557E-10	0
28.079462	1.563152E-10	0
28.186691	1.577334E-10	0
28.294133	1.572177E-10	0
28.402762	1.594093E-10	0
28.509585	1.576045E-10	0
28.617012	1.574755E-10	0
28.722946	1.621811E-10	0
28.831746	1.593449E-10	0
28.94174	1.567665E-10	0
29.049513	1.585069E-10	0
29.158381	1.587647E-10	0
29.266431	1.606985E-10	0
29.373704	1.588292E-10	0
29.479783	1.572822E-10	0
29.588375	1.597961E-10	0
29.695345	1.59216E-10	0
29.804261	1.60763E-10	0
29.912756	1.598606E-10	0
30.021693	1.531567E-10	0
30.128818	1.574755E-10	0
30.238533	1.585714E-10	0
30.347697	1.589581E-10	0
30.457041	1.574111E-10	0
30.564144	1.589581E-10	0
30.673339	1.574755E-10	0
30.781254	1.577334E-10	0
30.889791	1.576689E-10	0
30.99594	1.579268E-10	0
31.103234	1.577978E-10	0
31.210419	1.563152E-10	0
31.31827	1.615365E-10	0
31.427399	1.574755E-10	0
31.53725	1.576689E-10	0
31.64476	1.59925E-10	0
31.753203	1.55864E-10	0
31.861773	1.601829E-10	0
31.970521	1.55864E-10	0
32.079356	1.572177E-10	0
32.187852	1.569598E-10	0
32.296091	1.567665E-10	0
32.403165	1.556706E-10	0
32.511575	1.576045E-10	0
32.620212	1.577334E-10	0
32.729314	1.571532E-10	0
32.83744	1.567665E-10	0
32.945843	1.582491E-10	0
33.053185	1.594093E-10	0
33.160823	1.566375E-10	0
33.268044	1.573466E-10	0
33.376163	1.614721E-10	0
33.48413	1.574755E-10	0
33.593599	1.606341E-10	0
33.703568	1.559929E-10	0
33.812011	1.594738E-10	0
33.921542	1.590226E-10	0
34.030293	1.585069E-10	0
34.13801	1.576045E-10	0
34.245292	1.610208E-10	0
34.353927	1.585714E-10	0
34.463674	1.600539E-10	0
34.570848	1.568309E-10	0
34.679283	1.600539E-10	0
34.787098	1.583135E-10	0
34.894862	1.605052E-10	0
35.001225	1.542525E-10	0
35.109102	1.599895E-10	0
35.217044	1.552194E-10	0
35.324295	1.589581E-10	0
35.433449	1.555417E-10	0
35.540602	1.572177E-10	0
35.64885	1.59087E-10	0
35.75555	1.605052E-10	0
35.863986	1.587003E-10	0
35.972621	1.580557E-10	0
36.081224	1.588292E-10	0
36.190231	1.61601E-10	0
36.297685	1.583135E-10	0
36.407629	1.608919E-10	0
36.515506	1.574755E-10	0
36.62536	1.604407E-10	0
36.732831	1.568954E-10	0
36.840219	1.609564E-10	0
36.948884	1.577978E-10	0
37.056569	1.610853E-10	0
37.164944	1.564442E-10	0
37.274867	1.5754E-10	0
37.384612	1.578623E-10	0
37.492817	1.592804E-10	0
37.600159	1.581201E-10	0
37.70758	1.597316E-10	0
37.81846	1.612787E-10	0
37.92517	1.587647E-10	0
38.034061	1.587647E-10	0
38.142107	1.597316E-10	0
38.250598	1.617299E-10	0
38.359566	1.601184E-10	0
38.467252	1.597961E-10	0
38.577081	1.572177E-10	0
38.68591	1.626323E-10	0
38.793502	1.561863E-10	0
38.90284	1.587003E-10	0
39.010334	1.583135E-10	0
39.118723	1.59216E-10	0
39.226233	1.587003E-10	0
39.33532	1.605696E-10	0
39.443992	1.572177E-10	0
39.551952	1.583135E-10	0
39.661835	1.571532E-10	0
39.769304	1.616654E-10	0
39.877641	1.535435E-10	0
39.987587	1.610853E-10	0
40.094491	1.583135E-10	0
40.201483	1.567665E-10	0
40.308051	1.580557E-10	0
40.41711	1.598606E-10	0
40.525049	1.576689E-10	0
40.632761	1.566375E-10	0
40.741582	1.588937E-10	0
40.848562	1.583135E-10	0
40.958168	1.55864E-10	0
41.065333	1.589581E-10	0
41.172461	1.606341E-10	0
41.281847	1.585069E-10	0
41.390748	1.539302E-10	0
41.499771	1.566375E-10	0
41.607621	1.559929E-10	0
41.715795	1.580557E-10	0
41.823206	1.596027E-10	0
41.931061	1.571532E-10	0
42.038871	1.601184E-10	0
42.145796	1.591515E-10	0
42.254249	1.577978E-10	0
42.362263	1.597961E-10	0
42.470795	1.565086E-10	0
42.578363	1.62439E-10	0
42.68796	1.552839E-10	0
