Time,s	TEY,A	Shutter
0	1.514163E-10	0
0.106715	1.611498E-10	0
0.214428	1.625034E-10	0
0.321143	1.610208E-10	0
0.428885	1.576689E-10	0
0.535615	1.548971E-10	0
0.642287	1.505783E-10	0
0.749009	1.542525E-10	0
0.856716	1.609564E-10	0
0.964429	1.618588E-10	0
1.072141	1.614721E-10	0
1.179408	1.55155E-10	0
1.286928	1.547037E-10	0
1.395346	1.543814E-10	0
1.510253	1.529633E-10	0
1.620226	1.585714E-10	0
1.728141	1.585069E-10	0
1.835845	1.61601E-10	0
1.94316	1.590226E-10	0
2.05078	1.576689E-10	0
2.157818	1.541881E-10	0
2.265917	1.547037E-10	0
2.373163	1.570888E-10	0
2.481741	1.589581E-10	0
2.589488	1.589581E-10	0
2.698814	1.595383E-10	0
2.805411	1.599895E-10	0
2.912486	1.547037E-10	0
3.021835	1.556062E-10	0
3.13001	1.539947E-10	0
3.236685	1.546393E-10	0
3.343069	1.588937E-10	0
3.451489	1.605052E-10	0
3.560102	1.559285E-10	0
3.66766	1.5754E-10	0
3.777055	1.543814E-10	0
3.884254	1.560574E-10	0
3.993179	1.530278E-10	0
4.102167	1.540591E-10	0
4.209735	1.572822E-10	0
4.31874	1.577978E-10	0
4.425392	1.576689E-10	0
4.533157	1.565086E-10	0
4.641513	1.583135E-10	0
4.749026	1.556706E-10	0
4.856554	1.588937E-10	0
4.964577	1.583135E-10	0
5.073056	1.586358E-10	0
5.18177	1.568954E-10	0
5.290833	1.55155E-10	0
5.399671	1.543814E-10	0
5.5077	1.562508E-10	0
5.615168	1.567665E-10	0
5.723194	1.557351E-10	0
5.832281	1.554773E-10	0
5.939291	1.585714E-10	0
6.047003	1.585069E-10	0
6.156564	1.559929E-10	0
6.264197	1.571532E-10	0
6.3742	1.541881E-10	0
6.481919	1.570888E-10	0
6.589814	1.580557E-10	0
6.696602	1.56702E-10	0
6.803203	1.570888E-10	0
6.91253	1.604407E-10	0
7.019923	1.576689E-10	0
7.128663	1.568309E-10	0
7.236935	1.593449E-10	0
7.344686	1.579912E-10	0
7.452015	1.561863E-10	0
7.560614	1.577978E-10	0
7.668798	1.604407E-10	0
7.776469	1.59087E-10	0
