Time,s	TEY,A	Shutter
0	1.55864E-10	0
0.107741	1.574755E-10	0
0.215454	1.574111E-10	0
0.32217	1.549616E-10	0
0.430879	1.584424E-10	0
0.537594	1.548327E-10	0
0.645309	1.585069E-10	0
0.75302	1.580557E-10	0
0.874696	1.572177E-10	0
0.981412	1.577978E-10	0
1.089124	1.60763E-10	0
1.197206	1.555417E-10	0
1.304279	1.601184E-10	0
1.410923	1.593449E-10	0
1.519116	1.579912E-10	0
1.62776	1.562508E-10	0
1.737118	1.576689E-10	0
1.844553	1.55026E-10	0
1.952108	1.593449E-10	0
2.060066	1.584424E-10	0
2.168078	1.571532E-10	0
2.276524	1.573466E-10	0
2.385564	1.574755E-10	0
2.494227	1.557351E-10	0
2.601528	1.574755E-10	0
2.71054	1.570243E-10	0
2.817813	1.556062E-10	0
2.925541	1.584424E-10	0
3.032432	1.566375E-10	0
3.139458	1.564442E-10	0
3.247001	1.570888E-10	0
3.354575	1.581846E-10	0
3.463072	1.621811E-10	0
3.570152	1.560574E-10	0
3.676942	1.556706E-10	0
3.784898	1.580557E-10	0
3.892493	1.59925E-10	0
4.00042	1.586358E-10	0
4.106886	1.559285E-10	0
4.214577	1.603118E-10	0
4.324579	1.559929E-10	0
4.432647	1.590226E-10	0
4.540007	1.568309E-10	0
4.647965	1.594093E-10	0
4.754951	1.578623E-10	0
4.866068	1.588937E-10	0
4.973005	1.579268E-10	0
5.082355	1.563797E-10	0
5.190507	1.589581E-10	0
5.298884	1.596672E-10	0
5.407597	1.583135E-10	0
5.514856	1.612142E-10	0
5.622876	1.583135E-10	0
5.730111	1.561219E-10	0
5.838801	1.582491E-10	0
5.94553	1.552194E-10	0
6.054995	1.545104E-10	0
6.163691	1.574111E-10	0
6.273837	1.59216E-10	0
6.382947	1.563152E-10	0
6.49027	1.574755E-10	0
6.59971	1.585069E-10	0
6.707735	1.59087E-10	0
6.818338	1.593449E-10	0
6.925478	1.589581E-10	0
7.03321	1.557996E-10	0
7.140531	1.59216E-10	0
7.248829	1.578623E-10	0
7.356996	1.595383E-10	0
7.464221	1.568954E-10	0
7.57177	1.582491E-10	0
7.678822	1.548971E-10	0
7.785997	1.571532E-10	0
7.893162	1.574755E-10	0
8.001096	1.581846E-10	0
8.109009	1.581201E-10	0
8.221815	1.572822E-10	0
8.329746	1.577334E-10	0
8.437012	1.592804E-10	0
8.54604	1.577334E-10	0
8.653613	1.581846E-10	0
8.764258	1.587003E-10	0
8.870674	1.593449E-10	0
8.978264	1.594738E-10	0
9.085273	1.561219E-10	0
9.193552	1.597316E-10	0
9.30376	1.594738E-10	0
9.412872	1.608919E-10	0
9.52243	1.557351E-10	0
9.630251	1.56702E-10	0
9.739256	1.574111E-10	0
9.847015	1.581846E-10	0
9.953851	1.585714E-10	0
10.062763	1.574755E-10	0
10.171107	1.594738E-10	0
10.278057	1.557996E-10	0
10.387687	1.570243E-10	0
10.495871	1.569598E-10	0
10.603884	1.59925E-10	0
10.711721	1.576045E-10	0
10.819158	1.608919E-10	0
10.92687	1.608275E-10	0
11.035297	1.579268E-10	0
11.143449	1.594093E-10	0
11.250783	1.602473E-10	0
11.35893	1.605052E-10	0
11.467366	1.594093E-10	0
11.576268	1.582491E-10	0
11.684196	1.603762E-10	0
11.793116	1.55026E-10	0
11.901781	1.585069E-10	0
12.010653	1.573466E-10	0
12.118165	1.574111E-10	0
12.22651	1.606341E-10	0
12.334092	1.58378E-10	0
12.442179	1.608919E-10	0
12.550622	1.556062E-10	0
12.658427	1.583135E-10	0
12.766836	1.55864E-10	0
12.874976	1.572822E-10	0
12.981666	1.581201E-10	0
13.087582	1.561219E-10	0
13.194514	1.583135E-10	0
13.303426	1.60763E-10	0
13.411343	1.563797E-10	0
13.518673	1.543814E-10	0
13.625686	1.574111E-10	0
13.733543	1.577978E-10	0
13.841315	1.524476E-10	0
13.948447	1.585714E-10	0
14.057053	1.55864E-10	0
14.16541	1.59925E-10	0
14.276284	1.603118E-10	0
14.383426	1.585714E-10	0
14.490999	1.576045E-10	0
14.598711	1.568954E-10	0
14.708419	1.59216E-10	0
14.813302	1.594738E-10	0
14.921379	1.565731E-10	0
15.029443	1.557996E-10	0
15.136416	1.561219E-10	0
15.244378	1.588937E-10	0
15.352764	1.603762E-10	0
15.459208	1.589581E-10	0
15.568325	1.568309E-10	0
15.676066	1.583135E-10	0
15.783929	1.560574E-10	0
15.892167	1.599895E-10	0
15.999686	1.562508E-10	0
16.108824	1.600539E-10	0
16.217395	1.584424E-10	0
16.325786	1.594093E-10	0
16.434506	1.572822E-10	0
16.543474	1.549616E-10	0
16.650802	1.590226E-10	0
16.758206	1.562508E-10	0
16.866937	1.567665E-10	0
16.974219	1.58378E-10	0
17.082295	1.589581E-10	0
17.191053	1.592804E-10	0
17.299807	1.542525E-10	0
17.405567	1.612142E-10	0
17.513615	1.577334E-10	0
17.621826	1.565731E-10	0
17.729561	1.553483E-10	0
17.837168	1.610208E-10	0
17.944174	1.59925E-10	0
18.051665	1.59925E-10	0
18.15959	1.577334E-10	0
18.268919	1.593449E-10	0
18.375584	1.581201E-10	0
18.483339	1.605052E-10	0
18.591221	1.576689E-10	0
18.700233	1.564442E-10	0
18.808178	1.572822E-10	0
18.917015	1.579912E-10	0
19.026091	1.612142E-10	0
19.134368	1.579912E-10	0
19.241442	1.590226E-10	0
19.348989	1.585069E-10	0
19.457098	1.565731E-10	0
19.564706	1.59216E-10	0
19.672947	1.54317E-10	0
19.78162	1.566375E-10	0
19.888379	1.571532E-10	0
