Time,s	TEY,A	Shutter
0	1.537368E-10	0
0.10771	1.557996E-10	0
0.215433	1.548327E-10	0
0.323138	1.579912E-10	0
0.429851	1.581846E-10	0
0.537564	1.55026E-10	0
0.64428	1.581201E-10	0
0.75	1.548327E-10	0
0.857712	1.570243E-10	0
0.964427	1.563152E-10	0
1.071142	1.537368E-10	0
1.178002	1.585714E-10	0
1.28562	1.574755E-10	0
1.393167	1.567665E-10	0
1.500856	1.572177E-10	0
1.608287	1.594093E-10	0
1.718393	1.546393E-10	0
1.826119	1.547037E-10	0
1.934908	1.559285E-10	0
2.042717	1.541236E-10	0
2.151029	1.583135E-10	0
2.260392	1.559285E-10	0
2.368947	1.583135E-10	0
2.478603	1.574755E-10	0
2.58681	1.55864E-10	0
2.693305	1.53479E-10	0
2.800905	1.536079E-10	0
2.908048	1.579912E-10	0
3.015687	1.547037E-10	0
3.123755	1.577334E-10	0
3.230755	1.55026E-10	0
3.339512	1.55026E-10	0
3.447669	1.528989E-10	0
3.557693	1.555417E-10	0
3.665849	1.554128E-10	0
3.77401	1.535435E-10	0
3.880653	1.576689E-10	0
3.989411	1.54317E-10	0
4.097655	1.563797E-10	0
4.2057	1.557996E-10	0
4.314585	1.548971E-10	0
4.422073	1.587647E-10	0
4.530021	1.559929E-10	0
4.638431	1.569598E-10	0
4.745418	1.538013E-10	0
4.852865	1.539302E-10	0
4.959652	1.550905E-10	0
5.068792	1.55864E-10	0
5.177115	1.580557E-10	0
5.285731	1.537368E-10	0
5.394816	1.582491E-10	0
5.502583	1.569598E-10	0
5.610287	1.545748E-10	0
5.71881	1.532212E-10	0
5.827699	1.561863E-10	0
5.9361	1.552839E-10	0
6.045289	1.559929E-10	0
6.154794	1.538658E-10	0
6.262922	1.544459E-10	0
6.370391	1.568954E-10	0
6.47811	1.557351E-10	0
6.585792	1.56702E-10	0
6.692888	1.574111E-10	0
6.799048	1.51932E-10	0
6.906462	1.578623E-10	0
7.013564	1.554128E-10	0
7.122262	1.564442E-10	0
7.231137	1.591515E-10	0
7.339696	1.570888E-10	0
7.447857	1.5754E-10	0
7.556914	1.541236E-10	0
7.665487	1.54317E-10	0
7.774227	1.521253E-10	0
7.881065	1.545104E-10	0
7.990254	1.546393E-10	0
8.097394	1.557351E-10	0
8.206368	1.585069E-10	0
8.313158	1.541236E-10	0
8.421107	1.560574E-10	0
8.529269	1.514163E-10	0
8.63574	1.579912E-10	0
8.743124	1.596027E-10	0
8.850244	1.561863E-10	0
8.958747	1.570888E-10	0
9.067111	1.541236E-10	0
9.175747	1.545104E-10	0
9.284105	1.546393E-10	0
9.392581	1.55864E-10	0
9.500136	1.528989E-10	0
9.609503	1.565731E-10	0
9.717138	1.577978E-10	0
9.82486	1.531567E-10	0
9.93379	1.536079E-10	0
10.042245	1.540591E-10	0
10.150696	1.557996E-10	0
10.258603	1.576045E-10	0
10.366511	1.563797E-10	0
10.475021	1.557996E-10	0
10.584355	1.557996E-10	0
10.692484	1.559929E-10	0
10.801329	1.544459E-10	0
10.910326	1.521253E-10	0
11.018745	1.5754E-10	0
11.127526	1.556062E-10	0
11.235763	1.574111E-10	0
11.343287	1.555417E-10	0
11.452222	1.577978E-10	0
11.559934	1.55026E-10	0
11.668711	1.534145E-10	0
11.77747	1.573466E-10	0
11.884662	1.527699E-10	0
11.99326	1.541236E-10	0
12.100974	1.545104E-10	0
12.20809	1.570888E-10	0
12.315774	1.554773E-10	0
12.423443	1.583135E-10	0
12.531383	1.594093E-10	0
12.639208	1.561219E-10	0
12.746778	1.560574E-10	0
12.85481	1.542525E-10	0
12.96315	1.53479E-10	0
13.070208	1.556706E-10	0
13.178485	1.545104E-10	0
13.285748	1.579912E-10	0
13.392905	1.540591E-10	0
13.502196	1.567665E-10	0
13.610446	1.55864E-10	0
13.718173	1.560574E-10	0
13.825787	1.557351E-10	0
13.935139	1.571532E-10	0
14.043475	1.557351E-10	0
14.151506	1.550905E-10	0
14.25776	1.55864E-10	0
14.365605	1.570243E-10	0
14.473687	1.580557E-10	0
14.581207	1.571532E-10	0
14.690226	1.538013E-10	0
14.799291	1.554773E-10	0
14.908211	1.55155E-10	0
15.01508	1.552839E-10	0
15.122856	1.541236E-10	0
15.231271	1.587003E-10	0
15.339357	1.552839E-10	0
15.448031	1.572177E-10	0
15.556045	1.549616E-10	0
15.662933	1.549616E-10	0
15.77111	1.553483E-10	0
15.878274	1.561863E-10	0
15.987194	1.550905E-10	0
16.0954	1.536079E-10	0
16.20437	1.557996E-10	0
16.312445	1.601829E-10	0
16.419652	1.53479E-10	0
16.527992	1.552194E-10	0
16.635417	1.545104E-10	0
16.743652	1.550905E-10	0
16.85134	1.559929E-10	0
16.959836	1.579912E-10	0
17.069055	1.555417E-10	0
17.177752	1.568309E-10	0
17.285531	1.531567E-10	0
17.393777	1.570888E-10	0
17.503484	1.584424E-10	0
17.612544	1.568309E-10	0
17.720862	1.55155E-10	0
17.830381	1.566375E-10	0
17.938312	1.55864E-10	0
18.045059	1.591515E-10	0
18.153636	1.553483E-10	0
18.261744	1.574755E-10	0
18.369059	1.541236E-10	0
18.476745	1.562508E-10	0
18.585249	1.572177E-10	0
18.693307	1.595383E-10	0
18.801355	1.574755E-10	0
18.909056	1.542525E-10	0
19.015538	1.562508E-10	0
19.124118	1.545104E-10	0
19.231319	1.567665E-10	0
19.338508	1.58378E-10	0
19.445295	1.544459E-10	0
19.555297	1.573466E-10	0
19.663615	1.563797E-10	0
19.771904	1.593449E-10	0
19.880722	1.555417E-10	0
19.988525	1.557996E-10	0
20.096882	1.557351E-10	0
20.205747	1.586358E-10	0
20.313489	1.569598E-10	0
20.420352	1.563797E-10	0
20.52906	1.562508E-10	0
20.637455	1.589581E-10	0
20.744473	1.581201E-10	0
20.853439	1.56702E-10	0
20.963031	1.534145E-10	0
21.071103	1.585714E-10	0
21.178116	1.569598E-10	0
21.288094	1.553483E-10	0
21.395851	1.546393E-10	0
21.503047	1.556706E-10	0
21.610753	1.539302E-10	0
21.717361	1.567665E-10	0
21.824913	1.568309E-10	0
21.931628	1.532856E-10	0
22.039341	1.539947E-10	0
22.148074	1.55155E-10	0
22.253771	1.545104E-10	0
22.361484	1.58378E-10	0
22.468197	1.557351E-10	0
22.574019	1.593449E-10	0
22.681592	1.577978E-10	0
22.789618	1.541881E-10	0
22.896897	1.569598E-10	0
23.00492	1.522543E-10	0
23.111195	1.552194E-10	0
23.221181	1.55155E-10	0
23.329864	1.568309E-10	0
23.436784	1.566375E-10	0
23.545868	1.561863E-10	0
23.65298	1.545104E-10	0
23.764232	1.538658E-10	0
23.869954	1.573466E-10	0
23.977819	1.577334E-10	0
24.087266	1.572177E-10	0
24.194676	1.588937E-10	0
24.302973	1.570888E-10	0
24.411866	1.55155E-10	0
24.52037	1.547682E-10	0
24.628755	1.556706E-10	0
24.737726	1.522543E-10	0
24.846465	1.530278E-10	0
24.954022	1.56702E-10	0
25.061505	1.514163E-10	0
25.168737	1.536724E-10	0
25.276258	1.542525E-10	0
25.38391	1.549616E-10	0
25.491616	1.539302E-10	0
25.599181	1.574111E-10	0
25.709624	1.527699E-10	0
25.816123	1.538658E-10	0
25.924216	1.547037E-10	0
26.031877	1.550905E-10	0
26.141319	1.542525E-10	0
26.248902	1.554128E-10	0
26.357288	1.568954E-10	0
26.464607	1.555417E-10	0
26.572407	1.539947E-10	0
26.680358	1.556706E-10	0
26.78922	1.547682E-10	0
26.895967	1.568309E-10	0
27.003562	1.555417E-10	0
27.111789	1.572822E-10	0
27.219738	1.568309E-10	0
27.32716	1.568309E-10	0
27.434927	1.548327E-10	0
27.54425	1.577978E-10	0
27.652389	1.565731E-10	0
27.760561	1.536079E-10	0
27.868874	1.571532E-10	0
27.976909	1.566375E-10	0
28.08488	1.559929E-10	0
28.19245	1.543814E-10	0
28.300622	1.520609E-10	0
28.409596	1.557351E-10	0
28.517306	1.556062E-10	0
28.625913	1.556706E-10	0
28.734993	1.588292E-10	0
28.843776	1.539302E-10	0
28.951538	1.530922E-10	0
29.060255	1.536724E-10	0
29.169237	1.554128E-10	0
29.279045	1.552839E-10	0
29.38809	1.559929E-10	0
29.495293	1.561863E-10	0
29.603613	1.539302E-10	0
29.712808	1.556706E-10	0
29.820522	1.566375E-10	0
29.926239	1.563152E-10	0
30.037941	1.561219E-10	0
30.144657	1.581846E-10	0
30.251563	1.557996E-10	0
30.35844	1.527055E-10	0
30.46545	1.54317E-10	0
30.574135	1.571532E-10	0
30.683588	1.539302E-10	0
30.791121	1.587003E-10	0
30.899325	1.527055E-10	0
31.007701	1.557351E-10	0
31.115726	1.563797E-10	0
31.224632	1.544459E-10	0
31.332626	1.557351E-10	0
31.441184	1.54317E-10	0
31.550007	1.516097E-10	0
31.65782	1.554128E-10	0
31.765404	1.538013E-10	0
31.87449	1.545748E-10	0
31.98236	1.556062E-10	0
32.089528	1.565731E-10	0
32.198336	1.565086E-10	0
32.305944	1.572177E-10	0
32.415182	1.545104E-10	0
32.524194	1.53479E-10	0
32.633043	1.560574E-10	0
32.741063	1.560574E-10	0
32.848949	1.585069E-10	0
32.954884	1.544459E-10	0
33.063213	1.519964E-10	0
33.170841	1.583135E-10	0
33.278388	1.568309E-10	0
33.388012	1.567665E-10	0
33.496634	1.561219E-10	0
33.605001	1.548327E-10	0
33.712734	1.545748E-10	0
33.820683	1.590226E-10	0
33.93053	1.536079E-10	0
