Time,s	TEY,A	Shutter
0	1.579268E-10	0
0.108281	1.612142E-10	0
0.21656	1.620522E-10	0
0.322792	1.578623E-10	0
0.429094	1.585714E-10	0
0.5373	1.574111E-10	0
0.645529	1.548327E-10	0
0.75176	1.5754E-10	0
0.859	1.570243E-10	0
1.004261	1.59216E-10	0
1.111539	1.571532E-10	0
1.218867	1.579268E-10	0
1.326138	1.609564E-10	0
1.43323	1.592804E-10	0
1.539718	1.598606E-10	0
1.648464	1.617944E-10	0
1.756526	1.571532E-10	0
1.864844	1.576689E-10	0
1.973218	1.590226E-10	0
2.080811	1.611498E-10	0
2.189878	1.561219E-10	0
2.298189	1.580557E-10	0
2.404366	1.596027E-10	0
2.513345	1.580557E-10	0
2.620234	1.585069E-10	0
2.72873	1.582491E-10	0
2.838317	1.579268E-10	0
2.946782	1.576045E-10	0
3.054508	1.579268E-10	0
3.162325	1.579268E-10	0
3.270529	1.585714E-10	0
3.376946	1.579268E-10	0
3.485797	1.587647E-10	0
3.593787	1.550905E-10	0
3.701489	1.561219E-10	0
3.809297	1.570243E-10	0
3.916716	1.581846E-10	0
4.026327	1.5754E-10	0
4.133405	1.59925E-10	0
4.241905	1.541236E-10	0
4.349834	1.565731E-10	0
4.45849	1.544459E-10	0
4.565366	1.568954E-10	0
4.673227	1.581846E-10	0
4.781875	1.563797E-10	0
4.889014	1.556062E-10	0
4.998435	1.58378E-10	0
5.107017	1.576689E-10	0
5.214118	1.56702E-10	0
5.32229	1.561219E-10	0
5.430447	1.5754E-10	0
5.538331	1.555417E-10	0
5.645679	1.548327E-10	0
5.755023	1.539947E-10	0
5.863349	1.584424E-10	0
5.970942	1.579912E-10	0
6.079916	1.561863E-10	0
6.187503	1.56702E-10	0
6.297891	1.593449E-10	0
6.407418	1.612142E-10	0
6.514745	1.554128E-10	0
6.622213	1.570243E-10	0
6.731332	1.572177E-10	0
6.840128	1.570888E-10	0
6.947531	1.585069E-10	0
7.056049	1.599895E-10	0
7.162451	1.552194E-10	0
7.269864	1.581201E-10	0
7.377511	1.592804E-10	0
7.48602	1.565086E-10	0
7.595352	1.574111E-10	0
7.70238	1.574755E-10	0
7.809237	1.590226E-10	0
7.917518	1.579268E-10	0
8.027113	1.594738E-10	0
8.133476	1.594738E-10	0
8.241064	1.574111E-10	0
8.34866	1.599895E-10	0
8.455843	1.572822E-10	0
8.563934	1.595383E-10	0
8.670631	1.585069E-10	0
8.777915	1.596672E-10	0
8.885713	1.563797E-10	0
8.99285	1.56702E-10	0
9.10128	1.59087E-10	0
9.209908	1.581201E-10	0
9.318533	1.606341E-10	0
9.426792	1.590226E-10	0
9.533888	1.586358E-10	0
9.6415	1.574111E-10	0
9.74906	1.581846E-10	0
9.856697	1.579912E-10	0
9.965018	1.595383E-10	0
10.083542	1.597316E-10	0
10.192185	1.597961E-10	0
10.30394	1.601184E-10	0
10.412019	1.600539E-10	0
10.519217	1.587647E-10	0
10.627544	1.59087E-10	0
10.736092	1.58378E-10	0
10.842456	1.60763E-10	0
10.951002	1.61601E-10	0
11.058992	1.570243E-10	0
11.166724	1.567665E-10	0
11.275087	1.622456E-10	0
11.382678	1.594738E-10	0
11.491474	1.58378E-10	0
11.599459	1.581846E-10	0
11.707551	1.570243E-10	0
11.816676	1.573466E-10	0
11.925908	1.605696E-10	0
12.033786	1.585069E-10	0
12.14315	1.598606E-10	0
12.250902	1.565731E-10	0
12.358289	1.579912E-10	0
12.468209	1.590226E-10	0
12.577982	1.591515E-10	0
12.684949	1.540591E-10	0
12.793049	1.579912E-10	0
12.901134	1.571532E-10	0
13.008301	1.553483E-10	0
13.116572	1.579912E-10	0
13.223633	1.562508E-10	0
13.332948	1.597316E-10	0
13.441345	1.564442E-10	0
13.548007	1.59925E-10	0
13.656088	1.544459E-10	0
13.764024	1.58378E-10	0
13.872472	1.541881E-10	0
13.979975	1.533501E-10	0
14.088539	1.563152E-10	0
14.196809	1.578623E-10	0
14.304978	1.577978E-10	0
14.413463	1.574755E-10	0
14.52213	1.561219E-10	0
14.631595	1.589581E-10	0
14.739726	1.568954E-10	0
14.846605	1.580557E-10	0
14.955491	1.556706E-10	0
15.064389	1.561219E-10	0
15.172083	1.574755E-10	0
15.280912	1.5754E-10	0
15.388587	1.574111E-10	0
15.497586	1.595383E-10	0
15.604686	1.588937E-10	0
15.713642	1.581846E-10	0
15.821881	1.571532E-10	0
15.92998	1.556706E-10	0
16.037052	1.58378E-10	0
16.144264	1.568309E-10	0
16.253819	1.570243E-10	0
16.362329	1.603118E-10	0
16.471599	1.568954E-10	0
16.57983	1.56702E-10	0
16.688441	1.545748E-10	0
16.797865	1.608275E-10	0
16.906252	1.606985E-10	0
17.014031	1.576689E-10	0
17.123392	1.564442E-10	0
17.231425	1.557351E-10	0
17.339743	1.594093E-10	0
17.447601	1.589581E-10	0
17.555911	1.569598E-10	0
17.664505	1.572822E-10	0
17.773227	1.577334E-10	0
17.881097	1.570243E-10	0
17.992322	1.58378E-10	0
18.103226	1.574111E-10	0
18.214729	1.563152E-10	0
18.321903	1.571532E-10	0
18.431183	1.563152E-10	0
18.538307	1.582491E-10	0
18.646223	1.563797E-10	0
18.753459	1.581846E-10	0
18.859843	1.584424E-10	0
18.966489	1.587003E-10	0
19.074989	1.582491E-10	0
19.181742	1.594738E-10	0
19.290004	1.553483E-10	0
19.398523	1.585714E-10	0
19.506791	1.589581E-10	0
19.61556	1.570243E-10	0
19.723564	1.596672E-10	0
19.831714	1.568954E-10	0
19.938824	1.578623E-10	0
20.046449	1.570888E-10	0
20.153935	1.59087E-10	0
20.260717	1.605696E-10	0
20.367527	1.563797E-10	0
20.474886	1.606341E-10	0
20.587359	1.568954E-10	0
20.698205	1.555417E-10	0
20.806131	1.557996E-10	0
20.915547	1.585069E-10	0
21.023951	1.584424E-10	0
21.132806	1.608919E-10	0
21.24054	1.601829E-10	0
21.347636	1.576045E-10	0
21.456039	1.570243E-10	0
