Time,s	TEY,A	Shutter
0	1.600539E-10	0
0.107709	1.576045E-10	0
0.215425	1.553483E-10	0
0.32114	1.580557E-10	0
0.428854	1.576045E-10	0
0.53557	1.581201E-10	0
0.642286	1.574755E-10	0
0.749999	1.605696E-10	0
0.856714	1.587003E-10	0
0.963429	1.579912E-10	0
1.071141	1.585069E-10	0
1.179067	1.565731E-10	0
1.288551	1.588292E-10	0
1.396166	1.572822E-10	0
1.504478	1.612787E-10	0
1.611201	1.592804E-10	0
1.722755	1.652752E-10	0
1.830694	1.625679E-10	0
1.939352	1.562508E-10	0
2.046865	1.605052E-10	0
2.156267	1.621167E-10	0
2.264092	1.593449E-10	0
2.372032	1.6231E-10	0
2.479504	1.610853E-10	0
2.587656	1.610208E-10	0
2.69543	1.580557E-10	0
2.803534	1.595383E-10	0
2.911166	1.619877E-10	0
3.020685	1.615365E-10	0
3.128198	1.617299E-10	0
3.234985	1.591515E-10	0
3.342286	1.619233E-10	0
3.451304	1.620522E-10	0
3.559919	1.572822E-10	0
3.668185	1.608275E-10	0
3.775837	1.560574E-10	0
3.883984	1.602473E-10	0
3.991371	1.588292E-10	0
4.100089	1.571532E-10	0
4.208931	1.591515E-10	0
4.315504	1.574755E-10	0
4.424801	1.6231E-10	0
4.533544	1.584424E-10	0
4.64218	1.610853E-10	0
4.750147	1.614721E-10	0
4.857909	1.587647E-10	0
4.967897	1.554128E-10	0
5.07507	1.576045E-10	0
5.183547	1.596672E-10	0
5.291718	1.582491E-10	0
5.400189	1.58378E-10	0
5.508105	1.579912E-10	0
5.61705	1.54317E-10	0
5.724745	1.585714E-10	0
5.833687	1.58378E-10	0
5.941483	1.583135E-10	0
6.050189	1.576045E-10	0
6.1569	1.587647E-10	0
6.264276	1.602473E-10	0
6.371665	1.584424E-10	0
6.479548	1.571532E-10	0
6.589554	1.588292E-10	0
6.697459	1.580557E-10	0
6.806799	1.585714E-10	0
6.913383	1.576689E-10	0
7.022024	1.588292E-10	0
7.128801	1.580557E-10	0
7.237468	1.577334E-10	0
7.344737	1.556062E-10	0
7.452718	1.586358E-10	0
7.560221	1.59087E-10	0
7.668274	1.584424E-10	0
7.775568	1.59087E-10	0
7.88373	1.581846E-10	0
7.991004	1.557996E-10	0
8.100204	1.592804E-10	0
8.208772	1.603118E-10	0
8.317226	1.601829E-10	0
8.427449	1.585069E-10	0
8.534833	1.610208E-10	0
8.643579	1.574755E-10	0
8.751669	1.585069E-10	0
8.860124	1.554773E-10	0
8.966974	1.599895E-10	0
9.076108	1.579912E-10	0
9.184026	1.629546E-10	0
9.291666	1.583135E-10	0
9.400393	1.592804E-10	0
9.508673	1.55864E-10	0
9.616426	1.597316E-10	0
9.724851	1.590226E-10	0
9.834342	1.577978E-10	0
9.941274	1.559285E-10	0
10.049766	1.569598E-10	0
10.158927	1.603118E-10	0
10.267677	1.59087E-10	0
10.375854	1.59216E-10	0
10.483386	1.600539E-10	0
10.592716	1.592804E-10	0
10.701025	1.585069E-10	0
10.808677	1.597961E-10	0
10.915689	1.582491E-10	0
11.024543	1.577978E-10	0
11.133046	1.590226E-10	0
11.240187	1.582491E-10	0
11.34789	1.587003E-10	0
11.455481	1.587647E-10	0
11.562634	1.587003E-10	0
11.670519	1.596027E-10	0
11.779868	1.556706E-10	0
11.888853	1.601829E-10	0
11.997195	1.596672E-10	0
12.105152	1.591515E-10	0
12.212012	1.586358E-10	0
12.321883	1.561863E-10	0
12.431118	1.546393E-10	0
12.539065	1.560574E-10	0
12.648206	1.574755E-10	0
12.755682	1.585069E-10	0
12.863679	1.594093E-10	0
12.971956	1.606985E-10	0
13.080615	1.561863E-10	0
13.189542	1.596027E-10	0
13.297904	1.588937E-10	0
13.406292	1.574755E-10	0
13.514205	1.591515E-10	0
13.62359	1.586358E-10	0
13.731833	1.555417E-10	0
13.839743	1.59087E-10	0
13.947886	1.615365E-10	0
14.055539	1.603762E-10	0
14.162705	1.568309E-10	0
14.271732	1.588292E-10	0
14.380241	1.583135E-10	0
14.488001	1.596027E-10	0
14.597277	1.587647E-10	0
14.707295	1.61601E-10	0
14.815864	1.588292E-10	0
14.923321	1.594093E-10	0
15.030691	1.600539E-10	0
15.13978	1.59925E-10	0
15.247474	1.608919E-10	0
15.356008	1.601184E-10	0
15.464259	1.622456E-10	0
15.571744	1.550905E-10	0
15.681014	1.585714E-10	0
15.789803	1.585714E-10	0
