Time,s	TEY,A	Shutter
0	1.831951E-10	0
0.106716	2.426917E-10	0
0.212436	7.644923E-11	0
0.319148	1.252455E-10	0
0.426869	2.865246E-10	0
0.534573	-3.871569E-13	0
0.642286	2.970316E-10	0
0.749999	6.37506E-11	0
0.857712	1.634059E-10	0
0.964427	2.308955E-10	0
1.073139	7.277501E-11	0
1.180399	1.576045E-10	0
1.289831	2.405645E-10	0
1.39694	7.722276E-11	0
1.505525	1.683693E-10	0
1.615361	2.223868E-10	0
1.722355	2.868433E-11	0
1.830503	3.26941E-10	0
1.939342	9.861993E-12	0
2.047312	1.991812E-10	0
2.156671	2.188415E-10	0
2.264645	6.400844E-11	0
2.372702	1.883519E-10	0
2.482895	1.861603E-10	0
2.590267	9.86235E-11	0
2.698678	2.045958E-10	0
2.809326	1.505138E-10	0
2.914046	8.631162E-11	0
3.021737	3.112772E-10	0
3.128452	5.994389E-12	0
3.236165	2.234182E-10	0
3.344975	1.762979E-10	0
3.453017	9.114613E-11	0
3.56022	2.005349E-10	0
3.668871	1.532856E-10	0
3.777075	1.131915E-10	0
3.886145	2.422405E-10	0
3.99463	8.792313E-11	0
4.10127	1.440034E-10	0
4.210427	2.626099E-10	0
4.319037	1.817734E-11	0
4.426754	2.531987E-10	0
4.534093	1.273082E-10	0
4.641256	1.35817E-10	0
4.750383	2.052404E-10	0
4.857586	1.270504E-10	0
4.967277	1.335608E-10	0
5.075369	2.488154E-10	0
5.182558	6.317046E-11	0
5.290593	1.825505E-10	0
5.398757	2.178101E-10	0
5.507223	4.531503E-11	0
5.615739	2.711186E-10	0
5.723402	8.03813E-11	0
5.831909	1.683693E-10	0
5.938623	2.000192E-10	0
6.045901	1.14803E-10	0
6.151868	1.409093E-10	0
6.258943	2.391464E-10	0
6.367126	6.400844E-11	0
6.477482	2.125889E-10	0
6.585449	1.603118E-10	0
6.693444	8.528026E-11	0
6.801271	2.650594E-10	0
6.910446	5.640216E-11	0
7.020316	1.969895E-10	0
7.129058	1.793275E-10	0
7.23726	1.053918E-10	0
7.345072	1.72817E-10	0
7.454081	1.88223E-10	0
7.562075	8.42489E-11	0
7.67077	2.369548E-10	0
7.779063	1.124179E-10	0
7.88786	1.383309E-10	0
7.995989	2.315401E-10	0
8.104702	5.672446E-11	0
8.214159	2.168432E-10	0
8.321462	1.483867E-10	0
8.431216	1.256967E-10	0
8.539779	1.915104E-10	0
8.649141	1.492246E-10	0
8.758403	1.200242E-10	0
8.865974	2.352788E-10	0
8.974447	8.399106E-11	0
9.082241	1.856446E-10	0
9.190814	1.995035E-10	0
9.299694	7.071229E-11	0
9.407506	2.402422E-10	0
9.515422	1.124824E-10	0
9.622813	1.530278E-10	0
9.731582	1.898989E-10	0
9.83845	1.333675E-10	0
9.946521	1.460661E-10	0
10.054391	2.214844E-10	0
10.162834	7.438651E-11	0
10.270787	2.143293E-10	0
10.378451	1.597961E-10	0
10.488021	9.901026E-11	0
10.595234	2.344408E-10	0
10.704673	9.546495E-11	0
10.811498	1.773937E-10	0
10.919091	1.819059E-10	0
11.028656	1.162856E-10	0
11.136094	1.654041E-10	0
11.24364	1.991167E-10	0
11.351573	7.87698E-11	0
11.458904	2.247074E-10	0
11.567602	1.276305E-10	0
11.675872	1.37364E-10	0
11.78221	2.145227E-10	0
11.890465	9.269317E-11	0
11.998725	1.882874E-10	0
12.107149	1.709477E-10	0
12.215627	1.169302E-10	0
12.322882	1.806812E-10	0
