Time,s	TEY,A	Shutter
0	1.60763E-10	0
0.108221	1.594738E-10	0
0.215934	1.615365E-10	0
0.323647	1.623745E-10	0
0.431363	1.626323E-10	0
0.539073	1.579912E-10	0
0.646785	1.613431E-10	0
0.753501	1.596027E-10	0
0.861214	1.578623E-10	0
0.966931	1.588292E-10	0
1.074646	1.585714E-10	0
1.18231	1.570888E-10	0
1.28857	1.58378E-10	0
1.395662	1.591515E-10	0
1.504855	1.59216E-10	0
1.613609	1.587647E-10	0
1.722621	1.617299E-10	0
1.830741	1.582491E-10	0
1.938629	1.598606E-10	0
2.046133	1.61601E-10	0
2.153088	1.581201E-10	0
2.260829	1.609564E-10	0
2.369323	1.586358E-10	0
2.475924	1.596027E-10	0
2.58668	1.565086E-10	0
2.694563	1.610208E-10	0
2.802372	1.608275E-10	0
2.910213	1.616654E-10	0
3.025597	1.596672E-10	0
3.13235	1.581846E-10	0
3.240147	1.641149E-10	0
3.348185	1.603762E-10	0
3.457183	1.603762E-10	0
3.565337	1.591515E-10	0
3.672629	1.622456E-10	0
3.778347	1.594738E-10	0
3.88606	1.601829E-10	0
3.993772	1.578623E-10	0
4.100489	1.603118E-10	0
4.208201	1.608275E-10	0
4.315915	1.621167E-10	0
4.423339	1.613431E-10	0
4.530068	1.603762E-10	0
4.638423	1.617944E-10	0
4.745747	1.601829E-10	0
4.854355	1.612787E-10	0
4.962329	1.610208E-10	0
5.070875	1.583135E-10	0
5.179265	1.596027E-10	0
5.288051	1.622456E-10	0
5.396905	1.614076E-10	0
5.50566	1.610853E-10	0
5.615012	1.606985E-10	0
5.723808	1.615365E-10	0
5.831399	1.657264E-10	0
5.939594	1.567665E-10	0
6.04665	1.614721E-10	0
6.153296	1.59087E-10	0
6.261212	1.597961E-10	0
6.369674	1.602473E-10	0
6.476667	1.629546E-10	0
6.584265	1.604407E-10	0
6.693613	1.592804E-10	0
6.800975	1.601829E-10	0
6.907714	1.590226E-10	0
7.016794	1.592804E-10	0
7.124598	1.592804E-10	0
7.233223	1.600539E-10	0
7.341479	1.591515E-10	0
7.450143	1.587003E-10	0
7.559681	1.613431E-10	0
7.666431	1.597316E-10	0
7.773874	1.582491E-10	0
7.882664	1.610208E-10	0
7.991148	1.56702E-10	0
8.098403	1.581846E-10	0
8.206121	1.623745E-10	0
8.314008	1.606985E-10	0
8.42196	1.601184E-10	0
8.530951	1.611498E-10	0
8.638493	1.618588E-10	0
8.747088	1.606341E-10	0
8.85529	1.605696E-10	0
8.96489	1.596027E-10	0
9.073043	1.582491E-10	0
9.181262	1.590226E-10	0
9.290477	1.597316E-10	0
9.398851	1.559929E-10	0
9.506047	1.59925E-10	0
9.612762	1.618588E-10	0
9.721957	1.586358E-10	0
9.830606	1.587003E-10	0
9.940321	1.594738E-10	0
10.048244	1.579268E-10	0
10.157112	1.606341E-10	0
10.264405	1.603118E-10	0
10.373363	1.595383E-10	0
10.480891	1.608275E-10	0
10.588799	1.606985E-10	0
10.697676	1.59925E-10	0
10.805076	1.566375E-10	0
10.913191	1.602473E-10	0
11.021636	1.581846E-10	0
11.129638	1.606985E-10	0
11.238789	1.613431E-10	0
11.346341	1.59216E-10	0
11.453574	1.601184E-10	0
11.560308	1.625034E-10	0
11.667939	1.588937E-10	0
11.777635	1.594738E-10	0
11.886166	1.601184E-10	0
11.995087	1.576045E-10	0
12.101975	1.584424E-10	0
12.21196	1.622456E-10	0
12.320838	1.62439E-10	0
12.429195	1.594738E-10	0
