Time,s	TEY,A	Shutter
0	1.576689E-10	0
0.106238	1.59925E-10	0
0.213525	1.581201E-10	0
0.320764	1.574755E-10	0
0.427998	1.556706E-10	0
0.534235	1.580557E-10	0
0.641469	1.568954E-10	0
0.748721	1.596672E-10	0
0.855951	1.589581E-10	0
0.962184	1.571532E-10	0
1.070414	1.588937E-10	0
1.176816	1.586358E-10	0
1.283804	1.556062E-10	0
1.39061	1.577978E-10	0
1.499627	1.570243E-10	0
1.608834	1.570243E-10	0
1.71653	1.580557E-10	0
1.824568	1.579268E-10	0
1.933063	1.603762E-10	0
2.041958	1.578623E-10	0
2.150489	1.585714E-10	0
2.257578	1.584424E-10	0
2.365847	1.591515E-10	0
2.472852	1.566375E-10	0
2.581811	1.570888E-10	0
2.691174	1.580557E-10	0
2.798903	1.55026E-10	0
2.905876	1.566375E-10	0
3.015042	1.570888E-10	0
3.122821	1.574755E-10	0
3.231575	1.571532E-10	0
3.340463	1.559929E-10	0
3.448244	1.565731E-10	0
3.554987	1.545104E-10	0
3.663206	1.563152E-10	0
3.771135	1.570243E-10	0
3.880388	1.601184E-10	0
3.988085	1.568309E-10	0
4.096856	1.586358E-10	0
4.204152	1.602473E-10	0
4.313587	1.587647E-10	0
4.422048	1.566375E-10	0
4.528695	1.563152E-10	0
4.637264	1.563152E-10	0
4.745383	1.550905E-10	0
4.853409	1.555417E-10	0
4.961131	1.570243E-10	0
5.068084	1.597961E-10	0
5.178269	1.561219E-10	0
5.287268	1.574111E-10	0
5.394531	1.555417E-10	0
5.503504	1.591515E-10	0
5.611844	1.584424E-10	0
5.7194	1.587003E-10	0
5.827601	1.554773E-10	0
5.935358	1.573466E-10	0
6.043671	1.586358E-10	0
6.151453	1.574111E-10	0
6.258577	1.58378E-10	0
6.366891	1.5754E-10	0
6.475245	1.584424E-10	0
6.582794	1.581201E-10	0
6.691199	1.545104E-10	0
6.800603	1.596672E-10	0
6.908806	1.573466E-10	0
7.016898	1.600539E-10	0
7.125903	1.581201E-10	0
7.233292	1.574755E-10	0
7.340695	1.566375E-10	0
7.449498	1.601184E-10	0
7.557209	1.565731E-10	0
7.664202	1.554128E-10	0
7.771881	1.574755E-10	0
7.88003	1.597316E-10	0
7.988019	1.577334E-10	0
8.096943	1.570243E-10	0
8.204279	1.595383E-10	0
8.312227	1.576045E-10	0
8.421235	1.625034E-10	0
8.528412	1.586358E-10	0
8.635612	1.570243E-10	0
8.742904	1.592804E-10	0
8.849136	1.603118E-10	0
8.957689	1.585069E-10	0
9.064863	1.555417E-10	0
9.172815	1.554773E-10	0
9.281151	1.541236E-10	0
9.389832	1.587647E-10	0
9.497126	1.556706E-10	0
9.603396	1.576689E-10	0
9.717647	1.574111E-10	0
9.827426	1.589581E-10	0
9.935947	1.602473E-10	0
10.044268	1.583135E-10	0
10.152724	1.606341E-10	0
10.261589	1.565731E-10	0
10.369771	1.572822E-10	0
10.477411	1.577978E-10	0
10.58594	1.568954E-10	0
10.695184	1.602473E-10	0
10.803637	1.560574E-10	0
10.911081	1.59216E-10	0
11.019843	1.589581E-10	0
11.128097	1.580557E-10	0
11.235947	1.585069E-10	0
11.345949	1.587647E-10	0
11.453722	1.587003E-10	0
11.560796	1.565086E-10	0
11.668935	1.545748E-10	0
11.776323	1.600539E-10	0
11.884836	1.571532E-10	0
11.992066	1.536079E-10	0
12.098938	1.577334E-10	0
12.206972	1.556062E-10	0
12.315221	1.58378E-10	0
12.425464	1.572177E-10	0
12.53396	1.55864E-10	0
12.642384	1.533501E-10	0
12.749797	1.579912E-10	0
12.857686	1.579912E-10	0
