Time,s	TEY,A	Shutter
0	1.54317E-10	0
0.113227	1.559285E-10	0
0.221451	1.559929E-10	0
0.328699	1.553483E-10	0
0.437918	1.59087E-10	0
0.546153	1.579912E-10	0
0.654389	1.569598E-10	0
0.760643	1.581846E-10	0
0.868474	1.574111E-10	0
0.976734	1.598606E-10	0
1.08797	1.596672E-10	0
1.198191	1.5754E-10	0
1.307444	1.572177E-10	0
1.415709	1.587647E-10	0
1.523739	1.570243E-10	0
1.63388	1.59087E-10	0
1.741526	1.579268E-10	0
1.850011	1.590226E-10	0
1.957127	1.578623E-10	0
2.065799	1.62439E-10	0
2.174029	1.585069E-10	0
2.283111	1.560574E-10	0
2.394377	1.564442E-10	0
2.503454	1.579268E-10	0
2.613374	1.576045E-10	0
2.723347	1.565731E-10	0
2.83196	1.547037E-10	0
2.9412	1.574111E-10	0
3.050221	1.573466E-10	0
3.158787	1.561219E-10	0
3.265579	1.583135E-10	0
3.373489	1.563797E-10	0
3.483844	1.561219E-10	0
3.592014	1.5754E-10	0
3.698996	1.562508E-10	0
3.809747	1.570888E-10	0
3.919799	1.585069E-10	0
4.028097	1.561863E-10	0
4.138704	1.55026E-10	0
4.246653	1.581846E-10	0
4.354974	1.554128E-10	0
4.463159	1.581846E-10	0
4.570648	1.545104E-10	0
4.678516	1.574111E-10	0
4.786059	1.59216E-10	0
4.894165	1.571532E-10	0
5.004014	1.549616E-10	0
5.113441	1.585069E-10	0
5.221877	1.557351E-10	0
5.330693	1.599895E-10	0
5.438208	1.577334E-10	0
5.547826	1.577334E-10	0
5.655052	1.574755E-10	0
5.763813	1.583135E-10	0
5.871424	1.609564E-10	0
5.980631	1.571532E-10	0
6.089505	1.589581E-10	0
6.197696	1.579912E-10	0
6.304952	1.589581E-10	0
6.414084	1.580557E-10	0
6.523635	1.603118E-10	0
6.63052	1.557996E-10	0
6.739149	1.576045E-10	0
6.849811	1.594093E-10	0
6.957479	1.579268E-10	0
7.066153	1.572822E-10	0
7.1743	1.559285E-10	0
7.28159	1.576045E-10	0
7.388556	1.59087E-10	0
7.49785	1.594093E-10	0
7.605191	1.610208E-10	0
7.713323	1.596027E-10	0
7.821758	1.553483E-10	0
7.932879	1.596672E-10	0
8.041094	1.563797E-10	0
8.150542	1.595383E-10	0
8.264799	1.595383E-10	0
8.373142	1.58378E-10	0
8.482496	1.579912E-10	0
8.591899	1.59087E-10	0
8.700372	1.555417E-10	0
8.808369	1.547037E-10	0
8.916285	1.580557E-10	0
9.024502	1.572822E-10	0
9.131701	1.583135E-10	0
9.239138	1.576045E-10	0
9.347723	1.559285E-10	0
9.457508	1.552839E-10	0
9.565804	1.559285E-10	0
9.672783	1.579912E-10	0
9.783086	1.598606E-10	0
9.891639	1.585714E-10	0
10.005651	1.587003E-10	0
10.114876	1.590226E-10	0
10.224152	1.565731E-10	0
10.332736	1.570888E-10	0
10.440034	1.59925E-10	0
10.548156	1.571532E-10	0
10.656492	1.584424E-10	0
10.766162	1.581846E-10	0
10.875003	1.581201E-10	0
10.982147	1.620522E-10	0
11.088799	1.582491E-10	0
11.19657	1.582491E-10	0
11.305062	1.584424E-10	0
11.413058	1.572177E-10	0
11.51973	1.579268E-10	0
11.626367	1.581201E-10	0
11.734713	1.608919E-10	0
11.842361	1.548971E-10	0
11.949418	1.586358E-10	0
12.057673	1.576045E-10	0
12.164632	1.569598E-10	0
12.272961	1.588292E-10	0
12.381858	1.594093E-10	0
12.489883	1.56702E-10	0
12.598262	1.567665E-10	0
12.705726	1.546393E-10	0
12.814999	1.572177E-10	0
12.924506	1.592804E-10	0
13.040261	1.594738E-10	0
13.145884	1.564442E-10	0
13.25388	1.55864E-10	0
13.361446	1.609564E-10	0
13.469717	1.565086E-10	0
13.577048	1.54317E-10	0
13.684915	1.574111E-10	0
13.794156	1.585714E-10	0
13.903788	1.583135E-10	0
14.012736	1.578623E-10	0
14.120402	1.597316E-10	0
14.22803	1.598606E-10	0
14.334785	1.588292E-10	0
14.443015	1.561219E-10	0
14.552328	1.596027E-10	0
14.661317	1.55026E-10	0
14.770629	1.576689E-10	0
14.879086	1.552839E-10	0
14.987523	1.590226E-10	0
15.094953	1.585069E-10	0
15.203133	1.587647E-10	0
15.311026	1.565086E-10	0
15.41882	1.553483E-10	0
15.527134	1.585069E-10	0
15.634314	1.59925E-10	0
15.743018	1.601829E-10	0
15.851005	1.562508E-10	0
15.957385	1.577978E-10	0
16.064397	1.591515E-10	0
16.176114	1.570888E-10	0
16.284729	1.582491E-10	0
16.393385	1.549616E-10	0
16.50016	1.559285E-10	0
16.614388	1.556062E-10	0
16.722171	1.580557E-10	0
16.831259	1.581201E-10	0
16.940642	1.58378E-10	0
17.049456	1.574111E-10	0
17.158677	1.56702E-10	0
17.2669	1.590226E-10	0
17.374127	1.574111E-10	0
17.486845	1.559929E-10	0
17.596073	1.571532E-10	0
17.703302	1.577334E-10	0
17.813362	1.590226E-10	0
17.921278	1.561219E-10	0
18.028191	1.559929E-10	0
18.135422	1.563797E-10	0
18.247643	1.583135E-10	0
18.355863	1.583135E-10	0
18.464843	1.565086E-10	0
18.573812	1.567665E-10	0
18.682106	1.573466E-10	0
18.79091	1.598606E-10	0
18.899688	1.596027E-10	0
19.007404	1.574111E-10	0
19.115808	1.565731E-10	0
19.224086	1.560574E-10	0
19.334015	1.58378E-10	0
19.442898	1.555417E-10	0
19.550144	1.585714E-10	0
19.659592	1.557351E-10	0
19.767614	1.539947E-10	0
19.876119	1.545748E-10	0
19.984208	1.565731E-10	0
20.091017	1.597961E-10	0
20.201021	1.570888E-10	0
20.307837	1.605696E-10	0
20.418218	1.59087E-10	0
20.525109	1.571532E-10	0
20.631967	1.564442E-10	0
20.739195	1.567665E-10	0
20.849416	1.53479E-10	0
20.957648	1.55026E-10	0
21.06987	1.590226E-10	0
21.178103	1.547682E-10	0
21.28568	1.560574E-10	0
21.394427	1.56702E-10	0
21.503774	1.548971E-10	0
21.612133	1.559929E-10	0
21.720101	1.552839E-10	0
21.826822	1.559929E-10	0
21.934191	1.602473E-10	0
22.04419	1.579268E-10	0
22.152169	1.563797E-10	0
22.260192	1.548971E-10	0
22.369533	1.593449E-10	0
22.478707	1.578623E-10	0
22.586347	1.552839E-10	0
22.697293	1.58378E-10	0
22.805221	1.591515E-10	0
22.914206	1.571532E-10	0
23.021457	1.545104E-10	0
23.128719	1.572822E-10	0
23.23704	1.547682E-10	0
23.347271	1.563152E-10	0
23.456246	1.560574E-10	0
23.565745	1.596027E-10	0
23.673048	1.574755E-10	0
23.779269	1.55155E-10	0
23.887589	1.559285E-10	0
23.996287	1.584424E-10	0
24.103072	1.573466E-10	0
24.21272	1.570243E-10	0
24.319584	1.570888E-10	0
24.426558	1.555417E-10	0
24.53511	1.600539E-10	0
24.643448	1.542525E-10	0
24.750444	1.550905E-10	0
24.861703	1.565731E-10	0
24.970078	1.594738E-10	0
25.07642	1.581846E-10	0
25.184555	1.5754E-10	0
25.291848	1.571532E-10	0
25.3996	1.572177E-10	0
25.507679	1.56702E-10	0
25.61681	1.577334E-10	0
25.726961	1.59925E-10	0
25.836514	1.581201E-10	0
25.943647	1.581201E-10	0
26.053094	1.598606E-10	0
26.164012	1.594738E-10	0
26.271323	1.621167E-10	0
26.379781	1.578623E-10	0
26.487893	1.619233E-10	0
26.598077	1.577978E-10	0
26.706093	1.565086E-10	0
26.815491	1.586358E-10	0
26.922299	1.55864E-10	0
27.028761	1.597316E-10	0
27.13686	1.585714E-10	0
27.244965	1.578623E-10	0
27.353496	1.568954E-10	0
27.461698	1.580557E-10	0
27.569215	1.557351E-10	0
27.677271	1.577334E-10	0
27.784557	1.568309E-10	0
27.891991	1.590226E-10	0
28.000833	1.588937E-10	0
28.109441	1.584424E-10	0
28.218848	1.600539E-10	0
28.326344	1.567665E-10	0
28.433728	1.592804E-10	0
28.542151	1.606341E-10	0
28.650913	1.595383E-10	0
28.759325	1.568309E-10	0
28.867815	1.594093E-10	0
28.974938	1.614721E-10	0
29.083163	1.581201E-10	0
29.191318	1.589581E-10	0
29.300103	1.596672E-10	0
29.40904	1.570888E-10	0
29.518837	1.597961E-10	0
29.626263	1.579268E-10	0
29.732533	1.598606E-10	0
29.841891	1.553483E-10	0
29.949707	1.581201E-10	0
30.058176	1.592804E-10	0
30.166654	1.58378E-10	0
30.275174	1.588937E-10	0
30.383028	1.58378E-10	0
30.490861	1.573466E-10	0
30.601714	1.587647E-10	0
30.709584	1.583135E-10	0
30.816767	1.597961E-10	0
30.924509	1.603118E-10	0
31.032995	1.55864E-10	0
31.14272	1.613431E-10	0
31.252315	1.56702E-10	0
31.361086	1.58378E-10	0
31.469329	1.571532E-10	0
31.577818	1.588937E-10	0
31.684754	1.572177E-10	0
31.794325	1.587647E-10	0
31.904168	1.599895E-10	0
32.012719	1.572177E-10	0
32.122098	1.580557E-10	0
32.231322	1.576045E-10	0
32.338429	1.578623E-10	0
32.446271	1.55864E-10	0
32.554503	1.594738E-10	0
32.663629	1.536724E-10	0
32.771657	1.565086E-10	0
32.881413	1.578623E-10	0
32.989875	1.596027E-10	0
33.098395	1.594738E-10	0
33.206386	1.579912E-10	0
33.315615	1.577978E-10	0
33.424354	1.584424E-10	0
33.533955	1.58378E-10	0
33.641174	1.588292E-10	0
33.749599	1.570243E-10	0
33.857531	1.582491E-10	0
33.966642	1.576045E-10	0
34.073863	1.595383E-10	0
34.18215	1.566375E-10	0
34.291433	1.561863E-10	0
34.400033	1.542525E-10	0
34.510118	1.579268E-10	0
34.618602	1.582491E-10	0
34.725612	1.5754E-10	0
34.833247	1.603118E-10	0
34.94348	1.550905E-10	0
35.052964	1.586358E-10	0
35.161114	1.580557E-10	0
35.271754	1.580557E-10	0
35.381289	1.600539E-10	0
35.492065	1.580557E-10	0
35.598899	1.572822E-10	0
35.707261	1.603118E-10	0
35.817484	1.561863E-10	0
35.924623	1.563152E-10	0
36.035279	1.570243E-10	0
36.144592	1.602473E-10	0
36.25265	1.598606E-10	0
36.360467	1.598606E-10	0
36.468657	1.586358E-10	0
36.578097	1.571532E-10	0
36.686813	1.576045E-10	0
36.79543	1.59087E-10	0
36.905483	1.576045E-10	0
37.014229	1.584424E-10	0
37.12197	1.627613E-10	0
37.227826	1.595383E-10	0
37.336313	1.603762E-10	0
37.44474	1.59087E-10	0
37.552634	1.554773E-10	0
37.661788	1.542525E-10	0
37.769216	1.596027E-10	0
37.87955	1.587003E-10	0
37.986826	1.556706E-10	0
38.096441	1.593449E-10	0
38.205305	1.579268E-10	0
38.315357	1.561863E-10	0
38.424611	1.598606E-10	0
38.535382	1.589581E-10	0
38.643331	1.565086E-10	0
38.750499	1.568954E-10	0
38.858943	1.561863E-10	0
38.967218	1.555417E-10	0
39.076589	1.577978E-10	0
39.184624	1.567665E-10	0
39.293913	1.601184E-10	0
39.402228	1.574755E-10	0
39.509606	1.552194E-10	0
39.618433	1.553483E-10	0
39.726631	1.571532E-10	0
39.833902	1.559285E-10	0
39.942719	1.594093E-10	0
40.050583	1.585714E-10	0
40.159345	1.55864E-10	0
40.26768	1.577334E-10	0
40.376074	1.608275E-10	0
40.491436	1.572177E-10	0
40.600351	1.591515E-10	0
40.70686	1.598606E-10	0
40.815432	1.592804E-10	0
40.924039	1.603762E-10	0
41.034956	1.570243E-10	0
41.145476	1.581846E-10	0
41.255535	1.567665E-10	0
41.365175	1.604407E-10	0
41.473844	1.579268E-10	0
41.582983	1.601829E-10	0
41.694736	1.590226E-10	0
41.80372	1.586358E-10	0
41.911244	1.589581E-10	0
42.017877	1.618588E-10	0
42.127744	1.570888E-10	0
42.2353	1.606341E-10	0
42.344015	1.606985E-10	0
42.453668	1.564442E-10	0
42.560991	1.579268E-10	0
42.670671	1.622456E-10	0
42.77989	1.583135E-10	0
42.888615	1.599895E-10	0
42.997662	1.577978E-10	0
43.107253	1.576689E-10	0
43.214303	1.59216E-10	0
43.323563	1.576045E-10	0
43.43468	1.596027E-10	0
43.542074	1.574755E-10	0
43.649877	1.611498E-10	0
43.7573	1.563152E-10	0
43.86754	1.581201E-10	0
43.97551	1.536724E-10	0
44.100618	1.53479E-10	0
44.209078	1.55864E-10	0
44.317111	1.576045E-10	0
44.425066	1.59087E-10	0
44.535335	1.582491E-10	0
44.642294	1.570888E-10	0
44.748483	1.594738E-10	0
44.859871	1.562508E-10	0
44.970077	1.588292E-10	0
45.076421	1.576045E-10	0
45.185874	1.572177E-10	0
45.29524	1.589581E-10	0
45.403681	1.567665E-10	0
45.511384	1.585714E-10	0
45.622922	1.563797E-10	0
45.72976	1.568309E-10	0
45.837807	1.548971E-10	0
45.945776	1.597961E-10	0
46.053017	1.580557E-10	0
46.174504	1.552194E-10	0
46.282664	1.568954E-10	0
46.392015	1.610853E-10	0
46.501114	1.570243E-10	0
46.608665	1.5754E-10	0
46.716924	1.615365E-10	0
46.824168	1.594093E-10	0
46.933105	1.548971E-10	0
47.042814	1.588937E-10	0
47.148929	1.584424E-10	0
47.261664	1.567665E-10	0
47.36943	1.612787E-10	0
47.477159	1.574111E-10	0
47.587629	1.557996E-10	0
47.695389	1.571532E-10	0
47.804252	1.573466E-10	0
47.913575	1.595383E-10	0
48.022058	1.577334E-10	0
48.130335	1.576689E-10	0
48.238753	1.586358E-10	0
48.348475	1.568954E-10	0
48.457779	1.54317E-10	0
48.565596	1.547682E-10	0
48.672958	1.574111E-10	0
48.781487	1.568954E-10	0
48.888507	1.543814E-10	0
48.996968	1.563152E-10	0
49.105147	1.581201E-10	0
49.213099	1.578623E-10	0
49.321643	1.567665E-10	0
49.430045	1.565731E-10	0
49.538871	1.581201E-10	0
49.648265	1.588937E-10	0
49.755571	1.581201E-10	0
49.864162	1.570243E-10	0
49.971802	1.588937E-10	0
50.080632	1.571532E-10	0
50.190571	1.588292E-10	0
50.301474	1.614721E-10	0
50.41001	1.574755E-10	0
50.516967	1.559929E-10	0
50.624887	1.592804E-10	0
50.734794	1.566375E-10	0
50.843234	1.580557E-10	0
50.952316	1.591515E-10	0
51.061547	1.548971E-10	0
51.16913	1.59087E-10	0
51.278063	1.579268E-10	0
51.402845	1.587647E-10	0
51.510157	1.557351E-10	0
51.616783	1.577978E-10	0
51.724983	1.577978E-10	0
51.833021	1.570243E-10	0
51.940528	1.568954E-10	0
52.04902	1.576045E-10	0
52.156734	1.565086E-10	0
52.263317	1.588292E-10	0
52.371428	1.557351E-10	0
52.479001	1.585069E-10	0
52.586806	1.579912E-10	0
52.694474	1.584424E-10	0
52.802722	1.585714E-10	0
52.909977	1.618588E-10	0
53.017343	1.582491E-10	0
53.127627	1.570243E-10	0
53.234955	1.584424E-10	0
53.343341	1.603118E-10	0
53.451862	1.568309E-10	0
53.559478	1.562508E-10	0
53.6687	1.565731E-10	0
53.776466	1.541236E-10	0
