Time,s	TEY,A	Shutter
0	1.701097E-10	0
0.120172	1.52641E-10	0
0.228428	1.59216E-10	0
0.337663	1.634703E-10	0
0.444888	1.505783E-10	0
0.552122	1.581846E-10	0
0.661349	1.646306E-10	0
0.769628	1.504494E-10	0
0.877856	1.683048E-10	0
0.985607	1.566375E-10	0
1.094836	1.55155E-10	0
1.201106	1.628257E-10	0
1.309332	1.56702E-10	0
1.417562	1.561219E-10	0
1.526023	1.605696E-10	0
1.636004	1.521898E-10	0
1.74412	1.581846E-10	0
1.853153	1.596672E-10	0
1.963452	1.588292E-10	0
2.073745	1.620522E-10	0
2.181451	1.51803E-10	0
2.28784	1.596672E-10	0
2.397083	1.570888E-10	0
2.504421	1.60763E-10	0
2.616742	1.574755E-10	0
2.724933	1.573466E-10	0
2.832563	1.562508E-10	0
2.940949	1.625679E-10	0
3.049095	1.519964E-10	0
3.156381	1.571532E-10	0
3.268105	1.599895E-10	0
3.377229	1.503849E-10	0
3.483908	1.661776E-10	0
3.593406	1.523832E-10	0
3.701632	1.545104E-10	0
3.809525	1.622456E-10	0
3.919345	1.525121E-10	0
4.027796	1.541236E-10	0
4.136675	1.646306E-10	0
4.245612	1.459372E-10	0
4.357828	1.62439E-10	0
4.464507	1.56702E-10	0
4.571622	1.481933E-10	0
4.679981	1.619233E-10	0
4.786976	1.59087E-10	0
4.895768	1.496114E-10	0
5.003715	1.659843E-10	0
5.116515	1.539947E-10	0
5.225773	1.548327E-10	0
5.335011	1.650174E-10	0
5.442307	1.481933E-10	0
5.550985	1.617944E-10	0
5.659167	1.588937E-10	0
5.767425	1.524476E-10	0
5.876136	1.594738E-10	0
5.982269	1.563797E-10	0
6.091756	1.503205E-10	0
6.198653	1.620522E-10	0
6.310114	1.528989E-10	0
6.415771	1.55155E-10	0
6.525645	1.581201E-10	0
6.635376	1.52641E-10	0
6.742603	1.572177E-10	0
6.8514	1.556062E-10	0
6.96066	1.500626E-10	0
7.070226	1.578623E-10	0
7.177415	1.562508E-10	0
7.285578	1.519964E-10	0
7.393958	1.589581E-10	0
7.500326	1.522543E-10	0
7.609165	1.572822E-10	0
7.716652	1.553483E-10	0
7.825016	1.568954E-10	0
7.934609	1.577334E-10	0
8.044468	1.540591E-10	0
8.152382	1.552839E-10	0
8.259865	1.567665E-10	0
8.367251	1.568309E-10	0
8.475923	1.570243E-10	0
8.58405	1.58378E-10	0
8.693497	1.548971E-10	0
8.801233	1.592804E-10	0
8.909344	1.535435E-10	0
9.016107	1.572822E-10	0
9.125374	1.612142E-10	0
9.23508	1.545748E-10	0
9.343827	1.544459E-10	0
9.451998	1.601184E-10	0
9.561908	1.492891E-10	0
9.67158	1.614721E-10	0
9.779279	1.547682E-10	0
9.88703	1.557996E-10	0
9.995473	1.613431E-10	0
10.103547	1.555417E-10	0
10.210965	1.538013E-10	0
10.319288	1.633414E-10	0
10.427009	1.559285E-10	0
10.537349	1.579912E-10	0
10.644354	1.622456E-10	0
10.753717	1.503849E-10	0
10.862163	1.587647E-10	0
10.972377	1.594093E-10	0
11.081134	1.531567E-10	0
11.187376	1.613431E-10	0
11.297003	1.546393E-10	0
11.405426	1.524476E-10	0
11.514362	1.626323E-10	0
11.622446	1.517386E-10	0
11.730567	1.586358E-10	0
11.841994	1.622456E-10	0
11.949799	1.536079E-10	0
12.057951	1.594093E-10	0
12.166613	1.576689E-10	0
12.273746	1.577334E-10	0
12.381557	1.613431E-10	0
12.488511	1.543814E-10	0
12.59575	1.538658E-10	0
12.705266	1.629546E-10	0
12.814213	1.544459E-10	0
12.921746	1.598606E-10	0
13.02971	1.568309E-10	0
13.139201	1.546393E-10	0
13.247453	1.567665E-10	0
13.35586	1.586358E-10	0
13.46296	1.547682E-10	0
13.571499	1.588292E-10	0
13.67919	1.536724E-10	0
13.787934	1.581846E-10	0
13.895993	1.568954E-10	0
14.004059	1.545104E-10	0
14.112333	1.576689E-10	0
14.219293	1.552839E-10	0
14.327529	1.539302E-10	0
14.434439	1.588292E-10	0
14.544806	1.556062E-10	0
14.65308	1.545104E-10	0
14.761077	1.596672E-10	0
14.867906	1.55026E-10	0
14.977144	1.593449E-10	0
15.084971	1.572177E-10	0
