Time,s	TEY,A	Shutter
0	1.59087E-10	0
0.107189	1.565731E-10	0
0.214422	1.501915E-10	0
0.320654	1.574111E-10	0
0.428889	1.576689E-10	0
0.535161	1.55155E-10	0
0.643421	1.574755E-10	0
0.751243	1.541236E-10	0
0.8585	1.588292E-10	0
0.96483	1.514163E-10	0
1.075052	1.604407E-10	0
1.182281	1.530278E-10	0
1.289516	1.583135E-10	0
1.397742	1.539947E-10	0
1.505014	1.577978E-10	0
1.613484	1.531567E-10	0
1.721705	1.633414E-10	0
1.830204	1.500626E-10	0
1.940135	1.634703E-10	0
2.04974	1.475487E-10	0
2.156164	1.581201E-10	0
2.268412	1.505783E-10	0
2.37611	1.587647E-10	0
2.482882	1.556706E-10	0
2.592878	1.61601E-10	0
2.701257	1.51932E-10	0
2.809435	1.591515E-10	0
2.919661	1.501915E-10	0
3.028122	1.59925E-10	0
3.138701	1.510295E-10	0
3.24693	1.600539E-10	0
3.353819	1.55864E-10	0
3.462245	1.581846E-10	0
3.570494	1.559929E-10	0
3.67777	1.576045E-10	0
3.787152	1.574111E-10	0
3.904216	1.541236E-10	0
4.011853	1.550905E-10	0
4.120096	1.565086E-10	0
4.227083	1.556706E-10	0
4.336001	1.567665E-10	0
4.443757	1.5754E-10	0
4.552089	1.552194E-10	0
4.661269	1.598606E-10	0
4.770652	1.503849E-10	0
4.87782	1.565731E-10	0
4.985147	1.508361E-10	0
5.093454	1.53479E-10	0
5.206163	1.554773E-10	0
5.313448	1.545748E-10	0
5.420445	1.561219E-10	0
5.528048	1.571532E-10	0
5.637662	1.548327E-10	0
5.744802	1.579912E-10	0
5.852666	1.533501E-10	0
5.960783	1.605052E-10	0
6.068721	1.519964E-10	0
6.177786	1.556706E-10	0
6.286469	1.552194E-10	0
6.395553	1.55864E-10	0
6.505555	1.531567E-10	0
6.613071	1.570243E-10	0
6.720217	1.545104E-10	0
6.828508	1.539302E-10	0
6.934518	1.494825E-10	0
7.043394	1.58378E-10	0
7.151784	1.521253E-10	0
7.257468	1.554773E-10	0
7.36633	1.569598E-10	0
7.473143	1.515452E-10	0
7.582164	1.565086E-10	0
7.690611	1.542525E-10	0
7.798049	1.53479E-10	0
7.906686	1.563152E-10	0
8.014942	1.522543E-10	0
8.123214	1.577334E-10	0
8.232183	1.516097E-10	0
8.34002	1.570243E-10	0
8.450443	1.570243E-10	0
8.55951	1.533501E-10	0
8.668478	1.540591E-10	0
8.77528	1.543814E-10	0
8.882833	1.536079E-10	0
8.992186	1.535435E-10	0
9.100048	1.562508E-10	0
9.208985	1.561863E-10	0
9.316431	1.572177E-10	0
9.422777	1.586358E-10	0
9.529749	1.548327E-10	0
9.63882	1.536724E-10	0
9.747238	1.574755E-10	0
9.855721	1.534145E-10	0
9.963563	1.570888E-10	0
10.070478	1.528989E-10	0
10.178154	1.59087E-10	0
10.28661	1.586358E-10	0
10.39553	1.548971E-10	0
10.504211	1.544459E-10	0
10.613212	1.570243E-10	0
10.720474	1.539302E-10	0
10.828356	1.560574E-10	0
10.937366	1.506428E-10	0
11.047096	1.55864E-10	0
11.157542	1.548327E-10	0
11.266541	1.56702E-10	0
11.374455	1.561863E-10	0
11.48379	1.537368E-10	0
11.591163	1.561219E-10	0
11.699062	1.523832E-10	0
11.805511	1.547037E-10	0
11.914937	1.556706E-10	0
12.023265	1.541236E-10	0
12.132849	1.556706E-10	0
12.241694	1.567665E-10	0
12.348349	1.55026E-10	0
12.455585	1.563797E-10	0
12.5667	1.532212E-10	0
12.676152	1.556062E-10	0
12.785588	1.536079E-10	0
12.893258	1.554773E-10	0
13.001543	1.545104E-10	0
13.109986	1.557996E-10	0
13.217546	1.557351E-10	0
13.326221	1.568309E-10	0
13.434243	1.54317E-10	0
13.542275	1.548327E-10	0
13.650918	1.536079E-10	0
13.759237	1.578623E-10	0
13.867417	1.512874E-10	0
13.975528	1.552839E-10	0
14.083112	1.531567E-10	0
14.193063	1.570243E-10	0
14.302462	1.548327E-10	0
14.4091	1.571532E-10	0
14.51821	1.559929E-10	0
14.626647	1.565731E-10	0
14.73385	1.552839E-10	0
14.840493	1.58378E-10	0
14.949396	1.581846E-10	0
15.057735	1.563797E-10	0
15.165756	1.56702E-10	0
15.274788	1.591515E-10	0
15.384296	1.561219E-10	0
15.492813	1.539302E-10	0
15.601129	1.563152E-10	0
15.710396	1.550905E-10	0
15.818865	1.580557E-10	0
15.926041	1.5754E-10	0
16.033271	1.574111E-10	0
16.141385	1.579268E-10	0
16.251279	1.55155E-10	0
16.36065	1.570888E-10	0
16.466887	1.561219E-10	0
16.58055	1.565086E-10	0
16.688782	1.574755E-10	0
16.796042	1.553483E-10	0
16.905535	1.576045E-10	0
17.013641	1.559285E-10	0
17.120671	1.546393E-10	0
17.228233	1.559285E-10	0
17.342449	1.563152E-10	0
17.449677	1.561219E-10	0
17.556906	1.580557E-10	0
17.66615	1.577978E-10	0
17.772358	1.594738E-10	0
17.879883	1.557996E-10	0
17.987659	1.543814E-10	0
18.095439	1.536079E-10	0
18.204181	1.562508E-10	0
18.311308	1.542525E-10	0
18.42158	1.562508E-10	0
18.528756	1.554128E-10	0
18.637148	1.54317E-10	0
18.744609	1.550905E-10	0
18.853001	1.55864E-10	0
18.958964	1.586358E-10	0
19.070271	1.557996E-10	0
19.177712	1.56702E-10	0
19.285708	1.563797E-10	0
19.39328	1.556062E-10	0
19.500993	1.565731E-10	0
19.60991	1.544459E-10	0
19.717378	1.596027E-10	0
19.828305	1.587647E-10	0
19.938283	1.548327E-10	0
20.045833	1.564442E-10	0
20.152308	1.548327E-10	0
20.261045	1.556062E-10	0
20.367754	1.590226E-10	0
20.475104	1.59087E-10	0
20.583323	1.577334E-10	0
20.690315	1.609564E-10	0
20.798638	1.552839E-10	0
20.905876	1.583135E-10	0
21.015101	1.542525E-10	0
21.122697	1.588292E-10	0
21.230264	1.603762E-10	0
21.341896	1.594738E-10	0
21.449937	1.572822E-10	0
21.557059	1.572177E-10	0
21.664295	1.559285E-10	0
21.77303	1.547037E-10	0
21.882259	1.5754E-10	0
21.989489	1.580557E-10	0
22.095741	1.546393E-10	0
22.20389	1.548327E-10	0
22.312866	1.568954E-10	0
22.419526	1.554128E-10	0
22.528072	1.542525E-10	0
22.637684	1.537368E-10	0
22.745243	1.589581E-10	0
22.852872	1.552194E-10	0
22.961992	1.588937E-10	0
23.067998	1.554773E-10	0
23.175244	1.509006E-10	0
23.283354	1.570888E-10	0
23.392618	1.536724E-10	0
23.500002	1.541236E-10	0
23.607546	1.578623E-10	0
23.714737	1.55864E-10	0
23.824107	1.576045E-10	0
23.932327	1.55026E-10	0
24.042421	1.547682E-10	0
24.148574	1.533501E-10	0
24.256507	1.560574E-10	0
24.363256	1.590226E-10	0
24.472526	1.559285E-10	0
24.580052	1.536724E-10	0
24.688581	1.568954E-10	0
24.798311	1.597961E-10	0
24.906508	1.601829E-10	0
25.012666	1.566375E-10	0
25.119847	1.572177E-10	0
