Time,s	TEY,A	Shutter
0	1.532856E-10	0
0.10871	1.547037E-10	0
0.216424	1.569598E-10	0
0.324135	1.541236E-10	0
0.431849	1.534145E-10	0
0.539561	1.541236E-10	0
0.646277	1.549616E-10	0
0.751996	1.532856E-10	0
0.858711	1.533501E-10	0
0.966425	1.563797E-10	0
1.074136	1.564442E-10	0
1.181243	1.545104E-10	0
1.29063	1.581201E-10	0
1.398723	1.566375E-10	0
1.506714	1.548971E-10	0
1.61613	1.51094E-10	0
1.724768	1.514163E-10	0
1.833854	1.546393E-10	0
1.942071	1.532212E-10	0
2.050051	1.522543E-10	0
2.15849	1.554128E-10	0
2.265277	1.562508E-10	0
2.374037	1.584424E-10	0
2.482815	1.504494E-10	0
2.59146	1.496114E-10	0
2.699623	1.553483E-10	0
2.806818	1.561863E-10	0
2.915527	1.533501E-10	0
3.023183	1.51094E-10	0
3.131603	1.570243E-10	0
3.241067	1.541236E-10	0
3.34913	1.552194E-10	0
3.456667	1.536724E-10	0
3.564559	1.545748E-10	0
3.671663	1.561863E-10	0
3.778911	1.503205E-10	0
3.886103	1.561219E-10	0
3.996139	1.552194E-10	0
4.106081	1.573466E-10	0
4.215022	1.550905E-10	0
4.323107	1.51094E-10	0
4.432304	1.565086E-10	0
4.541403	1.568309E-10	0
4.648983	1.548971E-10	0
4.75606	1.507717E-10	0
4.864356	1.549616E-10	0
4.972878	1.559285E-10	0
5.080485	1.507717E-10	0
5.188767	1.532212E-10	0
5.297252	1.550905E-10	0
5.405065	1.559285E-10	0
5.513149	1.519964E-10	0
5.622548	1.539302E-10	0
5.732289	1.556062E-10	0
5.840682	1.552839E-10	0
5.947787	1.519964E-10	0
6.056488	1.51803E-10	0
6.164065	1.590226E-10	0
6.27261	1.52641E-10	0
6.380391	1.513518E-10	0
6.48762	1.556062E-10	0
6.594894	1.56702E-10	0
6.703174	1.55026E-10	0
6.81236	1.536724E-10	0
6.919911	1.549616E-10	0
7.02961	1.550905E-10	0
7.137021	1.539947E-10	0
7.245001	1.527699E-10	0
7.353149	1.537368E-10	0
7.461226	1.544459E-10	0
7.569946	1.540591E-10	0
7.676841	1.483222E-10	0
7.784994	1.554128E-10	0
7.893461	1.554128E-10	0
8.000398	1.541881E-10	0
8.107786	1.556062E-10	0
8.215565	1.544459E-10	0
8.322263	1.537368E-10	0
8.431041	1.533501E-10	0
8.541111	1.570243E-10	0
8.649179	1.552194E-10	0
8.75673	1.577978E-10	0
8.866097	1.55026E-10	0
8.975637	1.519964E-10	0
9.084204	1.561863E-10	0
9.19216	1.519964E-10	0
9.301816	1.522543E-10	0
9.410189	1.516097E-10	0
9.517793	1.530922E-10	0
9.626047	1.548971E-10	0
9.733081	1.547682E-10	0
