Time,s	TEY,A	Shutter
0	1.600539E-10	0
0.107712	1.5754E-10	0
0.214428	1.550905E-10	0
0.321145	1.539302E-10	0
0.42786	1.597961E-10	0
0.535573	1.588937E-10	0
0.643285	1.572822E-10	0
0.750001	1.569598E-10	0
0.857713	1.597316E-10	0
0.964428	1.568309E-10	0
1.071144	1.581201E-10	0
1.179683	1.569598E-10	0
1.289162	1.567665E-10	0
1.398281	1.580557E-10	0
1.506305	1.581201E-10	0
1.617249	1.563797E-10	0
1.724353	1.597316E-10	0
1.833271	1.579268E-10	0
1.941597	1.584424E-10	0
2.049066	1.592804E-10	0
2.157971	1.572177E-10	0
2.265897	1.579912E-10	0
2.372714	1.563797E-10	0
2.479382	1.576045E-10	0
2.587859	1.586358E-10	0
2.697474	1.588937E-10	0
2.807391	1.592804E-10	0
2.916367	1.586358E-10	0
3.023825	1.568309E-10	0
3.130387	1.576689E-10	0
3.239386	1.569598E-10	0
3.347936	1.577334E-10	0
3.455828	1.622456E-10	0
3.563714	1.572822E-10	0
3.67287	1.576689E-10	0
3.780399	1.582491E-10	0
3.888841	1.588292E-10	0
3.997783	1.580557E-10	0
4.104946	1.562508E-10	0
4.213774	1.565731E-10	0
4.322277	1.554773E-10	0
4.43092	1.557351E-10	0
4.538163	1.565731E-10	0
4.646822	1.547682E-10	0
4.754385	1.565731E-10	0
4.861563	1.553483E-10	0
4.970195	1.570243E-10	0
5.079225	1.538658E-10	0
5.186111	1.610208E-10	0
5.293162	1.610208E-10	0
5.402471	1.598606E-10	0
5.510718	1.568309E-10	0
5.620811	1.579912E-10	0
5.728006	1.548327E-10	0
5.83594	1.563152E-10	0
5.943989	1.577978E-10	0
6.051747	1.577334E-10	0
6.160412	1.578623E-10	0
6.267728	1.597316E-10	0
6.37579	1.560574E-10	0
6.483099	1.587003E-10	0
6.591805	1.532212E-10	0
6.69977	1.559929E-10	0
6.807925	1.554773E-10	0
6.917265	1.574755E-10	0
7.024667	1.574755E-10	0
7.132013	1.552194E-10	0
7.239481	1.548327E-10	0
7.347459	1.55026E-10	0
7.454988	1.564442E-10	0
7.564142	1.577334E-10	0
7.671927	1.563797E-10	0
7.779007	1.592804E-10	0
7.889107	1.556706E-10	0
7.99681	1.568309E-10	0
8.103847	1.561863E-10	0
8.212466	1.548327E-10	0
8.320195	1.554773E-10	0
8.429432	1.561219E-10	0
8.538844	1.58378E-10	0
8.646488	1.588292E-10	0
8.75384	1.546393E-10	0
8.861971	1.568954E-10	0
8.970785	1.542525E-10	0
9.078135	1.555417E-10	0
9.188238	1.553483E-10	0
9.295401	1.547037E-10	0
9.405662	1.572822E-10	0
9.513615	1.547682E-10	0
9.62303	1.537368E-10	0
9.731431	1.574755E-10	0
9.838564	1.556706E-10	0
9.946473	1.557351E-10	0
