Time,s	TEY,A	Shutter
0	1.527055E-10	0
0.108711	1.577334E-10	0
0.216424	1.554128E-10	0
0.324137	1.508361E-10	0
0.430851	1.577978E-10	0
0.537566	1.587647E-10	0
0.644283	1.528344E-10	0
0.751995	1.483222E-10	0
0.860707	1.591515E-10	0
0.967421	1.552194E-10	0
1.074137	1.552839E-10	0
1.181659	1.51803E-10	0
1.290444	1.555417E-10	0
1.398963	1.544459E-10	0
1.507849	1.532212E-10	0
1.615366	1.559285E-10	0
1.724098	1.531567E-10	0
1.832481	1.524476E-10	0
1.941842	1.546393E-10	0
2.049446	1.603762E-10	0
2.157888	1.570243E-10	0
2.266385	1.525121E-10	0
2.373564	1.538013E-10	0
2.482804	1.528989E-10	0
2.590478	1.579912E-10	0
2.697886	1.560574E-10	0
2.805556	1.544459E-10	0
2.913595	1.557351E-10	0
3.020881	1.557351E-10	0
3.128586	1.577334E-10	0
3.235876	1.572822E-10	0
3.343482	1.570888E-10	0
3.453355	1.525121E-10	0
3.561814	1.593449E-10	0
3.668916	1.594093E-10	0
3.776856	1.548971E-10	0
3.885677	1.559285E-10	0
3.993391	1.576689E-10	0
4.100201	1.535435E-10	0
4.208848	1.568954E-10	0
4.316015	1.567665E-10	0
4.425781	1.552194E-10	0
4.5347	1.539947E-10	0
4.641689	1.576045E-10	0
4.748111	1.557996E-10	0
4.856405	1.547037E-10	0
4.96496	1.540591E-10	0
5.073185	1.574755E-10	0
5.181654	1.547037E-10	0
5.289698	1.563797E-10	0
5.396658	1.545748E-10	0
5.504378	1.565731E-10	0
5.612092	1.573466E-10	0
5.718807	1.546393E-10	0
5.827517	1.527699E-10	0
5.93523	1.568309E-10	0
6.043095	1.55026E-10	0
6.150109	1.525766E-10	0
6.25807	1.569598E-10	0
6.366176	1.552194E-10	0
6.474075	1.537368E-10	0
6.582212	1.546393E-10	0
6.690506	1.542525E-10	0
6.798759	1.573466E-10	0
6.906414	1.565086E-10	0
7.013539	1.552839E-10	0
7.122812	1.548971E-10	0
7.232171	1.572822E-10	0
7.340882	1.55864E-10	0
7.449492	1.572177E-10	0
7.556883	1.561863E-10	0
7.664652	1.548971E-10	0
7.773396	1.568309E-10	0
7.88241	1.570243E-10	0
7.990501	1.584424E-10	0
8.100039	1.567665E-10	0
8.206849	1.548971E-10	0
8.31508	1.5754E-10	0
8.42241	1.55864E-10	0
8.532032	1.577978E-10	0
8.638662	1.579912E-10	0
8.745466	1.574111E-10	0
8.853918	1.534145E-10	0
8.961438	1.568954E-10	0
9.070288	1.564442E-10	0
9.178358	1.511584E-10	0
9.28685	1.593449E-10	0
9.394562	1.587003E-10	0
9.501904	1.556706E-10	0
9.6121	1.534145E-10	0
9.720418	1.543814E-10	0
9.829515	1.567665E-10	0
9.937919	1.53479E-10	0
10.045866	1.542525E-10	0
10.153852	1.533501E-10	0
10.261555	1.568954E-10	0
10.368508	1.559929E-10	0
10.476326	1.571532E-10	0
