Time,s	TEY,A	Shutter
0	1.643083E-10	0
0.108237	1.511584E-10	0
0.215408	1.594093E-10	0
0.322448	1.576689E-10	0
0.430734	1.486445E-10	0
0.536964	1.634059E-10	0
0.644189	1.45486E-10	0
0.751411	1.556062E-10	0
0.857722	1.602473E-10	0
0.964994	1.539947E-10	0
1.073222	1.590226E-10	0
1.180593	1.570888E-10	0
1.286596	1.527699E-10	0
1.394267	1.556706E-10	0
1.501915	1.610208E-10	0
1.608838	1.54317E-10	0
1.718441	1.565731E-10	0
1.826943	1.491602E-10	0
1.933931	1.633414E-10	0
2.042046	1.544459E-10	0
2.149865	1.543814E-10	0
2.259025	1.547682E-10	0
2.368625	1.540591E-10	0
2.475376	1.592804E-10	0
2.583722	1.552839E-10	0
2.692035	1.519964E-10	0
2.799305	1.592804E-10	0
2.906768	1.559285E-10	0
3.016385	1.508361E-10	0
3.124352	1.585069E-10	0
3.233238	1.527699E-10	0
3.341784	1.574755E-10	0
3.44944	1.557996E-10	0
3.557565	1.594738E-10	0
3.666774	1.557996E-10	0
3.775385	1.56702E-10	0
3.884251	1.542525E-10	0
3.993332	1.545748E-10	0
4.100637	1.545748E-10	0
4.209502	1.553483E-10	0
4.316781	1.584424E-10	0
4.424986	1.52641E-10	0
4.533149	1.574755E-10	0
4.640766	1.569598E-10	0
4.749674	1.55864E-10	0
4.857269	1.531567E-10	0
4.966316	1.577334E-10	0
5.074788	1.538658E-10	0
5.183811	1.59925E-10	0
5.291219	1.536724E-10	0
5.399634	1.554773E-10	0
5.507896	1.55026E-10	0
5.614797	1.556062E-10	0
5.722303	1.572822E-10	0
5.831165	1.536079E-10	0
5.940246	1.545104E-10	0
6.048378	1.528344E-10	0
6.155464	1.574755E-10	0
6.263806	1.553483E-10	0
6.372105	1.589581E-10	0
6.479547	1.54317E-10	0
6.587802	1.578623E-10	0
6.696803	1.554128E-10	0
6.805413	1.591515E-10	0
6.912892	1.587647E-10	0
7.02088	1.603118E-10	0
7.128806	1.552839E-10	0
7.235708	1.536079E-10	0
7.344349	1.560574E-10	0
7.451256	1.580557E-10	0
7.55981	1.597316E-10	0
7.667805	1.563797E-10	0
7.776061	1.56702E-10	0
7.885231	1.555417E-10	0
7.99422	1.603762E-10	0
8.101811	1.5754E-10	0
8.208895	1.596672E-10	0
8.316939	1.555417E-10	0
8.425426	1.559285E-10	0
8.533448	1.59087E-10	0
8.642389	1.553483E-10	0
8.750595	1.561219E-10	0
8.858921	1.564442E-10	0
8.966291	1.544459E-10	0
9.074672	1.556706E-10	0
9.183727	1.594738E-10	0
9.291857	1.552194E-10	0
9.401238	1.568309E-10	0
9.509162	1.51803E-10	0
9.617185	1.59216E-10	0
9.72448	1.541236E-10	0
9.833065	1.594093E-10	0
9.942314	1.563152E-10	0
10.050904	1.515452E-10	0
10.158508	1.557351E-10	0
10.266463	1.540591E-10	0
10.374882	1.53479E-10	0
10.482897	1.561863E-10	0
10.591308	1.554773E-10	0
10.698987	1.562508E-10	0
10.806086	1.566375E-10	0
10.914365	1.566375E-10	0
11.020607	1.55864E-10	0
11.128951	1.536079E-10	0
11.237731	1.605696E-10	0
11.346163	1.537368E-10	0
11.455463	1.557351E-10	0
11.563149	1.543814E-10	0
11.670853	1.574755E-10	0
11.780438	1.567665E-10	0
11.88813	1.556706E-10	0
11.99609	1.557996E-10	0
12.103484	1.572177E-10	0
12.212807	1.568954E-10	0
12.32074	1.566375E-10	0
12.428986	1.574111E-10	0
12.536511	1.541236E-10	0
12.643008	1.55026E-10	0
12.750609	1.554773E-10	0
12.859769	1.581846E-10	0
12.966443	1.588937E-10	0
13.076819	1.565086E-10	0
13.186166	1.554128E-10	0
13.294199	1.572177E-10	0
13.401308	1.59216E-10	0
13.509859	1.581201E-10	0
13.618122	1.547682E-10	0
13.726329	1.535435E-10	0
13.834293	1.538013E-10	0
13.943025	1.578623E-10	0
14.051616	1.585714E-10	0
14.160137	1.545748E-10	0
14.26855	1.55155E-10	0
14.37687	1.56702E-10	0
14.486495	1.562508E-10	0
14.595691	1.610853E-10	0
14.703613	1.55864E-10	0
14.810778	1.59216E-10	0
14.919512	1.554128E-10	0
15.029247	1.565086E-10	0
15.136485	1.576689E-10	0
15.245063	1.582491E-10	0
15.352724	1.550905E-10	0
15.46129	1.565731E-10	0
15.569977	1.51932E-10	0
15.678262	1.589581E-10	0
15.787502	1.556706E-10	0
15.895176	1.579912E-10	0
16.002885	1.552194E-10	0
16.110569	1.595383E-10	0
16.218784	1.580557E-10	0
16.325499	1.59087E-10	0
16.433667	1.560574E-10	0
16.542259	1.559929E-10	0
16.651422	1.545104E-10	0
16.760427	1.556706E-10	0
16.867165	1.531567E-10	0
16.976502	1.559285E-10	0
17.084803	1.565086E-10	0
17.193552	1.566375E-10	0
17.30132	1.58378E-10	0
17.409343	1.561863E-10	0
17.517442	1.55026E-10	0
17.626525	1.572822E-10	0
17.733728	1.535435E-10	0
17.841784	1.581201E-10	0
17.948519	1.547037E-10	0
18.057192	1.547037E-10	0
18.16441	1.54317E-10	0
18.271378	1.576689E-10	0
18.379522	1.533501E-10	0
18.488652	1.577978E-10	0
18.595931	1.566375E-10	0
18.70355	1.595383E-10	0
18.811174	1.598606E-10	0
18.920041	1.608275E-10	0
19.028658	1.542525E-10	0
19.136909	1.572822E-10	0
19.246377	1.566375E-10	0
19.353668	1.572177E-10	0
19.4613	1.617299E-10	0
19.570609	1.588937E-10	0
19.678038	1.586358E-10	0
19.786487	1.559285E-10	0
19.893111	1.589581E-10	0
20.002011	1.621167E-10	0
20.109494	1.572822E-10	0
20.216912	1.545104E-10	0
20.325073	1.610208E-10	0
20.431892	1.560574E-10	0
20.540257	1.583135E-10	0
20.647825	1.510295E-10	0
20.754666	1.555417E-10	0
20.862765	1.577334E-10	0
20.970088	1.568954E-10	0
21.077676	1.583135E-10	0
21.185797	1.576689E-10	0
21.293923	1.569598E-10	0
21.403847	1.577334E-10	0
21.510901	1.604407E-10	0
21.61888	1.556706E-10	0
21.726572	1.579912E-10	0
21.836563	1.564442E-10	0
