Time,s	TEY,A	Shutter
0	1.472908E-10	0
0.107225	1.686271E-10	0
0.213455	1.468396E-10	0
0.319713	1.605052E-10	0
0.427911	1.55026E-10	0
0.534142	1.483222E-10	0
0.641383	1.571532E-10	0
0.748643	1.438745E-10	0
0.85693	1.5754E-10	0
0.963171	1.595383E-10	0
1.069402	1.480644E-10	0
1.17466	1.641794E-10	0
1.283299	1.498692E-10	0
1.3917	1.570243E-10	0
1.499444	1.556062E-10	0
1.606913	1.484511E-10	0
1.717092	1.630836E-10	0
1.825998	1.481933E-10	0
1.9341	1.557996E-10	0
2.041556	1.536079E-10	0
2.150093	1.462595E-10	0
2.257062	1.566375E-10	0
2.366227	1.488379E-10	0
2.473913	1.583135E-10	0
2.580709	1.570243E-10	0
2.690043	1.480644E-10	0
2.798571	1.628902E-10	0
2.907249	1.483222E-10	0
3.015503	1.6231E-10	0
3.123119	1.563152E-10	0
3.230716	1.510295E-10	0
3.338761	1.646306E-10	0
3.446649	1.47033E-10	0
3.554942	1.594738E-10	0
3.663115	1.567665E-10	0
3.77108	1.516741E-10	0
3.879745	1.626323E-10	0
3.987114	1.496114E-10	0
4.095572	1.563797E-10	0
4.203713	1.532212E-10	0
4.311588	1.466462E-10	0
4.420727	1.613431E-10	0
4.529701	1.499337E-10	0
4.637716	1.588292E-10	0
4.744494	1.505138E-10	0
4.852084	1.496759E-10	0
4.959074	1.597961E-10	0
5.067475	1.452926E-10	0
5.175033	1.610853E-10	0
5.28292	1.530922E-10	0
5.393023	1.544459E-10	0
5.501197	1.603118E-10	0
5.609051	1.484511E-10	0
5.717599	1.58378E-10	0
5.824866	1.521898E-10	0
5.934226	1.530922E-10	0
6.041184	1.604407E-10	0
6.149688	1.476776E-10	0
6.257187	1.608919E-10	0
6.365127	1.546393E-10	0
6.475129	1.521253E-10	0
6.584873	1.596672E-10	0
6.692315	1.49418E-10	0
6.799084	1.590226E-10	0
6.908056	1.520609E-10	0
7.016061	1.530278E-10	0
7.124035	1.585714E-10	0
7.231388	1.490957E-10	0
7.33955	1.626323E-10	0
7.448529	1.486445E-10	0
7.555953	1.561863E-10	0
7.662947	1.559285E-10	0
7.770072	1.501271E-10	0
7.878686	1.611498E-10	0
7.988409	1.490957E-10	0
8.095015	1.572822E-10	0
8.202149	1.587003E-10	0
8.309191	1.516741E-10	0
8.417073	1.618588E-10	0
8.525242	1.507072E-10	0
8.632134	1.553483E-10	0
8.742154	1.546393E-10	0
8.849428	1.505783E-10	0
8.956804	1.586358E-10	0
9.063805	1.503849E-10	0
9.171998	1.556062E-10	0
9.279353	1.55864E-10	0
9.386521	1.505138E-10	0
9.493358	1.567665E-10	0
9.60077	1.503849E-10	0
9.708076	1.563797E-10	0
9.8167	1.555417E-10	0
9.923856	1.503205E-10	0
10.031484	1.570243E-10	0
10.139454	1.510295E-10	0
10.247472	1.543814E-10	0
10.356554	1.556062E-10	0
10.464309	1.524476E-10	0
10.571393	1.588292E-10	0
10.679909	1.494825E-10	0
10.787445	1.5754E-10	0
10.895037	1.568954E-10	0
11.002176	1.508361E-10	0
11.109941	1.612787E-10	0
11.218535	1.522543E-10	0
11.326843	1.580557E-10	0
11.434456	1.585714E-10	0
11.54179	1.541881E-10	0
11.649139	1.585714E-10	0
11.757834	1.476131E-10	0
11.865234	1.55864E-10	0
11.972182	1.529633E-10	0
12.078501	1.532856E-10	0
12.187003	1.601829E-10	0
12.294751	1.522543E-10	0
12.403604	1.598606E-10	0
12.51168	1.557351E-10	0
12.61904	1.548327E-10	0
12.727432	1.572177E-10	0
12.836151	1.51094E-10	0
12.94424	1.623745E-10	0
13.052178	1.528989E-10	0
13.160805	1.514807E-10	0
13.268576	1.576689E-10	0
13.377717	1.516741E-10	0
13.484504	1.581846E-10	0
13.592978	1.536724E-10	0
13.699872	1.534145E-10	0
13.808062	1.581846E-10	0
13.916995	1.495469E-10	0
14.025402	1.565731E-10	0
14.135109	1.55026E-10	0
14.244403	1.529633E-10	0
14.352956	1.583135E-10	0
14.46032	1.517386E-10	0
14.567232	1.588292E-10	0
14.676313	1.528989E-10	0
14.783629	1.525766E-10	0
14.89182	1.556062E-10	0
14.999562	1.508361E-10	0
15.107544	1.583135E-10	0
15.214426	1.525766E-10	0
15.322893	1.559929E-10	0
15.430823	1.560574E-10	0
15.539955	1.519964E-10	0
15.648239	1.576689E-10	0
15.755767	1.532856E-10	0
15.864507	1.548971E-10	0
15.973076	1.55864E-10	0
16.08183	1.529633E-10	0
16.189988	1.561219E-10	0
16.299589	1.539947E-10	0
16.407022	1.564442E-10	0
16.514979	1.531567E-10	0
16.623221	1.496114E-10	0
16.730833	1.601829E-10	0
16.838848	1.528344E-10	0
16.947121	1.610208E-10	0
17.055064	1.534145E-10	0
17.163747	1.521898E-10	0
17.272214	1.573466E-10	0
17.379919	1.548971E-10	0
17.487167	1.576689E-10	0
17.596237	1.530922E-10	0
17.703982	1.561863E-10	0
17.812512	1.539302E-10	0
17.920804	1.51932E-10	0
18.029371	1.559285E-10	0
18.136282	1.548971E-10	0
18.245802	1.532856E-10	0
18.355098	1.576689E-10	0
18.462848	1.548971E-10	0
18.570645	1.576689E-10	0
18.677918	1.55026E-10	0
18.785307	1.570888E-10	0
18.89464	1.601184E-10	0
19.000852	1.516741E-10	0
19.108129	1.585069E-10	0
