Time,s	TEY,A	Shutter
0	1.576045E-10	0
0.107233	1.509006E-10	0
0.215473	1.717857E-10	0
0.32379	1.445191E-10	0
0.432067	1.619233E-10	0
0.541315	1.694006E-10	0
0.648585	1.505138E-10	0
0.755334	1.658553E-10	0
0.865559	1.572822E-10	0
0.973788	1.668222E-10	0
1.084035	1.466462E-10	0
1.1923	1.755888E-10	0
1.300656	1.456149E-10	0
1.408882	1.666289E-10	0
1.517118	1.643083E-10	0
1.632313	1.539947E-10	0
1.741482	1.606341E-10	0
1.849567	1.579912E-10	0
1.959739	1.645017E-10	0
2.06674	1.449703E-10	0
2.175052	1.748153E-10	0
2.282876	1.442612E-10	0
2.393475	1.633414E-10	0
2.501567	1.54317E-10	0
2.608931	1.614721E-10	0
2.716406	1.55155E-10	0
2.82706	1.596027E-10	0
2.934921	1.605696E-10	0
3.041417	1.485156E-10	0
3.147655	1.678536E-10	0
3.255728	1.501915E-10	0
3.363454	1.629546E-10	0
3.473075	1.507072E-10	0
3.582698	1.62439E-10	0
3.6889	1.499337E-10	0
3.8002	1.654041E-10	0
3.917041	1.561863E-10	0
4.024168	1.50256E-10	0
4.13295	1.650818E-10	0
4.24169	1.513518E-10	0
4.351492	1.585069E-10	0
4.461805	1.499337E-10	0
4.570072	1.677247E-10	0
4.680862	1.464529E-10	0
4.789941	1.597316E-10	0
4.897494	1.583135E-10	0
5.005861	1.5754E-10	0
5.115161	1.593449E-10	0
5.221348	1.556706E-10	0
5.328691	1.563152E-10	0
5.436364	1.54317E-10	0
5.544651	1.66371E-10	0
5.653894	1.483222E-10	0
5.761942	1.628257E-10	0
5.869883	1.579268E-10	0
5.976862	1.604407E-10	0
6.087083	1.577978E-10	0
6.195857	1.610208E-10	0
6.303212	1.569598E-10	0
6.411973	1.557351E-10	0
6.523091	1.644372E-10	0
6.631191	1.531567E-10	0
6.73917	1.612142E-10	0
6.846552	1.557351E-10	0
6.953512	1.621811E-10	0
7.061903	1.536724E-10	0
7.170517	1.660487E-10	0
7.277874	1.528989E-10	0
7.385971	1.577334E-10	0
7.498197	1.606985E-10	0
7.605364	1.547682E-10	0
7.714783	1.609564E-10	0
7.823532	1.559929E-10	0
7.930402	1.601829E-10	0
8.039563	1.509006E-10	0
8.14814	1.646951E-10	0
8.25438	1.49418E-10	0
8.363271	1.600539E-10	0
8.472549	1.568309E-10	0
8.579833	1.569598E-10	0
8.686475	1.593449E-10	0
8.794134	1.597961E-10	0
8.905517	1.616654E-10	0
9.016021	1.574755E-10	0
9.124156	1.623745E-10	0
9.232363	1.531567E-10	0
9.343109	1.6231E-10	0
9.451761	1.557351E-10	0
9.557673	1.633414E-10	0
9.666413	1.55864E-10	0
9.777249	1.59925E-10	0
9.886573	1.583135E-10	0
9.994748	1.541881E-10	0
10.104283	1.587647E-10	0
10.213649	1.548327E-10	0
10.32289	1.574111E-10	0
10.430708	1.556062E-10	0
10.539907	1.593449E-10	0
10.648748	1.541236E-10	0
10.776742	1.59925E-10	0
10.885939	1.599895E-10	0
10.993983	1.554128E-10	0
11.106044	1.601829E-10	0
11.214253	1.596027E-10	0
11.322526	1.630836E-10	0
11.430388	1.563797E-10	0
11.537973	1.579912E-10	0
11.644376	1.571532E-10	0
11.753317	1.557996E-10	0
11.860542	1.579912E-10	0
11.969849	1.559285E-10	0
12.079637	1.567665E-10	0
12.190657	1.576045E-10	0
12.298977	1.574755E-10	0
12.407411	1.541236E-10	0
12.517965	1.587647E-10	0
12.62673	1.546393E-10	0
12.733677	1.567665E-10	0
12.840654	1.597961E-10	0
12.949052	1.570243E-10	0
13.05646	1.581846E-10	0
13.164155	1.59925E-10	0
13.270615	1.616654E-10	0
13.377637	1.5754E-10	0
13.484175	1.601829E-10	0
13.593312	1.571532E-10	0
13.700795	1.605052E-10	0
13.808215	1.570243E-10	0
13.917496	1.564442E-10	0
14.024735	1.577334E-10	0
14.144873	1.60763E-10	0
14.252333	1.557996E-10	0
14.36464	1.582491E-10	0
14.473841	1.604407E-10	0
14.581327	1.601184E-10	0
14.690414	1.608275E-10	0
14.798024	1.547037E-10	0
14.906157	1.603118E-10	0
15.014805	1.560574E-10	0
15.12165	1.588292E-10	0
15.229051	1.614721E-10	0
15.335024	1.554773E-10	0
