Time,s	TEY,A	Shutter
0	1.524476E-10	0
0.107702	1.53479E-10	0
0.21442	1.394912E-10	0
0.322137	1.777804E-10	0
0.429853	1.614076E-10	0
0.537568	1.418762E-10	0
0.644286	1.816481E-10	0
0.755991	1.334964E-10	0
0.862711	1.65533E-10	0
0.969429	1.578623E-10	0
1.075151	1.417473E-10	0
1.183131	1.660487E-10	0
1.291587	1.59087E-10	0
1.398157	1.584424E-10	0
1.507411	1.529633E-10	0
1.61737	1.533501E-10	0
1.72444	1.723658E-10	0
1.833428	1.514163E-10	0
1.941752	1.521253E-10	0
2.049688	1.629546E-10	0
2.156535	1.578623E-10	0
2.263586	1.659843E-10	0
2.370117	1.49418E-10	0
2.478169	1.545104E-10	0
2.587684	1.668222E-10	0
2.696875	1.554773E-10	0
2.805307	1.63148E-10	0
2.914305	1.491602E-10	0
3.020354	1.555417E-10	0
3.129214	1.659843E-10	0
3.237586	1.515452E-10	0
3.346696	1.591515E-10	0
3.454593	1.536079E-10	0
3.562026	1.581846E-10	0
3.669051	1.651463E-10	0
3.777193	1.464529E-10	0
3.885212	1.60763E-10	0
3.99364	1.600539E-10	0
4.101768	1.598606E-10	0
4.21017	1.613431E-10	0
4.319196	1.489023E-10	0
4.427044	1.59087E-10	0
4.534343	1.573466E-10	0
4.643631	1.566375E-10	0
4.751462	1.564442E-10	0
4.858476	1.51932E-10	0
4.967745	1.608919E-10	0
5.076197	1.584424E-10	0
5.183419	1.540591E-10	0
5.290934	1.596027E-10	0
5.398654	1.548327E-10	0
5.506881	1.597961E-10	0
5.614382	1.587003E-10	0
5.723011	1.524476E-10	0
5.832109	1.605052E-10	0
5.940316	1.536079E-10	0
6.048291	1.614721E-10	0
6.155803	1.54317E-10	0
6.264491	1.539302E-10	0
6.373192	1.586358E-10	0
6.481636	1.554128E-10	0
6.590916	1.570888E-10	0
6.700561	1.51932E-10	0
6.807692	1.555417E-10	0
6.915432	1.609564E-10	0
7.022386	1.516097E-10	0
7.129776	1.553483E-10	0
7.238166	1.568954E-10	0
7.345362	1.574111E-10	0
7.453489	1.609564E-10	0
7.562088	1.507072E-10	0
7.669478	1.614076E-10	0
7.778932	1.585714E-10	0
