# TEY data for sample P950-AlO2 2
# time(s)	normalized_TEY
0.000000e+00	1.888371e-06
1.120510e-01	1.872250e-06
2.242150e-01	1.879926e-06
3.314380e-01	1.861502e-06
4.383010e-01	1.841545e-06
5.455250e-01	1.870715e-06
6.543020e-01	1.849988e-06
7.605290e-01	1.908328e-06
8.707450e-01	1.886835e-06
9.778090e-01	1.856129e-06
1.086032e+00	1.863806e-06
1.194904e+00	1.856897e-06
1.301128e+00	1.897582e-06
1.409179e+00	1.873785e-06
1.520395e+00	1.853059e-06
1.629879e+00	1.860736e-06
1.738256e+00	1.899885e-06
1.845012e+00	1.915238e-06
1.953196e+00	1.826192e-06
2.063027e+00	1.886068e-06
2.170849e+00	1.858432e-06
2.278134e+00	1.874553e-06
2.388180e+00	1.869947e-06
2.495412e+00	1.853059e-06
2.605968e+00	1.843848e-06
2.715068e+00	1.874553e-06
2.822388e+00	1.846918e-06
2.930003e+00	1.879926e-06
3.038499e+00	1.866109e-06
3.146752e+00	1.894511e-06
3.254128e+00	1.878391e-06
3.363710e+00	1.874553e-06
3.476563e+00	1.874553e-06
3.584751e+00	1.848453e-06
3.691980e+00	1.872250e-06
3.801566e+00	1.859201e-06
3.910814e+00	1.876856e-06
4.019113e+00	1.873018e-06
4.127738e+00	1.842312e-06
4.235527e+00	1.827727e-06
4.342897e+00	1.885299e-06
4.453362e+00	1.856897e-06
4.564347e+00	1.876088e-06
4.672799e+00	1.844615e-06
4.780786e+00	1.841545e-06
4.889587e+00	1.879158e-06
4.998659e+00	1.866109e-06
5.106621e+00	1.874553e-06
5.216036e+00	1.856129e-06
5.324249e+00	1.858432e-06
5.432583e+00	1.846918e-06
5.539912e+00	1.877623e-06
5.648049e+00	1.879926e-06
5.755781e+00	1.843848e-06
5.864014e+00	1.875320e-06
5.971472e+00	1.885299e-06
6.081710e+00	1.866109e-06
6.189343e+00	1.876856e-06
6.296457e+00	1.853826e-06
6.407458e+00	1.880694e-06
6.515986e+00	1.862271e-06
6.625116e+00	1.815445e-06
6.733401e+00	1.883764e-06
6.841640e+00	1.850756e-06
6.953756e+00	1.875320e-06
7.062572e+00	1.859967e-06
7.170952e+00	1.886068e-06
7.278579e+00	1.856129e-06
7.387482e+00	1.862271e-06
7.493292e+00	1.883764e-06
7.600641e+00	1.855362e-06
7.708890e+00	1.862271e-06
7.817470e+00	1.834635e-06
7.925845e+00	1.872250e-06
8.034070e+00	1.852291e-06
8.142902e+00	1.864574e-06
8.250921e+00	1.862271e-06
8.356621e+00	1.867644e-06
8.464050e+00	1.875320e-06
8.572994e+00	1.866877e-06
8.679769e+00	1.843848e-06
8.786484e+00	1.847686e-06
8.894788e+00	1.851524e-06
9.002364e+00	1.863806e-06
9.109535e+00	1.810839e-06
9.218349e+00	1.859967e-06
9.327255e+00	1.868412e-06
9.438010e+00	1.905258e-06
9.546727e+00	1.874553e-06
9.656490e+00	1.886068e-06
9.764236e+00	1.875320e-06
9.870646e+00	1.866109e-06
9.978432e+00	1.906793e-06
1.008540e+01	1.879158e-06
1.019761e+01	1.857664e-06
1.030416e+01	1.880694e-06
1.041193e+01	1.907562e-06
1.051989e+01	1.889138e-06
1.064627e+01	1.878391e-06
1.075510e+01	1.913702e-06
1.086335e+01	1.882996e-06
1.097126e+01	1.873018e-06
1.107901e+01	1.888371e-06
1.118707e+01	1.892209e-06
1.129422e+01	1.885299e-06
1.140397e+01	1.886068e-06
1.151379e+01	1.891441e-06
1.162152e+01	1.896814e-06
1.172890e+01	1.875320e-06
1.183791e+01	1.894511e-06
1.194502e+01	1.857664e-06
1.205659e+01	1.927519e-06
1.216696e+01	1.882996e-06
1.227326e+01	1.893744e-06
1.238149e+01	1.866109e-06
1.248976e+01	1.852291e-06
1.259753e+01	1.876856e-06
1.270596e+01	1.889906e-06
1.281438e+01	1.902955e-06
1.292184e+01	1.859967e-06
1.303006e+01	1.858432e-06
1.313788e+01	1.898349e-06
1.324547e+01	1.876856e-06
1.335568e+01	1.889906e-06
1.346461e+01	1.896814e-06
1.357315e+01	1.863806e-06
1.368242e+01	1.889138e-06
1.379151e+01	1.874553e-06
1.390173e+01	1.882229e-06
1.400893e+01	1.919843e-06
1.412117e+01	1.909097e-06
1.422975e+01	1.848453e-06
1.433934e+01	1.887603e-06
1.444963e+01	1.858432e-06
1.455786e+01	1.873018e-06
1.466544e+01	1.874553e-06
1.477291e+01	1.915238e-06
1.487977e+01	1.882229e-06
1.498748e+01	1.867644e-06
1.509393e+01	1.863806e-06
1.520216e+01	1.916773e-06
1.531226e+01	1.863806e-06
1.542175e+01	1.892209e-06
1.552806e+01	1.906793e-06
1.563742e+01	1.869947e-06
1.574601e+01	1.886835e-06
1.585267e+01	1.899885e-06
