Ion signal for P950-AlO2 2, m/z=17
Time(s)	Corrected Signal(Torr)	Std(Torr)
0.000000e+00	4.648421e-11	1.408334e-10
6.500000e+00	-1.729935e-10	1.408334e-10
1.300000e+01	-1.244713e-10	1.408334e-10
1.940000e+01	-4.697245e-11	1.408334e-10
2.590000e+01	2.085498e-10	1.408334e-10
3.230000e+01	-6.895137e-11	1.408334e-10
3.880000e+01	2.325709e-10	1.408334e-10
4.520000e+01	-7.930282e-12	1.408334e-10
5.170000e+01	5.759197e-11	1.408334e-10
5.810000e+01	-6.390920e-11	1.408334e-10
6.460000e+01	1.326131e-10	1.408334e-10
7.100000e+01	7.111189e-11	1.408334e-10
7.750000e+01	5.663414e-11	1.408334e-10
8.390000e+01	5.213298e-11	1.408334e-10
9.040000e+01	1.066552e-10	1.408334e-10
9.680000e+01	2.071541e-10	1.408334e-10
1.033000e+02	1.366763e-10	1.408334e-10
1.097000e+02	1.691751e-10	1.408334e-10
1.162000e+02	2.966974e-10	1.408334e-10
1.226000e+02	5.519623e-11	1.408334e-10
1.291000e+02	-4.128151e-11	1.408334e-10
1.355000e+02	6.521732e-11	1.408334e-10
1.420000e+02	3.307396e-10	1.408334e-10
1.484000e+02	2.502384e-10	1.408334e-10
1.549000e+02	7.576066e-11	1.408334e-10
1.613000e+02	2.872595e-10	1.408334e-10
1.678000e+02	3.178175e-11	1.408334e-10
1.742000e+02	1.528058e-11	1.408334e-10
1.807000e+02	1.788028e-10	1.408334e-10
1.871000e+02	2.013017e-10	1.408334e-10
1.936000e+02	8.382392e-11	1.408334e-10
2.000000e+02	-1.767725e-11	1.408334e-10
2.065000e+02	5.484500e-11	1.408334e-10
2.129000e+02	-1.116562e-10	1.408334e-10
2.194000e+02	8.660906e-13	1.408334e-10
2.258000e+02	1.953649e-10	1.408334e-10
2.323000e+02	-1.291128e-10	1.408334e-10
2.387000e+02	5.738601e-11	1.408334e-10
2.452000e+02	1.619083e-10	1.408334e-10
2.516000e+02	1.954071e-10	1.408334e-10
2.581000e+02	6.292935e-11	1.408334e-10
2.646000e+02	-5.354840e-11	1.408334e-10
2.710000e+02	-4.604956e-11	1.408334e-10
2.775000e+02	3.414727e-10	1.408334e-10
2.839000e+02	-5.402848e-11	1.408334e-10
2.904000e+02	3.954938e-10	1.408334e-10
2.968000e+02	1.219926e-10	1.408334e-10
3.033000e+02	2.115149e-10	1.408334e-10
3.097000e+02	7.901369e-11	1.408334e-10
3.162000e+02	1.395359e-10	1.408334e-10
3.226000e+02	1.600348e-10	1.408334e-10
3.291000e+02	-9.644297e-11	1.408334e-10
3.355000e+02	-3.094413e-11	1.408334e-10
3.420000e+02	1.785781e-10	1.408334e-10
3.484000e+02	-7.892305e-11	1.408334e-10
3.549000e+02	-7.840079e-11	1.408334e-10
