Outgassing data P950-AlO2 2
Mass number	Avg Values (Torr)	Std Values (Torr)
1	1.665528e-10	8.030760e-11
2	2.336515e-09	1.712356e-10
3	2.212888e-12	3.245588e-12
4	4.914655e-12	1.347696e-11
5	-6.803535e-12	9.810888e-12
6	1.055298e-11	1.242425e-12
7	5.916498e-12	8.447007e-12
8	1.539449e-11	1.048736e-11
9	-4.982489e-12	1.122002e-11
10	-2.634515e-13	1.130005e-12
11	1.482382e-11	1.164053e-11
12	1.686031e-10	1.264901e-11
13	6.166457e-11	5.130227e-12
14	1.332683e-10	1.436043e-11
15	5.703952e-10	1.433789e-11
16	6.080464e-10	5.188594e-11
17	8.382946e-11	1.408334e-10
18	5.928529e-10	2.297159e-10
19	6.019551e-12	4.293559e-12
20	3.346711e-12	4.672769e-12
21	1.349052e-11	2.146169e-12
22	7.348849e-12	6.434148e-12
23	-4.021324e-12	1.307936e-11
24	8.115520e-12	5.842880e-12
25	1.071961e-11	3.374526e-12
26	4.883108e-11	1.065741e-11
27	4.388083e-11	1.709208e-11
28	1.471318e-09	7.420528e-11
29	5.936507e-10	2.537042e-11
30	1.923379e-10	6.690309e-12
31	4.044332e-10	7.876470e-12
32	2.127182e-10	3.232188e-11
33	5.348572e-12	2.444783e-12
34	-1.699879e-12	6.774718e-12
35	-4.044438e-12	1.306131e-11
36	3.390413e-12	6.890574e-12
37	7.416942e-12	5.868353e-12
38	5.927684e-12	1.483028e-12
39	5.058517e-11	1.040336e-11
40	1.606028e-11	5.578103e-12
41	7.174793e-11	1.863470e-11
42	2.248159e-11	6.607790e-12
43	9.302660e-11	8.793587e-12
44	1.402040e-09	2.864476e-11
45	3.978295e-11	6.993808e-12
46	8.435213e-12	3.781697e-12
47	4.034448e-12	7.513647e-12
48	1.085576e-12	9.377740e-12
49	7.439563e-12	8.782777e-12
50	6.053034e-12	3.956521e-12
51	5.431322e-12	1.914143e-12
52	1.547772e-12	5.401019e-12
53	5.126534e-12	3.843568e-12
54	4.729915e-12	2.486640e-12
55	1.494282e-11	7.703640e-12
56	1.546907e-11	3.638363e-12
57	8.316140e-12	9.651912e-12
58	7.393985e-12	1.318624e-12
59	-6.603689e-12	5.405260e-12
60	5.834683e-11	8.239053e-12
61	-6.630316e-12	4.460773e-12
62	-3.822705e-12	7.890942e-12
63	-7.215470e-12	7.218286e-12
64	8.582928e-12	3.534740e-12
65	3.788484e-12	6.905042e-12
66	-5.125168e-12	4.418138e-12
67	-3.305994e-13	3.006917e-12
68	1.095788e-12	2.112539e-12
69	1.176045e-11	5.004453e-12
70	3.619556e-12	7.324229e-12
71	4.505908e-12	1.735487e-12
72	3.637556e-12	2.926717e-12
73	2.990815e-12	7.225209e-12
74	1.207628e-12	7.223842e-12
75	8.307499e-12	7.700185e-12
76	-1.676394e-12	4.688330e-12
77	4.551314e-12	6.005701e-12
78	6.605502e-12	6.347264e-12
79	5.171586e-12	9.257128e-12
80	2.218409e-12	4.729710e-12
81	6.560298e-12	9.250939e-12
82	-6.123702e-12	1.116165e-11
83	-2.797237e-12	6.819787e-12
84	1.723338e-12	6.200942e-12
85	-9.750035e-13	1.034134e-11
86	6.449492e-12	9.436792e-12
87	1.214971e-11	8.964092e-12
88	1.015296e-11	8.555732e-12
89	-1.557888e-12	8.462251e-12
90	-1.359005e-12	9.183408e-12
91	-2.603164e-12	9.815470e-12
92	3.149789e-12	9.261657e-12
93	1.778819e-12	6.676535e-12
94	1.867298e-12	8.740258e-12
95	1.140044e-12	9.497469e-12
96	4.720773e-12	5.710754e-12
97	5.329491e-12	7.802919e-12
98	1.351577e-12	1.286235e-11
99	-4.058806e-12	9.513958e-12
100	9.431078e-12	1.193804e-11
101	1.160213e-11	1.126365e-11
102	6.475499e-13	1.292139e-11
103	-1.641121e-12	7.446254e-12
