Group Outgassing data P950-AlO2
Mass number	Avg Values (Torr)	Std Values (Torr)
1	8.327639e-11	8.327639e-11
2	2.443915e-09	1.073995e-10
3	3.314918e-12	1.102030e-12
4	2.457328e-12	2.457328e-12
5	2.847421e-12	2.847421e-12
6	5.276488e-12	5.276488e-12
7	6.022592e-12	1.060937e-13
8	8.970318e-12	6.424172e-12
9	0.000000e+00	0.000000e+00
10	5.281449e-12	5.281449e-12
11	7.635672e-12	7.188146e-12
12	1.679721e-10	6.310255e-13
13	5.715254e-11	4.512034e-12
14	1.273012e-10	5.967042e-12
15	5.475815e-10	2.281365e-11
16	5.896419e-10	1.840451e-11
17	8.407720e-11	2.477398e-13
18	4.006797e-10	1.921732e-10
19	6.882405e-12	8.628546e-13
20	1.673356e-12	1.673356e-12
21	7.176361e-12	6.314164e-12
22	7.109861e-12	2.389880e-13
23	3.264712e-12	3.264712e-12
24	4.057760e-12	4.057760e-12
25	1.026547e-11	4.541429e-13
26	4.283058e-11	6.000493e-12
27	4.253687e-11	1.343956e-12
28	1.445066e-09	2.625128e-11
29	5.662660e-10	2.738471e-11
30	1.844158e-10	7.922043e-12
31	3.905083e-10	1.392487e-11
32	1.945066e-10	1.821160e-11
33	2.674286e-12	2.674286e-12
34	2.742922e-12	2.742922e-12
35	1.827055e-12	1.827055e-12
36	1.695206e-12	1.695206e-12
37	5.690336e-12	1.726606e-12
38	9.185611e-12	3.257927e-12
39	5.001475e-11	5.704203e-13
40	1.872349e-11	2.663209e-12
41	7.015888e-11	1.589057e-12
42	1.934815e-11	3.133440e-12
43	8.118720e-11	1.183940e-11
44	1.342953e-09	5.908642e-11
45	3.255611e-11	7.226836e-12
46	6.964324e-12	1.470889e-12
47	3.962638e-12	7.181059e-14
48	7.803887e-13	3.051869e-13
49	3.719781e-12	3.719781e-12
50	7.318076e-12	1.265042e-12
51	7.449651e-12	2.018330e-12
52	2.194414e-12	6.466424e-13
53	3.264008e-12	1.862526e-12
54	3.928524e-12	8.013910e-13
55	1.003641e-11	4.906402e-12
56	1.460560e-11	8.634660e-13
57	4.158070e-12	4.158070e-12
58	5.952232e-12	1.441753e-12
59	0.000000e+00	0.000000e+00
60	5.748744e-11	8.593977e-13
61	4.018368e-13	4.018368e-13
62	0.000000e+00	0.000000e+00
63	0.000000e+00	0.000000e+00
64	5.673124e-12	2.909804e-12
65	3.175172e-12	6.133119e-13
66	0.000000e+00	0.000000e+00
67	0.000000e+00	0.000000e+00
68	2.355350e-12	1.259562e-12
69	1.146722e-11	2.932315e-13
70	1.809778e-12	1.809778e-12
71	3.988411e-12	5.174972e-13
72	3.192001e-12	4.455553e-13
73	3.308867e-12	3.180526e-13
74	2.953559e-12	1.745931e-12
75	7.103470e-12	1.204029e-12
76	1.190502e-12	1.190502e-12
77	4.664003e-12	1.126892e-13
78	5.755453e-12	8.500484e-13
79	2.585793e-12	2.585793e-12
80	1.109205e-12	1.109205e-12
81	4.542653e-12	2.017646e-12
82	5.347904e-13	5.347904e-13
83	0.000000e+00	0.000000e+00
84	1.796834e-12	7.349563e-14
85	6.334117e-13	6.334117e-13
86	7.153349e-12	7.038570e-13
87	7.941629e-12	4.208084e-12
88	6.745326e-12	3.407632e-12
89	0.000000e+00	0.000000e+00
90	1.650608e-12	1.650608e-12
91	5.192159e-12	5.192159e-12
92	1.574894e-12	1.574894e-12
93	8.894097e-13	8.894097e-13
94	2.376746e-12	5.094473e-13
95	5.700221e-13	5.700221e-13
96	6.298739e-12	1.577966e-12
97	2.664745e-12	2.664745e-12
98	6.757883e-13	6.757883e-13
99	9.269051e-13	9.269051e-13
100	9.003092e-12	4.279855e-13
101	5.801067e-12	5.801067e-12
102	4.767680e-12	4.120130e-12
103	5.111910e-13	5.111910e-13
104	5.218210e-12	2.302390e-13
105	4.732916e-12	4.732916e-12
106	5.879696e-12	1.876023e-12
107	0.000000e+00	0.000000e+00
108	4.380860e-13	4.380860e-13
109	6.530771e-12	1.497845e-12
110	0.000000e+00	0.000000e+00
111	0.000000e+00	0.000000e+00
112	0.000000e+00	0.000000e+00
113	3.278325e-12	3.278325e-12
114	8.893403e-12	3.600536e-12
115	6.676507e-13	6.676507e-13
116	0.000000e+00	0.000000e+00
117	3.837908e-12	9.354213e-13
118	0.000000e+00	0.000000e+00
119	6.865472e-12	6.865472e-12
120	7.434449e-12	2.978915e-12
121	0.000000e+00	0.000000e+00
122	5.839989e-12	3.194217e-12
123	7.576967e-12	1.090290e-12
124	4.647713e-12	4.290198e-12
125	2.713357e-12	2.572166e-12
126	6.496937e-12	6.496937e-12
127	2.577757e-12	2.577757e-12
128	9.043859e-13	9.043859e-13
129	8.385868e-13	8.385868e-13
130	3.234001e-13	3.234001e-13
131	8.817741e-12	1.219882e-12
132	3.498492e-12	1.909653e-12
133	5.679589e-12	8.082063e-13
134	1.295867e-12	1.295867e-12
135	3.611972e-12	3.350277e-12
136	8.564823e-12	1.291043e-12
137	0.000000e+00	0.000000e+00
138	9.198350e-13	9.198350e-13
139	0.000000e+00	0.000000e+00
140	1.963995e-12	7.045092e-13
141	1.953782e-12	1.953782e-12
142	0.000000e+00	0.000000e+00
143	2.762158e-12	2.762158e-12
144	1.083129e-11	8.514840e-12
145	0.000000e+00	0.000000e+00
146	3.406677e-12	3.406677e-12
147	2.728211e-12	1.022341e-12
148	3.201644e-12	1.576491e-12
149	0.000000e+00	0.000000e+00
150	7.391930e-13	7.391930e-13
151	3.454459e-12	3.454459e-12
152	0.000000e+00	0.000000e+00
153	1.706547e-12	1.706547e-12
154	0.000000e+00	0.000000e+00
155	1.205009e-12	1.205009e-12
156	0.000000e+00	0.000000e+00
157	0.000000e+00	0.000000e+00
158	3.867274e-12	3.867274e-12
