Time	Averaged_Intensity	Std_Deviation
0.000000e+00	4.270225e-11	7.457003e-10
6.400000e+00	7.758140e-10	4.831646e-10
1.290000e+01	-3.696330e-10	1.598719e-11
1.930000e+01	-5.019486e-10	1.366265e-10
2.580000e+01	1.191691e-10	2.220701e-10
3.220000e+01	-4.918965e-10	5.859334e-10
3.870000e+01	4.335352e-10	2.981423e-10
4.510000e+01	3.695735e-10	1.199423e-11
5.160000e+01	-1.038820e-10	8.473150e-10
5.800000e+01	2.619648e-09	1.221373e-09
6.450000e+01	7.653030e-09	7.380045e-10
7.090000e+01	9.711646e-09	6.450419e-10
7.740000e+01	9.444726e-09	9.133472e-10
8.380000e+01	9.995397e-09	7.658461e-11
9.030000e+01	9.834226e-09	5.587332e-10
9.680000e+01	9.596203e-09	2.376947e-10
1.032000e+02	9.353545e-09	4.766967e-10
1.097000e+02	8.199454e-09	1.350865e-09
1.161000e+02	8.932343e-09	1.886130e-10
1.226000e+02	9.053978e-09	6.927419e-10
1.290000e+02	7.955377e-09	1.399081e-11
1.355000e+02	7.843730e-09	3.913419e-10
1.419000e+02	8.237592e-09	8.558828e-10
1.484000e+02	8.568882e-09	4.208537e-10
1.548000e+02	8.085933e-09	4.697565e-10
1.613000e+02	7.991101e-09	8.366982e-11
1.677000e+02	8.075721e-09	8.529122e-10
1.742000e+02	7.814788e-09	1.307985e-09
1.806000e+02	7.460251e-09	2.815027e-10
1.871000e+02	7.114487e-09	1.616541e-09
1.935000e+02	7.008124e-09	3.621935e-10
2.000000e+02	7.425870e-09	3.252161e-10
2.064000e+02	5.522160e-09	1.328183e-09
2.129000e+02	6.473673e-09	1.413004e-10
2.193000e+02	6.207245e-09	2.777289e-10
2.258000e+02	6.676339e-09	9.570209e-10
2.322000e+02	6.357651e-09	6.889554e-11
2.387000e+02	6.780390e-09	1.225155e-09
2.451000e+02	5.754866e-09	6.365708e-10
2.516000e+02	6.176458e-09	1.265238e-09
2.580000e+02	6.646729e-09	2.354552e-10
2.645000e+02	5.954437e-09	2.524371e-11
2.709000e+02	6.095989e-09	7.190852e-10
2.774000e+02	6.367929e-09	2.102370e-10
2.838000e+02	5.000510e-09	6.196200e-10
2.903000e+02	5.515800e-09	2.818294e-10
2.967000e+02	5.338252e-09	3.688135e-10
3.032000e+02	2.122350e-09	1.933866e-11
3.096000e+02	8.869695e-10	2.079537e-10
3.161000e+02	7.512932e-10	1.783312e-10
3.226000e+02	8.557247e-10	3.326347e-10
3.290000e+02	8.385930e-11	3.781674e-10
3.355000e+02	3.645008e-10	7.183624e-10
3.419000e+02	5.395540e-11	4.750017e-10
3.484000e+02	-4.673558e-10	7.660491e-11
3.548000e+02	-5.130327e-10	2.803184e-10
