Sum of corrected signals for P950-AlO4 2
Time(s)	SumCorrected(Torr)	Std(Torr)
0.000000e+00	-1.163308e-09	6.187296e-10
6.400000e+00	4.327324e-10	6.187296e-10
1.290000e+01	-5.543839e-10	6.187296e-10
1.930000e+01	8.938721e-10	6.187296e-10
2.580000e+01	-2.751919e-10	6.187296e-10
3.220000e+01	-7.635062e-10	6.187296e-10
3.870000e+01	1.794200e-10	6.187296e-10
4.510000e+01	1.207159e-10	6.187296e-10
5.160000e+01	-3.453657e-11	6.187296e-10
5.800000e+01	3.497276e-09	6.187296e-10
6.450000e+01	8.108392e-09	6.187296e-10
7.090000e+01	9.706756e-09	6.187296e-10
7.740000e+01	1.018397e-08	6.187296e-10
8.380000e+01	1.048348e-08	6.187296e-10
9.030000e+01	9.743302e-09	6.187296e-10
9.670000e+01	1.074321e-08	6.187296e-10
1.032000e+02	1.011286e-08	6.187296e-10
1.096000e+02	9.844701e-09	6.187296e-10
1.161000e+02	8.623204e-09	6.187296e-10
1.225000e+02	1.053408e-08	6.187296e-10
1.290000e+02	9.273960e-09	6.187296e-10
1.354000e+02	9.940792e-09	6.187296e-10
1.419000e+02	8.878007e-09	6.187296e-10
1.483000e+02	9.717732e-09	6.187296e-10
1.548000e+02	8.613906e-09	6.187296e-10
1.612000e+02	9.084419e-09	6.187296e-10
1.677000e+02	9.735388e-09	6.187296e-10
1.742000e+02	8.310188e-09	6.187296e-10
1.806000e+02	7.762350e-09	6.187296e-10
1.871000e+02	8.357857e-09	6.187296e-10
1.935000e+02	8.193002e-09	6.187296e-10
2.000000e+02	7.914420e-09	6.187296e-10
2.064000e+02	8.120894e-09	6.187296e-10
2.129000e+02	8.160052e-09	6.187296e-10
2.193000e+02	7.462308e-09	6.187296e-10
2.258000e+02	6.981230e-09	6.187296e-10
2.322000e+02	7.113375e-09	6.187296e-10
2.387000e+02	6.269435e-09	6.187296e-10
2.451000e+02	7.273769e-09	6.187296e-10
2.516000e+02	6.918987e-09	6.187296e-10
2.580000e+02	6.717252e-09	6.187296e-10
2.645000e+02	6.774173e-09	6.187296e-10
2.709000e+02	6.220258e-09	6.187296e-10
2.774000e+02	5.834517e-09	6.187296e-10
2.838000e+02	5.807314e-09	6.187296e-10
2.903000e+02	6.150135e-09	6.187296e-10
2.967000e+02	6.616369e-09	6.187296e-10
3.032000e+02	2.647711e-09	6.187296e-10
3.096000e+02	1.900672e-09	6.187296e-10
3.161000e+02	7.751793e-10	6.187296e-10
3.225000e+02	4.715551e-10	6.187296e-10
3.290000e+02	5.466326e-10	6.187296e-10
3.354000e+02	7.880826e-10	6.187296e-10
3.419000e+02	-3.540259e-10	6.187296e-10
3.483000e+02	-8.936317e-10	6.187296e-10
3.548000e+02	-4.567844e-10	6.187296e-10
