Averaged TEY data for P950-AlO4
Time(s)	MeanTEY	Std
0.000000e+00	1.910489e-06	3.708218e-08
1.082290e-01	1.822651e-06	4.466574e-08
2.154820e-01	1.840524e-06	2.983826e-08
3.227210e-01	1.933313e-06	4.163572e-08
4.309480e-01	1.783869e-06	8.801542e-08
5.402190e-01	1.887647e-06	6.904940e-08
6.504390e-01	1.887675e-06	1.502869e-08
7.576680e-01	1.784251e-06	9.067790e-08
8.639040e-01	1.921507e-06	6.560876e-08
9.701810e-01	1.841669e-06	3.630600e-08
1.078420e+00	1.824914e-06	5.862720e-09
1.186648e+00	1.913537e-06	2.795001e-08
1.294913e+00	1.828745e-06	5.836446e-08
1.403255e+00	1.867517e-06	6.288856e-09
1.509395e+00	1.935588e-06	5.609097e-08
1.618125e+00	1.805561e-06	1.021021e-07
1.725817e+00	1.933307e-06	5.304857e-08
1.832416e+00	1.848885e-06	1.234312e-08
1.940752e+00	1.843975e-06	8.424077e-08
2.047640e+00	1.931397e-06	7.016881e-08
2.153615e+00	1.811251e-06	6.976851e-08
2.260886e+00	1.854211e-06	1.386727e-08
2.366963e+00	1.911261e-06	1.653890e-08
2.476390e+00	1.815799e-06	3.477092e-08
2.584956e+00	1.904039e-06	2.466799e-09
2.690738e+00	1.906690e-06	2.795404e-08
2.799939e+00	1.815442e-06	8.232428e-08
2.907325e+00	1.952317e-06	7.510397e-08
3.016639e+00	1.837854e-06	1.652193e-08
3.124826e+00	1.859934e-06	4.620655e-08
3.233169e+00	1.945092e-06	6.940118e-08
3.341257e+00	1.812013e-06	7.205170e-08
3.450288e+00	1.871691e-06	2.721090e-08
3.559129e+00	1.885763e-06	3.290966e-08
3.667624e+00	1.838243e-06	3.288007e-08
3.774592e+00	1.906687e-06	3.404054e-08
3.881826e+00	1.886154e-06	1.274724e-08
3.991261e+00	1.789561e-06	5.948616e-08
4.097885e+00	1.957659e-06	4.390629e-08
4.208626e+00	1.825702e-06	5.836293e-08
4.315906e+00	1.840897e-06	1.424065e-08
4.422213e+00	1.931779e-06	6.598426e-08
4.531510e+00	1.810491e-06	7.205035e-08
4.637897e+00	1.877024e-06	1.275183e-08
4.746650e+00	1.910494e-06	2.719080e-08
4.855350e+00	1.845474e-06	3.859072e-08
4.962744e+00	1.923051e-06	2.147865e-08
5.070675e+00	1.894526e-06	8.938155e-09
5.178101e+00	1.830649e-06	6.178904e-08
5.288322e+00	1.941286e-06	7.320738e-08
5.397553e+00	1.843581e-06	5.646978e-08
5.505029e+00	1.846992e-06	3.174306e-08
5.611731e+00	1.924196e-06	1.577106e-08
5.720621e+00	1.810477e-06	4.389888e-08
5.828100e+00	1.895660e-06	2.225317e-08
5.936278e+00	1.889199e-06	9.702162e-09
6.045903e+00	1.843599e-06	9.146907e-08
6.155889e+00	1.912026e-06	7.407878e-09
6.262413e+00	1.903270e-06	1.920520e-08
6.368214e+00	1.829870e-06	2.450655e-08
6.476470e+00	1.912374e-06	7.170044e-08
6.582828e+00	1.854590e-06	1.044384e-08
6.691360e+00	1.836710e-06	1.157567e-08
6.799335e+00	1.886900e-06	4.318054e-08
6.909218e+00	1.824556e-06	4.961238e-08
7.019857e+00	1.893766e-06	5.894993e-09
7.128080e+00	1.881211e-06	7.804038e-09
7.235971e+00	1.850415e-06	3.060397e-08
7.345862e+00	1.931048e-06	5.876836e-09
7.453632e+00	1.851938e-06	3.136548e-08
7.560585e+00	1.829874e-06	3.363660e-08
7.668520e+00	1.902501e-06	3.670612e-08
7.776139e+00	1.812378e-06	4.047622e-08
7.885685e+00	1.876656e-06	1.121568e-08
7.993070e+00	1.880833e-06	2.097803e-09
8.102436e+00	1.825698e-06	5.151510e-08
8.215227e+00	1.904787e-06	2.909581e-08
8.327553e+00	1.867916e-06	3.137410e-08
8.435462e+00	1.829106e-06	2.070189e-08
8.548682e+00	1.906307e-06	3.213859e-08
8.660083e+00	1.843571e-06	3.668762e-08
8.771177e+00	1.863725e-06	1.957848e-08
8.878573e+00	1.932563e-06	1.881040e-08
8.988344e+00	1.813525e-06	5.226972e-08
9.096223e+00	1.881211e-06	7.042709e-09
9.204462e+00	1.894535e-06	8.561197e-09
9.317576e+00	1.844329e-06	3.136165e-08
9.425064e+00	1.931806e-06	1.196295e-08
9.530960e+00	1.846237e-06	4.391686e-08
9.638923e+00	1.846979e-06	4.352927e-09
9.746508e+00	1.903644e-06	3.328134e-08
9.855251e+00	1.858034e-06	4.886848e-08
9.963316e+00	1.907840e-06	1.007345e-08
1.007063e+01	1.916962e-06	2.756821e-08
1.017768e+01	1.837875e-06	5.836905e-08
1.028462e+01	1.928369e-06	3.821459e-08
1.039332e+01	1.876652e-06	3.607109e-09
1.050239e+01	1.830630e-06	2.374620e-08
1.061068e+01	1.914684e-06	1.767799e-08
1.071927e+01	1.832152e-06	2.298622e-08
1.082617e+01	1.843943e-06	2.032927e-08
1.093403e+01	1.871299e-06	4.965614e-08
1.104229e+01	1.863730e-06	2.870853e-08
1.114954e+01	1.896434e-06	4.377795e-09
1.125682e+01	1.895293e-06	4.757295e-09
1.136505e+01	1.834081e-06	7.891004e-08
1.147360e+01	1.920007e-06	2.452314e-08
1.158104e+01	1.869815e-06	2.490730e-08
1.168960e+01	1.863745e-06	5.914280e-08
1.179690e+01	1.915069e-06	8.167087e-09
1.190413e+01	1.844701e-06	1.500330e-08
1.201136e+01	1.878551e-06	2.859689e-09
1.212013e+01	1.908214e-06	2.414840e-08
1.222835e+01	1.840154e-06	5.076163e-08
1.233558e+01	1.884257e-06	3.997633e-09
1.244381e+01	1.890715e-06	2.035292e-08
1.255204e+01	1.827225e-06	6.064650e-08
1.265834e+01	1.903265e-06	2.985791e-08
1.276555e+01	1.832906e-06	1.081301e-08
1.287278e+01	1.840138e-06	1.956603e-08
1.298321e+01	1.924191e-06	2.490111e-08
1.309385e+01	1.839004e-06	3.135897e-08
