Averaged ion signal for P950-AlO4, m/z=171
Time (s)	Mean Ion Signal (Torr)	Std (Torr)
0.000000e+00	-5.571449e-12	1.858532e-13
6.500000e+00	5.756931e-12	1.049299e-11
1.290000e+01	7.373136e-12	5.220716e-12
1.940000e+01	-1.898535e-12	1.370563e-11
2.580000e+01	-4.067280e-12	9.017716e-12
3.230000e+01	-1.009405e-11	6.607303e-12
3.880000e+01	2.596976e-12	5.837476e-12
4.520000e+01	-7.138915e-12	1.236588e-11
5.170000e+01	-8.477989e-12	1.596346e-11
5.810000e+01	-3.757830e-12	9.994390e-12
6.460000e+01	-1.249354e-12	2.146162e-12
7.100000e+01	-8.629995e-12	1.319599e-11
7.750000e+01	-7.689019e-12	1.607152e-11
8.390000e+01	1.301794e-11	1.953072e-12
9.040000e+01	-8.314984e-12	8.085100e-12
9.680000e+01	-1.018893e-11	1.044595e-11
1.033000e+02	-5.079399e-12	2.060493e-11
1.097000e+02	-5.448740e-12	1.573478e-11
1.162000e+02	1.198999e-11	2.959563e-12
1.226000e+02	6.203695e-12	7.061366e-12
1.291000e+02	9.538571e-12	2.679994e-12
1.355000e+02	6.711280e-12	2.199203e-12
1.420000e+02	-2.440844e-12	9.540425e-12
1.484000e+02	1.327865e-12	2.488228e-12
1.549000e+02	-1.858511e-11	2.022094e-12
1.613000e+02	-8.648100e-12	1.230189e-11
1.678000e+02	-2.171967e-11	3.210872e-13
1.742000e+02	-2.988219e-12	1.240434e-11
1.807000e+02	-7.487089e-12	9.645282e-12
1.871000e+02	-9.970134e-12	9.505268e-12
1.936000e+02	8.599996e-12	3.392350e-12
2.000000e+02	-9.547349e-12	8.099499e-12
2.065000e+02	-6.569419e-12	1.171108e-11
2.129000e+02	-6.817265e-12	1.714367e-11
2.194000e+02	2.783665e-12	8.626988e-12
2.258000e+02	5.679870e-12	8.950689e-12
2.323000e+02	6.908750e-12	1.379430e-13
2.387000e+02	3.333455e-12	1.672258e-12
2.452000e+02	-9.473215e-12	1.401218e-11
2.516000e+02	-2.231610e-12	1.502182e-11
2.581000e+02	-1.453580e-12	6.654695e-12
2.646000e+02	-1.677037e-13	6.011933e-12
2.710000e+02	-9.915045e-12	5.501787e-12
2.775000e+02	-1.855307e-11	8.537585e-12
2.839000e+02	-1.362441e-11	6.090832e-12
2.904000e+02	-8.098834e-12	4.993096e-12
2.968000e+02	-8.538775e-12	8.154549e-12
3.033000e+02	2.780051e-12	6.157773e-12
3.097000e+02	-1.683740e-12	7.544530e-12
3.162000e+02	-8.930464e-12	2.092244e-11
3.226000e+02	5.302845e-12	1.292004e-11
3.291000e+02	-7.335929e-12	8.457239e-12
3.355000e+02	-2.613570e-12	9.087608e-12
3.420000e+02	8.921806e-12	4.947959e-14
3.484000e+02	1.360515e-12	8.653235e-13
3.549000e+02	-6.649609e-12	1.356048e-12
