Ion signal for P950-Hf10x4 1, m/z=4
Time(s)	Corrected Signal(Torr)	Std(Torr)
0.000000e+00	-8.200380e-12	1.296629e-11
6.500000e+00	-1.389832e-11	1.296629e-11
1.290000e+01	2.690111e-11	1.296629e-11
1.940000e+01	-7.237133e-12	1.296629e-11
2.580000e+01	-1.044681e-11	1.296629e-11
3.230000e+01	-6.700848e-12	1.296629e-11
3.870000e+01	1.221148e-11	1.296629e-11
4.520000e+01	7.666937e-12	1.296629e-11
5.160000e+01	-9.151439e-12	1.296629e-11
5.810000e+01	2.024962e-11	1.296629e-11
6.450000e+01	-8.456654e-12	1.296629e-11
7.100000e+01	-9.620193e-12	1.296629e-11
7.740000e+01	-6.807069e-12	1.296629e-11
8.390000e+01	-8.555308e-12	1.296629e-11
9.030000e+01	2.655022e-11	1.296629e-11
9.680000e+01	-8.157623e-12	1.296629e-11
1.032000e+02	1.275090e-11	1.296629e-11
1.097000e+02	2.149636e-11	1.296629e-11
1.161000e+02	1.013159e-11	1.296629e-11
1.226000e+02	2.259105e-11	1.296629e-11
1.291000e+02	-7.351191e-12	1.296629e-11
1.355000e+02	1.348373e-11	1.296629e-11
1.420000e+02	1.011619e-11	1.296629e-11
1.484000e+02	-5.889982e-12	1.296629e-11
1.549000e+02	-8.427921e-12	1.296629e-11
1.613000e+02	1.840710e-11	1.296629e-11
1.678000e+02	-5.510836e-12	1.296629e-11
1.742000e+02	1.706279e-11	1.296629e-11
1.807000e+02	1.848425e-11	1.296629e-11
1.871000e+02	-7.071527e-12	1.296629e-11
1.936000e+02	-8.359366e-12	1.296629e-11
2.000000e+02	1.793316e-11	1.296629e-11
2.065000e+02	-1.109315e-11	1.296629e-11
2.129000e+02	-7.455057e-12	1.296629e-11
2.194000e+02	-5.708695e-12	1.296629e-11
2.258000e+02	-6.611872e-12	1.296629e-11
2.323000e+02	-7.801910e-12	1.296629e-11
2.387000e+02	-9.102387e-12	1.296629e-11
2.452000e+02	-7.179625e-12	1.296629e-11
2.516000e+02	1.345490e-11	1.296629e-11
2.581000e+02	1.937136e-11	1.296629e-11
2.645000e+02	-1.067732e-11	1.296629e-11
2.710000e+02	-8.872155e-12	1.296629e-11
2.774000e+02	-8.752931e-12	1.296629e-11
2.839000e+02	-9.068570e-12	1.296629e-11
2.903000e+02	-8.641146e-12	1.296629e-11
2.968000e+02	-8.602785e-12	1.296629e-11
3.032000e+02	-7.711861e-12	1.296629e-11
3.097000e+02	2.403910e-11	1.296629e-11
3.161000e+02	9.650324e-12	1.296629e-11
3.226000e+02	-7.288815e-12	1.296629e-11
3.290000e+02	-1.466991e-12	1.296629e-11
3.355000e+02	-8.343630e-12	1.296629e-11
3.419000e+02	-7.691006e-12	1.296629e-11
3.484000e+02	1.667216e-11	1.296629e-11
3.548000e+02	-8.383121e-12	1.296629e-11
