Sum of corrected signals for P950-Hf10x4 1
Time(s)	SumCorrected(Torr)	Std(Torr)
0.000000e+00	-1.436089e-09	4.714743e-10
6.500000e+00	8.687292e-10	4.714743e-10
1.290000e+01	-2.431438e-10	4.714743e-10
1.940000e+01	-1.574423e-10	4.714743e-10
2.580000e+01	1.618754e-10	4.714743e-10
3.230000e+01	2.320985e-10	4.714743e-10
3.870000e+01	-9.268931e-10	4.714743e-10
4.520000e+01	-3.994252e-10	4.714743e-10
5.160000e+01	-4.454359e-10	4.714743e-10
5.810000e+01	2.964091e-09	4.714743e-10
6.450000e+01	7.899205e-09	4.714743e-10
7.100000e+01	7.356694e-09	4.714743e-10
7.740000e+01	7.357633e-09	4.714743e-10
8.390000e+01	7.355654e-09	4.714743e-10
9.030000e+01	8.290600e-09	4.714743e-10
9.680000e+01	7.298911e-09	4.714743e-10
1.032000e+02	6.888731e-09	4.714743e-10
1.097000e+02	8.618015e-09	4.714743e-10
1.161000e+02	7.674089e-09	4.714743e-10
1.226000e+02	7.589477e-09	4.714743e-10
1.291000e+02	7.441021e-09	4.714743e-10
1.355000e+02	6.736172e-09	4.714743e-10
1.420000e+02	7.244465e-09	4.714743e-10
1.484000e+02	6.295612e-09	4.714743e-10
1.549000e+02	5.800704e-09	4.714743e-10
1.613000e+02	6.711445e-09	4.714743e-10
1.678000e+02	5.596791e-09	4.714743e-10
1.742000e+02	6.172087e-09	4.714743e-10
1.807000e+02	6.277396e-09	4.714743e-10
1.871000e+02	6.235277e-09	4.714743e-10
1.936000e+02	5.109117e-09	4.714743e-10
2.000000e+02	5.213259e-09	4.714743e-10
2.065000e+02	5.032222e-09	4.714743e-10
2.129000e+02	5.134757e-09	4.714743e-10
2.194000e+02	6.486372e-09	4.714743e-10
2.258000e+02	5.760141e-09	4.714743e-10
2.323000e+02	6.120000e-09	4.714743e-10
2.387000e+02	4.931173e-09	4.714743e-10
2.452000e+02	5.086511e-09	4.714743e-10
2.516000e+02	5.160879e-09	4.714743e-10
2.581000e+02	4.372811e-09	4.714743e-10
2.645000e+02	5.167847e-09	4.714743e-10
2.710000e+02	4.732489e-09	4.714743e-10
2.774000e+02	4.442068e-09	4.714743e-10
2.839000e+02	3.959389e-09	4.714743e-10
2.903000e+02	4.653132e-09	4.714743e-10
2.968000e+02	4.366077e-09	4.714743e-10
3.032000e+02	2.462047e-09	4.714743e-10
3.097000e+02	9.354563e-10	4.714743e-10
3.161000e+02	1.524271e-10	4.714743e-10
3.226000e+02	1.699549e-10	4.714743e-10
3.290000e+02	-4.623629e-10	4.714743e-10
3.355000e+02	4.491295e-10	4.714743e-10
3.419000e+02	1.541976e-10	4.714743e-10
3.484000e+02	-7.618809e-11	4.714743e-10
3.548000e+02	-8.873258e-10	4.714743e-10
