Averaged ion signal for P950-Hf10x4, m/z=164
Time (s)	Mean Ion Signal (Torr)	Std (Torr)
0.000000e+00	8.728884e-12	7.790826e-12
6.500000e+00	-1.202349e-11	2.414845e-12
1.290000e+01	9.124138e-12	4.219923e-12
1.940000e+01	6.076611e-12	8.406907e-12
2.580000e+01	-1.648458e-12	1.344787e-11
3.230000e+01	-7.616985e-12	1.279066e-11
3.870000e+01	6.842646e-12	3.088231e-14
4.520000e+01	3.271118e-12	4.028713e-12
5.160000e+01	4.325993e-13	1.741209e-11
5.810000e+01	6.019372e-12	4.156161e-13
6.450000e+01	-7.292197e-12	1.200466e-11
7.100000e+01	7.829626e-12	3.920481e-12
7.740000e+01	-7.310431e-13	2.114604e-11
8.390000e+01	9.851880e-12	6.116578e-12
9.030000e+01	5.661271e-13	4.096027e-12
9.680000e+01	-9.133517e-12	1.535697e-11
1.032000e+02	3.603881e-12	3.463430e-12
1.097000e+02	-9.648363e-12	8.518522e-12
1.161000e+02	3.964635e-12	4.098833e-12
1.226000e+02	-2.302159e-12	1.571767e-11
1.291000e+02	-3.272236e-12	1.458839e-11
1.355000e+02	5.116895e-12	2.403324e-14
1.420000e+02	4.598868e-12	6.427364e-12
1.484000e+02	1.780149e-12	8.749361e-13
1.549000e+02	-4.901229e-12	1.485808e-11
1.613000e+02	-1.739967e-11	1.022991e-11
1.678000e+02	-5.212625e-12	1.098783e-11
1.742000e+02	-9.810944e-12	8.989858e-12
1.807000e+02	-1.144842e-11	6.405977e-12
1.871000e+02	-3.741590e-12	5.869855e-12
1.936000e+02	-6.318617e-12	2.497524e-12
2.000000e+02	1.532164e-12	5.605452e-12
2.065000e+02	-1.640761e-11	3.671284e-13
2.129000e+02	9.089175e-13	1.673995e-11
2.194000e+02	9.469890e-12	1.694719e-12
2.258000e+02	-8.746479e-12	1.520050e-11
2.323000e+02	1.128514e-11	4.109184e-12
2.387000e+02	-6.017325e-12	9.228994e-12
2.452000e+02	6.983979e-13	1.503087e-12
2.516000e+02	-1.787877e-11	5.959109e-12
2.581000e+02	6.386652e-12	4.654990e-12
2.645000e+02	-4.528067e-12	6.054382e-13
2.710000e+02	-5.976095e-12	4.754893e-12
2.774000e+02	4.554186e-12	1.759535e-12
2.839000e+02	5.770659e-12	3.725704e-12
2.903000e+02	-9.830933e-13	5.582901e-12
2.968000e+02	-1.258014e-11	1.508525e-11
3.032000e+02	5.931604e-13	1.031960e-13
3.097000e+02	2.213167e-12	1.067410e-11
3.161000e+02	-6.316936e-12	2.133106e-11
3.226000e+02	-1.003098e-11	6.849396e-12
3.290000e+02	-7.842982e-12	1.299304e-11
3.355000e+02	1.293674e-12	2.539071e-13
3.419000e+02	1.004922e-12	1.491513e-12
3.484000e+02	4.789928e-12	1.010181e-11
3.548000e+02	-1.850882e-11	2.929415e-12
