Time	Averaged_Intensity	Std_Deviation
0.000000e+00	-1.640430e-09	2.889818e-10
6.500000e+00	5.931811e-10	3.896839e-10
1.290000e+01	-4.326327e-10	2.679778e-10
1.940000e+01	-4.132841e-10	3.618149e-10
2.580000e+01	3.400749e-10	2.520121e-10
3.230000e+01	2.185371e-10	1.917872e-11
3.870000e+01	-3.319677e-10	8.413516e-10
4.520000e+01	-6.091340e-10	2.965731e-10
5.160000e+01	-1.482386e-10	4.203005e-10
5.810000e+01	2.677215e-09	4.057032e-10
6.450000e+01	6.952928e-09	1.338238e-09
7.100000e+01	8.290869e-09	1.321123e-09
7.740000e+01	7.830757e-09	6.690991e-10
8.390000e+01	7.577744e-09	3.140834e-10
9.030000e+01	8.165889e-09	1.763673e-10
9.680000e+01	7.747855e-09	6.349020e-10
1.032000e+02	7.562712e-09	9.531531e-10
1.097000e+02	7.588070e-09	1.456561e-09
1.161000e+02	7.288571e-09	5.452048e-10
1.226000e+02	7.369101e-09	3.116587e-10
1.291000e+02	7.159980e-09	3.974527e-10
1.355000e+02	6.658448e-09	1.099176e-10
1.420000e+02	6.885270e-09	5.079784e-10
1.484000e+02	6.400611e-09	1.484903e-10
1.549000e+02	5.758889e-09	5.913534e-11
1.613000e+02	6.737019e-09	3.616710e-11
1.678000e+02	5.685350e-09	1.252413e-10
1.742000e+02	5.899566e-09	3.854036e-10
1.807000e+02	6.404232e-09	1.793732e-10
1.871000e+02	6.129020e-09	1.502694e-10
1.936000e+02	5.706486e-09	8.448080e-10
2.000000e+02	5.696216e-09	6.830043e-10
2.065000e+02	5.306808e-09	3.883240e-10
2.129000e+02	5.276106e-09	1.998977e-10
2.194000e+02	5.627896e-09	1.214068e-09
2.258000e+02	5.531068e-09	3.239589e-10
2.323000e+02	6.125361e-09	7.580892e-12
2.387000e+02	5.777867e-09	1.197405e-09
2.452000e+02	5.430889e-09	4.870240e-10
2.516000e+02	5.100406e-09	8.552174e-11
2.581000e+02	4.858674e-09	6.871140e-10
2.645000e+02	5.161679e-09	8.722869e-12
2.710000e+02	4.474840e-09	3.643707e-10
2.774000e+02	5.498133e-09	1.493501e-09
2.839000e+02	4.569955e-09	8.634707e-10
2.903000e+02	4.741680e-09	1.252258e-10
2.968000e+02	5.080524e-09	1.010381e-09
3.032000e+02	1.640202e-09	1.162265e-09
3.097000e+02	5.433462e-10	5.545274e-10
3.161000e+02	6.384011e-10	6.872710e-10
3.226000e+02	-2.937006e-10	6.557079e-10
3.290000e+02	-1.607045e-10	4.266094e-10
3.355000e+02	4.777975e-10	4.054275e-11
3.419000e+02	-1.115265e-10	3.757906e-10
3.484000e+02	-1.794750e-10	1.460698e-10
3.548000e+02	-9.183884e-10	4.392915e-11
