# TEY data for sample P950-Hf15x1 1
# time(s)	normalized_TEY
0.000000e+00	1.851229e-06
1.082350e-01	1.921846e-06
2.164820e-01	1.876286e-06
3.267050e-01	1.862618e-06
4.350230e-01	1.853507e-06
5.432820e-01	1.869453e-06
6.515160e-01	1.868693e-06
7.597560e-01	1.823894e-06
8.679910e-01	1.848950e-06
9.752230e-01	1.856545e-06
1.082995e+00	1.811744e-06
1.191297e+00	1.886158e-06
1.299542e+00	1.818577e-06
1.407771e+00	1.893751e-06
1.517395e+00	1.860341e-06
1.625643e+00	1.860341e-06
1.733056e+00	1.839080e-06
1.840407e+00	1.871731e-06
1.950242e+00	1.857303e-06
2.058571e+00	1.886918e-06
2.166044e+00	1.852748e-06
2.276483e+00	1.855025e-06
2.386968e+00	1.895270e-06
2.494026e+00	1.848950e-06
2.605865e+00	1.871731e-06
2.714813e+00	1.851229e-06
2.821548e+00	1.853507e-06
2.928570e+00	1.858063e-06
3.036208e+00	1.881602e-06
3.146507e+00	1.883880e-06
3.254684e+00	1.830727e-06
3.360761e+00	1.869453e-06
3.470062e+00	1.844395e-06
3.578769e+00	1.854267e-06
3.684704e+00	1.861100e-06
3.793479e+00	1.818577e-06
3.900680e+00	1.849710e-06
4.007854e+00	1.861100e-06
4.115657e+00	1.841357e-06
4.225909e+00	1.870212e-06
4.332660e+00	1.854267e-06
4.440265e+00	1.869453e-06
4.548158e+00	1.839839e-06
4.657420e+00	1.860341e-06
4.767877e+00	1.839839e-06
4.878911e+00	1.866415e-06
4.986470e+00	1.855025e-06
5.093848e+00	1.836802e-06
5.201716e+00	1.854267e-06
5.313189e+00	1.867935e-06
5.422654e+00	1.854267e-06
5.530273e+00	1.858063e-06
5.638982e+00	1.853507e-06
5.745242e+00	1.875528e-06
5.853533e+00	1.872490e-06
5.961677e+00	1.899066e-06
6.071272e+00	1.837561e-06
6.183160e+00	1.858822e-06
6.311155e+00	1.886918e-06
6.420289e+00	1.884640e-06
6.528989e+00	1.853507e-06
6.635980e+00	1.819337e-06
6.742684e+00	1.902863e-06
6.850442e+00	1.825412e-06
6.957654e+00	1.861860e-06
7.065897e+00	1.833764e-06
7.171952e+00	1.830727e-06
7.278420e+00	1.878565e-06
7.387838e+00	1.829209e-06
7.496730e+00	1.858063e-06
7.604138e+00	1.875528e-06
7.711309e+00	1.845914e-06
7.819752e+00	1.865656e-06
7.930398e+00	1.867175e-06
8.039716e+00	1.886918e-06
8.146547e+00	1.870971e-06
8.253590e+00	1.861100e-06
8.360910e+00	1.904381e-06
8.469774e+00	1.857303e-06
8.577507e+00	1.829967e-06
8.686022e+00	1.841357e-06
8.793956e+00	1.861860e-06
8.902070e+00	1.856545e-06
9.009599e+00	1.835283e-06
9.118368e+00	1.864138e-06
9.225519e+00	1.858822e-06
9.333730e+00	1.869453e-06
9.442437e+00	1.870971e-06
9.550325e+00	1.881602e-06
9.656945e+00	1.867175e-06
9.765331e+00	1.854267e-06
9.873582e+00	1.874768e-06
9.979922e+00	1.857303e-06
1.008786e+01	1.852748e-06
1.019660e+01	1.850470e-06
1.030434e+01	1.848192e-06
1.041080e+01	1.874768e-06
1.051994e+01	1.888436e-06
1.062701e+01	1.854267e-06
1.073487e+01	1.843635e-06
1.084276e+01	1.870971e-06
1.095034e+01	1.888436e-06
1.105816e+01	1.843635e-06
1.116639e+01	1.814781e-06
1.127743e+01	1.874008e-06
1.138571e+01	1.858822e-06
1.149476e+01	1.881602e-06
1.160268e+01	1.861100e-06
1.171135e+01	1.872490e-06
1.181776e+01	1.842877e-06
1.192598e+01	1.825412e-06
1.203524e+01	1.847432e-06
1.214449e+01	1.855025e-06
1.225179e+01	1.848192e-06
1.236343e+01	1.855785e-06
1.247035e+01	1.857303e-06
1.257733e+01	1.862618e-06
1.268869e+01	1.842117e-06
1.279740e+01	1.880083e-06
1.290595e+01	1.852748e-06
1.301482e+01	1.848192e-06
1.312240e+01	1.857303e-06
1.323103e+01	1.861100e-06
1.334018e+01	1.823134e-06
1.344744e+01	1.893751e-06
1.355666e+01	1.878565e-06
1.366563e+01	1.878565e-06
1.377261e+01	1.880843e-06
1.388056e+01	1.858822e-06
1.399068e+01	1.881602e-06
1.410036e+01	1.841357e-06
1.420760e+01	1.843635e-06
1.431898e+01	1.863378e-06
1.442873e+01	1.897548e-06
1.453740e+01	1.874008e-06
1.464530e+01	1.840599e-06
1.475314e+01	1.848950e-06
1.486128e+01	1.861100e-06
1.496874e+01	1.878565e-06
1.507729e+01	1.854267e-06
1.518596e+01	1.847432e-06
1.529639e+01	1.834524e-06
1.540400e+01	1.880083e-06
1.551280e+01	1.875528e-06
1.562039e+01	1.855785e-06
1.572897e+01	1.868693e-06
1.583753e+01	1.806429e-06
1.594590e+01	1.845154e-06
1.605434e+01	1.855785e-06
1.616416e+01	1.856545e-06
1.627233e+01	1.826930e-06
1.637954e+01	1.886158e-06
1.648917e+01	1.874008e-06
1.659688e+01	1.856545e-06
1.670459e+01	1.881602e-06
1.681249e+01	1.844395e-06
1.692411e+01	1.905141e-06
1.703107e+01	1.872490e-06
1.713921e+01	1.848950e-06
1.724813e+01	1.840599e-06
1.735670e+01	1.831487e-06
1.746458e+01	1.821615e-06
1.757497e+01	1.879325e-06
1.768282e+01	1.846673e-06
1.778981e+01	1.832245e-06
1.789821e+01	1.889955e-06
1.800657e+01	1.875528e-06
1.811582e+01	1.849710e-06
1.822521e+01	1.867175e-06
1.833437e+01	1.857303e-06
1.847113e+01	1.874768e-06
1.858135e+01	1.836802e-06
1.869126e+01	1.821615e-06
1.879947e+01	1.874008e-06
1.890685e+01	1.877046e-06
1.901397e+01	1.871731e-06
1.912462e+01	1.846673e-06
1.923395e+01	1.853507e-06
1.934281e+01	1.868693e-06
1.945168e+01	1.845914e-06
1.956382e+01	1.908938e-06
1.967188e+01	1.886158e-06
1.978128e+01	1.854267e-06
1.989068e+01	1.899066e-06
1.999807e+01	1.858822e-06
2.010735e+01	1.880083e-06
2.021683e+01	1.878565e-06
2.032700e+01	1.851229e-06
2.043525e+01	1.870212e-06
2.054525e+01	1.864138e-06
2.065388e+01	1.877046e-06
2.076111e+01	1.879325e-06
2.086845e+01	1.845914e-06
2.097788e+01	1.846673e-06
2.108616e+01	1.832245e-06
2.119405e+01	1.818577e-06
2.130291e+01	1.848192e-06
2.141023e+01	1.842877e-06
2.151679e+01	1.802632e-06
2.162656e+01	1.849710e-06
2.173504e+01	1.836042e-06
2.184224e+01	1.867175e-06
2.195047e+01	1.817819e-06
2.205804e+01	1.857303e-06
2.216628e+01	1.848950e-06
2.227545e+01	1.855785e-06
2.238455e+01	1.883880e-06
2.249329e+01	1.820856e-06
2.260200e+01	1.849710e-06
2.271161e+01	1.842117e-06
2.282184e+01	1.851229e-06
2.293406e+01	1.863378e-06
2.304228e+01	1.854267e-06
2.315082e+01	1.851988e-06
2.326187e+01	1.848192e-06
2.337099e+01	1.834524e-06
2.348313e+01	1.840599e-06
2.359139e+01	1.851988e-06
2.369811e+01	1.870212e-06
2.380568e+01	1.829967e-06
2.391485e+01	1.844395e-06
2.402216e+01	1.870971e-06
2.413295e+01	1.855785e-06
2.424179e+01	1.836802e-06
2.434973e+01	1.851988e-06
2.445876e+01	1.848192e-06
2.456910e+01	1.880083e-06
2.467842e+01	1.857303e-06
2.479037e+01	1.837561e-06
2.489807e+01	1.880843e-06
2.500534e+01	1.881602e-06
2.511255e+01	1.853507e-06
