Outgassing data P950-Hf15x1 2
Mass number	Avg Values (Torr)	Std Values (Torr)
1	2.725659e-10	9.905613e-11
2	1.465765e-09	3.076525e-10
3	-1.451009e-12	4.816319e-12
4	1.129609e-11	1.103973e-11
5	-3.765606e-12	5.665879e-12
6	-4.200819e-12	1.039954e-11
7	-9.837434e-13	1.072947e-11
8	-5.766009e-12	1.238322e-11
9	7.172412e-12	9.576994e-12
10	6.203868e-13	1.094934e-11
11	-3.356631e-12	1.217418e-11
12	1.424936e-10	1.229601e-11
13	5.738931e-11	3.667957e-12
14	1.198924e-10	1.211592e-11
15	5.417756e-10	2.367174e-11
16	4.595453e-10	4.133282e-11
17	1.184628e-10	1.012935e-10
18	1.676760e-10	2.063643e-10
19	9.522523e-13	3.175733e-12
20	5.620258e-13	5.074601e-12
21	4.274898e-12	8.847592e-12
22	5.049109e-12	8.215647e-12
23	-3.029986e-12	6.104146e-12
24	7.612980e-12	4.950670e-12
25	4.075871e-12	3.669531e-12
26	3.152015e-11	1.204341e-11
27	5.075860e-11	1.037490e-11
28	1.238821e-09	6.177767e-11
29	5.932608e-10	1.271780e-11
30	2.272534e-10	6.522665e-12
31	4.604276e-10	7.401655e-12
32	3.285143e-10	3.837567e-11
33	1.362118e-12	6.614415e-12
34	8.309017e-12	7.422779e-12
35	-1.257832e-11	7.440306e-12
36	8.496248e-12	6.937781e-12
37	-3.230389e-12	5.537330e-12
38	1.149656e-11	2.894438e-12
39	4.785628e-11	1.003196e-11
40	2.133257e-11	4.535124e-12
41	8.502667e-11	1.442609e-11
42	2.474316e-11	3.832912e-12
43	4.686259e-11	8.721810e-12
44	8.429039e-10	2.505794e-11
45	2.793363e-11	5.877652e-12
46	5.825169e-12	2.469958e-12
47	9.542406e-13	7.032211e-12
48	4.775824e-12	7.348404e-12
49	1.250329e-12	5.079621e-12
50	6.443890e-12	4.104525e-12
51	-5.894799e-13	7.127065e-12
52	-1.411572e-12	6.951105e-12
53	3.792242e-12	5.097980e-12
54	5.124368e-12	4.573587e-12
55	1.188795e-11	9.411547e-12
56	1.336127e-11	5.352113e-12
57	1.138602e-11	7.290083e-12
58	3.176553e-12	3.408986e-12
59	1.068627e-11	9.280237e-12
60	6.579735e-11	1.015452e-11
61	-1.720346e-12	4.202985e-12
62	-6.803212e-12	5.974381e-12
63	2.634374e-12	5.650809e-12
64	2.366807e-12	5.362804e-12
65	7.273481e-13	4.788833e-12
66	1.546038e-12	4.259837e-12
67	-1.628795e-12	6.352611e-12
68	5.064950e-12	1.779088e-12
69	2.362614e-11	2.156246e-12
70	1.973466e-12	7.053066e-12
71	5.276175e-12	3.554172e-12
72	2.452366e-12	4.441247e-12
73	2.283069e-12	6.167070e-12
74	2.333542e-12	4.795582e-12
75	7.733682e-13	9.664646e-12
76	6.035400e-12	6.182313e-12
77	-3.344369e-12	4.586402e-12
78	-9.743711e-12	9.424134e-12
79	5.924246e-12	9.677228e-12
80	-1.350639e-12	4.529541e-12
81	1.133399e-11	7.513043e-12
82	-1.039083e-12	8.955019e-12
83	1.348998e-11	5.528890e-12
84	1.232169e-12	6.800453e-12
