Averaged TEY data for P950-Hf15x1
Time(s)	MeanTEY	Std
0.000000e+00	1.833316e-06	1.791208e-08
1.082350e-01	1.878104e-06	4.374182e-08
2.164820e-01	1.855703e-06	2.058329e-08
3.267050e-01	1.845078e-06	1.754084e-08
4.350230e-01	1.862513e-06	9.006255e-09
5.432820e-01	1.864041e-06	5.412446e-09
6.515160e-01	1.857594e-06	1.109931e-08
7.597560e-01	1.842398e-06	1.850486e-08
8.679910e-01	1.850377e-06	1.426715e-09
9.752230e-01	1.868582e-06	1.203762e-08
1.082995e+00	1.845044e-06	3.330044e-08
1.191297e+00	1.869739e-06	1.641888e-08
1.299542e+00	1.834053e-06	1.547560e-08
1.407771e+00	1.880739e-06	1.301174e-08
1.517395e+00	1.853797e-06	6.543986e-09
1.625643e+00	1.865930e-06	5.588944e-09
1.733056e+00	1.848475e-06	9.395229e-09
1.840407e+00	1.871246e-06	4.847905e-10
1.950242e+00	1.857208e-06	9.581617e-11
2.058571e+00	1.898935e-06	1.201745e-08
2.166044e+00	1.858722e-06	5.973380e-09
2.276483e+00	1.845452e-06	9.573247e-09
2.386968e+00	1.867849e-06	2.742027e-08
2.494026e+00	1.853410e-06	4.460094e-09
2.605865e+00	1.862905e-06	8.826143e-09
2.714813e+00	1.846587e-06	4.641557e-09
2.821548e+00	1.836730e-06	1.677659e-08
2.928570e+00	1.854933e-06	3.129700e-09
3.036208e+00	1.866323e-06	1.527826e-08
3.146507e+00	1.860259e-06	2.362113e-08
3.254684e+00	1.846573e-06	1.584634e-08
3.360761e+00	1.854562e-06	1.489139e-08
3.470062e+00	1.840516e-06	3.878821e-09
3.578769e+00	1.853793e-06	4.731925e-10
3.684704e+00	1.849627e-06	1.147307e-08
3.793479e+00	1.833295e-06	1.471741e-08
3.900680e+00	1.857203e-06	7.492381e-09
4.007854e+00	1.849248e-06	1.185246e-08
4.115657e+00	1.832551e-06	8.805972e-09
4.225909e+00	1.865558e-06	4.654164e-09
4.332660e+00	1.841281e-06	1.298552e-08
4.440265e+00	1.865178e-06	4.274855e-09
4.548158e+00	1.828759e-06	1.107956e-08
4.657420e+00	1.856073e-06	4.268804e-09
4.767877e+00	1.856438e-06	1.659908e-08
4.878911e+00	1.857592e-06	8.822613e-09
4.986470e+00	1.839006e-06	1.601881e-08
5.093848e+00	1.850748e-06	1.394652e-08
5.201716e+00	1.843177e-06	1.108973e-08
5.313189e+00	1.875036e-06	7.100885e-09
5.422654e+00	1.854931e-06	6.643984e-10
5.530273e+00	1.856829e-06	1.233912e-09
5.638982e+00	1.853034e-06	4.726879e-10
5.745242e+00	1.868974e-06	6.554071e-09
5.853533e+00	1.883001e-06	1.051063e-08
5.961677e+00	1.873918e-06	2.514820e-08
6.071272e+00	1.853782e-06	1.622120e-08
6.183160e+00	1.858725e-06	9.682452e-11
6.311155e+00	1.878460e-06	8.457423e-09
6.420289e+00	1.872013e-06	1.262629e-08
6.528989e+00	1.869717e-06	1.621061e-08
6.635980e+00	1.826092e-06	6.754353e-09
6.742684e+00	1.878471e-06	2.439193e-08
6.850442e+00	1.850361e-06	2.494942e-08
6.957654e+00	1.859865e-06	1.994631e-09
7.065897e+00	1.842026e-06	8.261757e-09
7.171952e+00	1.832545e-06	1.817621e-09
7.278420e+00	1.866322e-06	1.224287e-08
7.387838e+00	1.850364e-06	2.115532e-08
7.496730e+00	1.866687e-06	8.623837e-09
7.604138e+00	1.884898e-06	9.370436e-09
7.711309e+00	1.861750e-06	1.583625e-08
7.819752e+00	1.846597e-06	1.905984e-08
7.930398e+00	1.872760e-06	5.584994e-09
8.039716e+00	1.863294e-06	2.362373e-08
8.146547e+00	1.873900e-06	2.928487e-09
8.253590e+00	1.868964e-06	7.864210e-09
8.360910e+00	1.883780e-06	2.060136e-08
8.469774e+00	1.857966e-06	6.623817e-10
8.577507e+00	1.850743e-06	2.077601e-08
8.686022e+00	1.835585e-06	5.772593e-09
8.793956e+00	1.840907e-06	2.095311e-08
8.902070e+00	1.857966e-06	1.421083e-09
9.009599e+00	1.842785e-06	7.501962e-09
9.118368e+00	1.863279e-06	8.591410e-10
9.225519e+00	1.856450e-06	2.371418e-09
9.333730e+00	1.851908e-06	1.754538e-08
9.442437e+00	1.848875e-06	2.209616e-08
9.550325e+00	1.857982e-06	2.361961e-08
9.656945e+00	1.862902e-06	4.273342e-09
9.765331e+00	1.867443e-06	1.317672e-08
9.873582e+00	1.870111e-06	4.657189e-09
9.979922e+00	1.862137e-06	4.833352e-09
1.008786e+01	1.861755e-06	9.006759e-09
1.019660e+01	1.846208e-06	4.262249e-09
