Group Outgassing data P950-Hf15x1
Mass number	Avg Values (Torr)	Std Values (Torr)
1	2.347161e-10	3.784978e-11
2	1.487170e-09	2.140550e-11
3	6.635019e-13	6.635019e-13
4	5.648045e-12	5.648045e-12
5	0.000000e+00	0.000000e+00
6	4.888378e-12	4.888378e-12
7	0.000000e+00	0.000000e+00
8	8.247833e-13	8.247833e-13
9	3.586206e-12	3.586206e-12
10	3.101934e-13	3.101934e-13
11	0.000000e+00	0.000000e+00
12	1.315261e-10	1.096744e-11
13	5.965798e-11	2.268672e-12
14	1.238383e-10	3.945950e-12
15	5.452641e-10	3.488526e-12
16	4.670103e-10	7.464963e-12
17	1.423739e-10	2.391111e-11
18	2.107459e-10	4.306987e-11
19	1.086583e-12	1.343305e-13
20	2.133896e-12	1.571870e-12
21	2.383692e-12	1.891206e-12
22	2.524555e-12	2.524555e-12
23	0.000000e+00	0.000000e+00
24	3.806490e-12	3.806490e-12
25	2.037936e-12	2.037936e-12
26	2.327305e-11	8.247105e-12
27	4.859904e-11	2.159560e-12
28	1.262754e-09	2.393339e-11
29	5.942613e-10	1.000477e-12
30	2.196764e-10	7.577035e-12
31	4.589729e-10	1.454747e-12
32	2.941918e-10	3.432248e-11
33	1.981240e-12	6.191227e-13
34	4.624312e-12	3.684705e-12
35	0.000000e+00	0.000000e+00
36	4.248124e-12	4.248124e-12
37	1.377367e-12	1.377367e-12
38	9.407290e-12	2.089274e-12
39	4.353704e-11	4.319235e-12
40	2.483387e-11	3.501296e-12
41	8.736029e-11	2.333618e-12
42	2.039880e-11	4.344360e-12
43	5.400126e-11	7.138670e-12
44	8.180950e-10	2.480892e-11
45	3.060303e-11	2.669403e-12
46	7.048215e-12	1.223046e-12
47	4.771203e-13	4.771203e-13
48	3.205663e-12	1.570161e-12
49	1.022490e-12	2.278396e-13
50	5.149317e-12	1.294573e-12
51	2.547494e-12	2.547494e-12
52	0.000000e+00	0.000000e+00
53	1.896121e-12	1.896121e-12
54	2.562184e-12	2.562184e-12
55	1.296484e-11	1.076892e-12
56	1.241735e-11	9.439136e-13
57	8.433533e-12	2.952489e-12
58	2.274247e-12	9.023057e-13
59	1.078820e-11	1.019292e-13
60	6.299562e-11	2.801729e-12
61	0.000000e+00	0.000000e+00
62	0.000000e+00	0.000000e+00
63	1.317187e-12	1.317187e-12
64	2.740501e-12	3.736935e-13
65	3.636740e-13	3.636740e-13
66	7.730189e-13	7.730189e-13
67	0.000000e+00	0.000000e+00
68	2.532475e-12	2.532475e-12
69	2.338112e-11	2.450239e-13
70	3.145121e-12	1.171655e-12
71	4.024408e-12	1.251767e-12
72	1.226183e-12	1.226183e-12
73	5.392189e-12	3.109121e-12
74	6.180396e-12	3.846853e-12
75	3.866841e-13	3.866841e-13
76	5.821208e-12	2.141915e-13
77	4.704405e-12	4.704405e-12
78	6.611158e-12	6.611158e-12
79	2.962123e-12	2.962123e-12
80	1.346711e-12	1.346711e-12
81	8.821274e-12	2.512717e-12
82	3.417411e-12	3.417411e-12
83	1.087520e-11	2.614781e-12
84	2.147667e-12	9.154981e-13
85	0.000000e+00	0.000000e+00
