# TEY data for sample P950-InO2 1
# time(s)	normalized_TEY
0.000000e+00	2.007270e-06
1.201720e-01	1.801142e-06
2.284280e-01	1.878726e-06
3.376630e-01	1.928926e-06
4.448880e-01	1.776802e-06
5.521220e-01	1.866555e-06
6.613490e-01	1.942617e-06
7.696280e-01	1.775281e-06
8.778560e-01	1.985972e-06
9.856070e-01	1.848300e-06
1.094836e+00	1.830807e-06
1.201106e+00	1.921320e-06
1.309332e+00	1.849061e-06
1.417562e+00	1.842216e-06
1.526023e+00	1.894698e-06
1.636004e+00	1.795818e-06
1.744120e+00	1.866555e-06
1.853153e+00	1.884050e-06
1.963452e+00	1.874162e-06
2.073745e+00	1.912193e-06
2.181451e+00	1.791253e-06
2.287840e+00	1.884050e-06
2.397083e+00	1.853625e-06
2.504421e+00	1.896980e-06
2.616742e+00	1.858188e-06
2.724933e+00	1.856667e-06
2.832563e+00	1.843737e-06
2.940949e+00	1.918278e-06
3.049095e+00	1.793536e-06
3.156381e+00	1.854385e-06
3.268105e+00	1.887853e-06
3.377229e+00	1.774520e-06
3.483908e+00	1.960872e-06
3.593406e+00	1.798100e-06
3.701632e+00	1.823200e-06
3.809525e+00	1.914475e-06
3.919345e+00	1.799621e-06
4.027796e+00	1.818636e-06
4.136675e+00	1.942617e-06
4.245612e+00	1.722038e-06
4.357828e+00	1.916757e-06
4.464507e+00	1.849061e-06
4.571622e+00	1.748660e-06
4.679981e+00	1.910672e-06
4.786976e+00	1.877204e-06
4.895768e+00	1.765393e-06
5.003715e+00	1.958591e-06
5.116515e+00	1.817115e-06
5.225773e+00	1.827003e-06
5.335011e+00	1.947181e-06
5.442307e+00	1.748660e-06
5.550985e+00	1.909151e-06
5.659167e+00	1.874923e-06
5.767425e+00	1.798860e-06
5.876136e+00	1.881768e-06
5.982269e+00	1.845258e-06
6.091756e+00	1.773760e-06
6.198653e+00	1.912193e-06
6.310114e+00	1.804185e-06
6.415771e+00	1.830807e-06
6.525645e+00	1.865794e-06
6.635376e+00	1.801142e-06
6.742603e+00	1.855146e-06
6.851400e+00	1.836131e-06
6.960660e+00	1.770717e-06
7.070226e+00	1.862752e-06
7.177415e+00	1.843737e-06
7.285578e+00	1.793536e-06
7.393958e+00	1.875683e-06
7.500326e+00	1.796579e-06
7.609165e+00	1.855907e-06
7.716652e+00	1.833088e-06
7.825016e+00	1.851343e-06
7.934609e+00	1.861231e-06
8.044468e+00	1.817875e-06
8.152382e+00	1.832328e-06
8.259865e+00	1.849822e-06
8.367251e+00	1.850582e-06
8.475923e+00	1.852864e-06
8.584050e+00	1.868838e-06
8.693497e+00	1.827763e-06
8.801233e+00	1.879486e-06
8.909344e+00	1.811791e-06
9.016107e+00	1.855907e-06
9.125374e+00	1.902304e-06
9.235080e+00	1.823960e-06
9.343827e+00	1.822439e-06
9.451998e+00	1.889374e-06
9.561908e+00	1.761590e-06
9.671580e+00	1.905347e-06
9.779279e+00	1.826242e-06
9.887030e+00	1.838413e-06
9.995473e+00	1.903825e-06
1.010355e+01	1.835370e-06
1.021096e+01	1.814833e-06
1.031929e+01	1.927405e-06
1.042701e+01	1.839934e-06
1.053735e+01	1.864273e-06
1.064435e+01	1.914475e-06
1.075372e+01	1.774520e-06
1.086216e+01	1.873401e-06
1.097238e+01	1.881007e-06
1.108113e+01	1.807227e-06
1.118738e+01	1.903825e-06
1.129700e+01	1.824721e-06
1.140543e+01	1.798860e-06
1.151436e+01	1.919038e-06
1.162245e+01	1.790494e-06
1.173057e+01	1.871880e-06
1.184199e+01	1.914475e-06
1.194980e+01	1.812551e-06
1.205795e+01	1.881007e-06
1.216661e+01	1.860470e-06
1.227375e+01	1.861231e-06
1.238156e+01	1.903825e-06
1.248851e+01	1.821678e-06
1.259575e+01	1.815594e-06
1.270527e+01	1.922841e-06
1.281421e+01	1.822439e-06
1.292175e+01	1.886332e-06
1.302971e+01	1.850582e-06
1.313920e+01	1.824721e-06
1.324745e+01	1.849822e-06
1.335586e+01	1.871880e-06
1.346296e+01	1.826242e-06
1.357150e+01	1.874162e-06
1.367919e+01	1.813312e-06
1.378793e+01	1.866555e-06
1.389599e+01	1.851343e-06
1.400406e+01	1.823200e-06
1.411233e+01	1.860470e-06
1.421929e+01	1.832328e-06
1.432753e+01	1.816354e-06
1.443444e+01	1.874162e-06
1.454481e+01	1.836131e-06
1.465308e+01	1.823200e-06
1.476108e+01	1.884050e-06
1.486791e+01	1.829284e-06
1.497714e+01	1.880247e-06
1.508497e+01	1.855146e-06
1.519146e+01	1.854385e-06
1.530058e+01	1.861991e-06
1.540978e+01	1.851343e-06
1.551557e+01	1.823200e-06
1.562387e+01	1.906107e-06
1.573170e+01	1.792015e-06
1.583938e+01	1.900783e-06
1.594634e+01	1.829284e-06
1.605440e+01	1.818636e-06
1.616374e+01	1.880247e-06
1.627209e+01	1.881007e-06
1.638037e+01	1.817875e-06
1.648689e+01	1.885571e-06
1.659338e+01	1.811791e-06
1.670246e+01	1.794297e-06
1.681186e+01	1.895459e-06
1.692020e+01	1.813312e-06
1.702836e+01	1.830807e-06
1.713568e+01	1.867317e-06
1.724343e+01	1.795818e-06
1.735314e+01	1.867317e-06
1.745995e+01	1.881007e-06
1.756669e+01	1.834610e-06
1.767396e+01	1.865794e-06
1.778261e+01	1.779844e-06
1.789143e+01	1.842976e-06
1.800046e+01	1.872641e-06
1.810719e+01	1.805706e-06
1.821747e+01	1.818636e-06
1.832788e+01	1.846779e-06
1.843615e+01	1.833849e-06
1.854512e+01	1.872641e-06
1.865222e+01	1.835370e-06
1.876116e+01	1.790494e-06
1.886981e+01	1.888613e-06
1.897784e+01	1.825481e-06
1.908600e+01	1.801903e-06
1.919411e+01	1.877204e-06
1.930335e+01	1.823960e-06
1.941115e+01	1.839173e-06
1.951738e+01	1.847540e-06
1.962861e+01	1.776802e-06
1.973883e+01	1.857428e-06
