Outgassing data P950-InO2 1
Mass number	Avg Values (Torr)	Std Values (Torr)
1	2.434235e-10	1.120379e-10
2	1.739971e-09	2.759860e-10
3	1.183679e-12	4.198748e-12
4	-1.046599e-11	1.201135e-11
5	6.035225e-12	5.964834e-12
6	-1.990945e-12	1.252689e-11
7	1.528809e-12	7.302059e-12
8	1.676270e-12	1.200476e-11
9	-5.752603e-12	1.230443e-11
10	7.382349e-12	1.124002e-11
11	1.977122e-12	1.249635e-11
12	1.278858e-10	8.684830e-12
13	6.416464e-11	4.261140e-12
14	1.403503e-10	9.582045e-12
15	6.307583e-10	1.500880e-11
16	6.004213e-10	2.016165e-11
17	5.483025e-11	1.238944e-10
18	1.822417e-10	2.229005e-10
19	-3.634469e-13	3.104504e-12
20	9.509713e-12	4.691062e-12
21	6.890353e-12	1.787835e-12
22	9.178494e-12	7.474214e-12
23	-7.349422e-12	1.147292e-11
24	-8.398556e-12	7.587850e-12
25	5.551598e-12	5.561019e-12
26	2.688682e-11	1.289866e-11
27	3.717467e-11	1.237851e-11
28	1.354729e-09	7.735819e-11
29	5.854494e-10	1.076032e-11
30	1.974205e-10	5.118723e-12
31	4.379967e-10	8.265938e-12
32	2.201805e-10	3.860781e-11
33	1.890461e-12	8.521904e-12
34	-4.769793e-13	7.697748e-12
35	1.096372e-11	8.815989e-12
36	-6.320166e-12	6.809679e-12
37	8.083355e-12	5.041298e-12
38	1.042895e-11	4.261285e-12
39	5.750662e-11	1.093115e-11
40	1.514170e-11	8.370696e-12
41	7.510289e-11	1.049446e-11
42	1.185686e-11	1.126325e-11
43	3.866336e-11	1.193159e-11
44	8.510925e-10	3.485159e-11
45	2.737160e-11	3.641253e-12
46	9.532686e-12	2.532950e-12
47	2.637298e-12	8.802711e-12
48	4.842030e-12	4.430870e-12
49	4.130537e-12	3.513739e-12
50	5.284412e-12	3.633496e-12
51	3.747866e-12	3.374817e-12
52	-2.758279e-13	4.751286e-12
53	2.018099e-12	5.620987e-12
54	2.183279e-12	3.046128e-12
55	1.529964e-11	7.796682e-12
56	2.029806e-11	3.662647e-12
57	9.515971e-12	7.740566e-12
58	9.258042e-14	1.761209e-12
59	-2.111456e-12	2.969421e-12
60	7.236474e-11	8.375331e-12
61	-9.081953e-13	4.770739e-12
62	6.051153e-12	5.772842e-12
63	2.216906e-12	6.024981e-12
64	2.003417e-12	7.081032e-12
65	1.101590e-11	5.193954e-12
66	1.196772e-12	5.675465e-12
67	3.278172e-12	3.255093e-12
68	6.368494e-12	1.297017e-12
69	2.063804e-11	3.907075e-12
70	-1.144213e-12	6.759790e-12
71	1.411033e-12	4.181319e-12
72	-5.451386e-12	1.033978e-11
73	4.839481e-12	8.600738e-12
74	3.389894e-12	7.158022e-12
75	2.052240e-12	6.149934e-12
76	3.195993e-12	6.552599e-12
77	7.364878e-12	4.578532e-12
78	4.084600e-12	3.121669e-12
79	1.268954e-12	9.857113e-12
80	1.459299e-12	6.305922e-12
81	1.368294e-12	7.715463e-12
82	1.794050e-12	1.058910e-11
83	4.252241e-12	6.327395e-12
84	4.913513e-12	5.634821e-12
85	-2.969207e-12	1.032777e-11
86	4.218330e-13	9.123470e-12
87	-1.306888e-12	1.162045e-11
88	5.908945e-13	9.294174e-12
89	2.686637e-12	8.337841e-12
90	1.185530e-11	1.097143e-11
91	3.062628e-12	1.194752e-11
92	4.186593e-12	5.749447e-12
93	2.871329e-12	5.941060e-12
94	-1.776081e-12	5.300059e-12
95	6.376209e-12	7.733704e-12
96	2.945243e-12	4.948539e-12
97	-5.207914e-12	6.505053e-12
98	6.388483e-12	7.203960e-12
99	8.314867e-12	8.029947e-12
100	1.730000e-13	9.499344e-12
101	-9.492004e-12	9.867933e-12
102	9.275057e-12	8.247264e-12
103	1.205794e-11	6.196057e-12
104	6.322213e-12	6.338178e-12
105	4.287746e-12	1.181578e-11
106	1.060518e-11	6.665747e-12
107	-8.556461e-12	6.056892e-12
108	1.264780e-12	5.028410e-12
109	3.627789e-12	8.626466e-12
110	1.135324e-12	2.429568e-12
111	-4.863549e-12	4.365834e-12
112	-4.097779e-12	5.335906e-12
113	-3.263799e-12	4.413749e-12
114	-3.930960e-12	7.688057e-12
115	-4.022196e-12	1.297736e-11
116	-3.072342e-12	8.648650e-12
117	-4.333286e-12	1.386544e-11
118	-1.102154e-11	1.100790e-11
119	-4.160570e-12	1.158866e-11
120	3.485599e-12	1.222586e-11
121	7.881126e-12	9.273813e-12
122	5.529860e-12	1.093460e-11
123	-7.591381e-12	5.596012e-12
124	-1.182180e-12	1.192678e-11
125	4.401215e-12	1.049363e-11
126	-3.852336e-12	6.420751e-12
127	-4.111549e-12	6.855439e-12
128	-8.142348e-12	8.297459e-12
129	-3.513975e-12	1.108156e-11
130	5.512263e-12	1.120892e-11
131	3.003668e-12	1.043742e-11
132	4.570388e-13	1.059819e-11
133	1.096901e-12	1.293716e-11
134	4.293467e-12	1.501856e-11
135	1.107900e-11	8.568257e-12
136	1.175132e-11	8.724755e-12
137	1.338522e-11	1.343605e-11
138	1.169888e-11	1.369908e-11
139	9.988151e-12	1.373249e-11
140	2.996455e-13	5.327780e-12
141	3.332403e-12	1.107107e-11
142	1.459945e-11	1.071675e-11
143	3.649584e-12	1.302516e-11
144	7.082011e-12	1.046651e-11
145	8.868828e-13	1.211984e-11
146	3.204879e-12	7.326994e-12
147	-8.226739e-13	1.221322e-11
148	-1.507509e-12	8.680666e-12
149	-5.687503e-12	6.418593e-12
150	2.346492e-12	1.021351e-11
151	-1.643906e-11	3.938812e-12
152	-1.029250e-11	9.697648e-12
153	9.086696e-12	1.010533e-11
154	9.135867e-12	7.746451e-12
155	-2.099267e-12	9.385375e-12
156	2.590590e-13	1.135190e-11
157	-5.514837e-12	9.008249e-12
158	-3.443854e-12	1.090228e-11
159	9.522093e-12	1.115171e-11
160	6.176091e-12	1.312543e-11
161	1.578016e-12	1.310719e-11
162	-6.270171e-12	1.020326e-11
163	-1.080723e-11	1.248369e-11
164	-6.064880e-12	1.368988e-11
165	-9.483638e-13	1.066215e-11
166	-6.844667e-12	1.432332e-11
167	1.376873e-12	1.190694e-11
168	-8.801287e-12	1.145762e-11
169	-2.214873e-12	9.597270e-12
170	-4.047307e-12	1.253292e-11
171	1.558209e-11	1.480349e-11
172	4.792356e-12	6.220617e-12
173	-5.822323e-12	6.566265e-12
174	8.541780e-12	1.401609e-11
175	-8.258286e-12	7.751680e-12
176	-1.476728e-12	1.353105e-11
177	1.923055e-12	1.305765e-11
178	-5.009350e-12	1.156089e-11
179	-1.246158e-12	9.488044e-12
180	-4.809793e-13	1.277220e-11
181	-8.770958e-12	1.117608e-11
182	-2.109787e-12	8.162305e-12
183	-5.473281e-12	9.660249e-12
184	2.033198e-12	1.120970e-11
185	6.468417e-12	9.931478e-12
186	-8.304366e-12	1.042421e-11
187	-9.160536e-12	1.106727e-11
188	-6.495941e-12	1.075938e-11
189	1.048762e-11	9.657041e-12
190	9.843617e-12	1.051089e-11
191	9.705472e-12	1.117558e-11
192	8.476477e-12	1.219562e-11
193	1.095978e-11	8.880974e-12
194	2.772022e-12	7.476162e-12
195	-1.394209e-11	4.905320e-12
196	4.327649e-12	8.866758e-12
197	7.566223e-12	1.200237e-11
198	-9.328899e-13	1.204930e-11
199	4.096027e-12	1.262323e-11
200	1.884874e-12	1.158215e-11
