Sum of corrected signals for P950-InO2 1
Time(s)	SumCorrected(Torr)	Std(Torr)
0.000000e+00	-2.045400e-09	4.101805e-10
6.500000e+00	1.008112e-09	4.101805e-10
1.290000e+01	-2.485063e-10	4.101805e-10
1.940000e+01	-1.135190e-10	4.101805e-10
2.580000e+01	-7.114747e-10	4.101805e-10
3.230000e+01	8.566663e-11	4.101805e-10
3.870000e+01	-5.892054e-11	4.101805e-10
4.520000e+01	1.119904e-09	4.101805e-10
5.160000e+01	2.572483e-10	4.101805e-10
5.810000e+01	2.812799e-09	4.101805e-10
6.450000e+01	6.132935e-09	4.101805e-10
7.100000e+01	8.319583e-09	4.101805e-10
7.740000e+01	8.646118e-09	4.101805e-10
8.390000e+01	8.771772e-09	4.101805e-10
9.030000e+01	8.640854e-09	4.101805e-10
9.680000e+01	9.006241e-09	4.101805e-10
1.033000e+02	7.639154e-09	4.101805e-10
1.097000e+02	8.679819e-09	4.101805e-10
1.162000e+02	7.367026e-09	4.101805e-10
1.226000e+02	8.271907e-09	4.101805e-10
1.291000e+02	6.413380e-09	4.101805e-10
1.355000e+02	8.367883e-09	4.101805e-10
1.420000e+02	7.313845e-09	4.101805e-10
1.484000e+02	7.946120e-09	4.101805e-10
1.549000e+02	6.791158e-09	4.101805e-10
1.613000e+02	7.056715e-09	4.101805e-10
1.678000e+02	5.933771e-09	4.101805e-10
1.742000e+02	6.377087e-09	4.101805e-10
1.807000e+02	6.368610e-09	4.101805e-10
1.871000e+02	6.257182e-09	4.101805e-10
1.936000e+02	6.752813e-09	4.101805e-10
2.000000e+02	6.577896e-09	4.101805e-10
2.065000e+02	6.165199e-09	4.101805e-10
2.129000e+02	4.981681e-09	4.101805e-10
2.194000e+02	6.256846e-09	4.101805e-10
2.258000e+02	5.918345e-09	4.101805e-10
2.323000e+02	5.683225e-09	4.101805e-10
2.387000e+02	6.034934e-09	4.101805e-10
2.452000e+02	5.898420e-09	4.101805e-10
2.516000e+02	5.180225e-09	4.101805e-10
2.581000e+02	4.854929e-09	4.101805e-10
2.645000e+02	4.493065e-09	4.101805e-10
2.710000e+02	4.733204e-09	4.101805e-10
2.774000e+02	4.996511e-09	4.101805e-10
2.839000e+02	5.449387e-09	4.101805e-10
2.903000e+02	4.186508e-09	4.101805e-10
2.968000e+02	4.809001e-09	4.101805e-10
3.033000e+02	1.918640e-09	4.101805e-10
3.097000e+02	4.993524e-10	4.101805e-10
3.162000e+02	-4.811999e-13	4.101805e-10
3.226000e+02	1.559749e-12	4.101805e-10
3.291000e+02	-1.618375e-10	4.101805e-10
3.355000e+02	-2.739070e-12	4.101805e-10
3.420000e+02	-1.606640e-11	4.101805e-10
3.484000e+02	2.192851e-10	4.101805e-10
3.549000e+02	-1.130938e-10	4.101805e-10
