Averaged TEY data for P950-InO2
Time(s)	MeanTEY	Std
0.000000e+00	1.892302e-06	1.149675e-07
1.201720e-01	1.858095e-06	5.695343e-08
2.284280e-01	1.882050e-06	3.324542e-09
3.376630e-01	1.840576e-06	8.834961e-08
4.448880e-01	1.829948e-06	5.314555e-08
5.521220e-01	1.821945e-06	4.461027e-08
6.613490e-01	1.882801e-06	5.981581e-08
7.696280e-01	1.831469e-06	5.618824e-08
8.778560e-01	1.878991e-06	1.069816e-07
9.856070e-01	1.841349e-06	6.950742e-09
1.094836e+00	1.858091e-06	2.728415e-08
1.201106e+00	1.830306e-06	9.101360e-08
1.309332e+00	1.866077e-06	1.701616e-08
1.417562e+00	1.840590e-06	1.625963e-09
1.526023e+00	1.843244e-06	5.145379e-08
1.636004e+00	1.842498e-06	4.668073e-08
1.744120e+00	1.828793e-06	3.776253e-08
1.853153e+00	1.850474e-06	3.357561e-08
1.963452e+00	1.872160e-06	2.001834e-09
2.073745e+00	1.844003e-06	6.818956e-08
2.181451e+00	1.812445e-06	2.119180e-08
2.287840e+00	1.867593e-06	1.645656e-08
2.397083e+00	1.813959e-06	3.966659e-08
2.504421e+00	1.884710e-06	1.226973e-08
2.616742e+00	1.821566e-06	3.662240e-08
2.724933e+00	1.837164e-06	1.950358e-08
2.832563e+00	1.855807e-06	1.206974e-08
2.940949e+00	1.843241e-06	7.503639e-08
3.049095e+00	1.827282e-06	3.374623e-08
3.156381e+00	1.877108e-06	2.272331e-08
3.268105e+00	1.836398e-06	5.145482e-08
3.377229e+00	1.837937e-06	6.341652e-08
3.483908e+00	1.880516e-06	8.035569e-08
3.593406e+00	1.801413e-06	3.313046e-09
3.701632e+00	1.839832e-06	1.663163e-08
3.809525e+00	1.851611e-06	6.286353e-08
3.919345e+00	1.829564e-06	2.994291e-08
4.027796e+00	1.843256e-06	2.462007e-08
4.136675e+00	1.832966e-06	1.096515e-07
4.245612e+00	1.818543e-06	9.650537e-08
4.357828e+00	1.848948e-06	6.780881e-08
4.464507e+00	1.832600e-06	1.646121e-08
4.571622e+00	1.814354e-06	6.569483e-08
4.679981e+00	1.864546e-06	4.612571e-08
4.786976e+00	1.853899e-06	2.330473e-08
4.895768e+00	1.817395e-06	5.200245e-08
5.003715e+00	1.863398e-06	9.519290e-08
5.116515e+00	1.861897e-06	4.478181e-08
5.225773e+00	1.832603e-06	5.599565e-09
5.335011e+00	1.877475e-06	6.970636e-08
5.442307e+00	1.809029e-06	6.036914e-08
5.550985e+00	1.875198e-06	3.395251e-08
5.659167e+00	1.851237e-06	2.368573e-08
5.767425e+00	1.835650e-06	3.679053e-08
5.876136e+00	1.840203e-06	4.156449e-08
5.982269e+00	1.836024e-06	9.233974e-09
6.091756e+00	1.803319e-06	2.955837e-08
6.198653e+00	1.834112e-06	7.808081e-08
6.310114e+00	1.851628e-06	4.744271e-08
6.415771e+00	1.826896e-06	3.910450e-09
6.525645e+00	1.838303e-06	2.749134e-08
6.635376e+00	1.842118e-06	4.097577e-08
6.742603e+00	1.840207e-06	1.493884e-08
6.851400e+00	1.840590e-06	4.459545e-09
6.960660e+00	1.805601e-06	3.488420e-08
7.070226e+00	1.821946e-06	4.080661e-08
7.177415e+00	1.863415e-06	1.967821e-08
7.285578e+00	1.819293e-06	2.575710e-08
7.393958e+00	1.848953e-06	2.672912e-08
7.500326e+00	1.833749e-06	3.717026e-08
7.609165e+00	1.824230e-06	3.167771e-08
7.716652e+00	1.826134e-06	6.953022e-09
7.825016e+00	1.866838e-06	1.549446e-08
7.934609e+00	1.820425e-06	4.080684e-08
8.044468e+00	1.844017e-06	2.614141e-08
8.152382e+00	1.836026e-06	3.698246e-09
8.259865e+00	1.837165e-06	1.265745e-08
8.367251e+00	1.859609e-06	9.027263e-09
8.475923e+00	1.828414e-06	2.444977e-08
8.584050e+00	1.844390e-06	2.444737e-08
8.693497e+00	1.867982e-06	4.021844e-08
8.801233e+00	1.804444e-06	7.504220e-08
8.909344e+00	1.834127e-06	2.233627e-08
9.016107e+00	1.850859e-06	5.048075e-09
9.125374e+00	1.842102e-06	6.020192e-08
9.235080e+00	1.845918e-06	2.195802e-08
9.343827e+00	1.848962e-06	2.652276e-08
9.451998e+00	1.840202e-06	4.917181e-08
9.561908e+00	1.823863e-06	6.227319e-08
9.671580e+00	1.849330e-06	5.601716e-08
9.779279e+00	1.852004e-06	2.576201e-08
9.887030e+00	1.838688e-06	2.755838e-10
9.995473e+00	1.851612e-06	5.221315e-08
1.010355e+01	1.842112e-06	6.742207e-09
1.021096e+01	1.821192e-06	6.359059e-09
1.031929e+01	1.853131e-06	7.427429e-08
1.042701e+01	1.875589e-06	3.565530e-08
1.053735e+01	1.838304e-06	2.596952e-08
1.064435e+01	1.877480e-06	3.699462e-08
1.075372e+01	1.825383e-06	5.086243e-08
1.086216e+01	1.844770e-06	2.863099e-08
1.097238e+01	1.875202e-06	5.804451e-09
1.108113e+01	1.831845e-06	2.461836e-08
1.118738e+01	1.858080e-06	4.574548e-08
1.129700e+01	1.837168e-06	1.244696e-08
1.140543e+01	1.809401e-06	1.054156e-08
1.151436e+01	1.883185e-06	3.585255e-08
1.162245e+01	1.825000e-06	3.450650e-08
1.173057e+01	1.834879e-06	3.700101e-08
1.184199e+01	1.870252e-06	4.422302e-08
1.194980e+01	1.818910e-06	6.358717e-09
1.205795e+01	1.847811e-06	3.319541e-08
1.216661e+01	1.857326e-06	3.144684e-09
1.227375e+01	1.844011e-06	1.722071e-08
1.238156e+01	1.853514e-06	5.031104e-08
1.248851e+01	1.836408e-06	1.472928e-08
1.259575e+01	1.817768e-06	2.174280e-09
1.270527e+01	1.887369e-06	3.547132e-08
1.281421e+01	1.823093e-06	6.538487e-10
1.292175e+01	1.848952e-06	3.737950e-08
1.302971e+01	1.847816e-06	2.766097e-09
1.313920e+01	1.835266e-06	1.054484e-08
1.324745e+01	1.812818e-06	3.700431e-08
1.335586e+01	1.882051e-06	1.017184e-08
1.346296e+01	1.817386e-06	8.856165e-09
1.357150e+01	1.860367e-06	1.379460e-08
1.367919e+01	1.845159e-06	3.184708e-08
1.378793e+01	1.845912e-06	2.064348e-08
1.389599e+01	1.839447e-06	1.189591e-08
1.400406e+01	1.852766e-06	2.956578e-08
1.411233e+01	1.839065e-06	2.140512e-08
1.421929e+01	1.862655e-06	3.032788e-08
1.432753e+01	1.834126e-06	1.777199e-08
1.443444e+01	1.855421e-06	1.874023e-08
1.454481e+01	1.843634e-06	7.503050e-09
1.465308e+01	1.826897e-06	3.696878e-09
1.476108e+01	1.853898e-06	3.015144e-08
1.486791e+01	1.850102e-06	2.081743e-08
1.497714e+01	1.845529e-06	3.471757e-08
1.508497e+01	1.869120e-06	1.397357e-08
1.519146e+01	1.858087e-06	3.702142e-09
1.530058e+01	1.829554e-06	3.243694e-08
