Averaged ion signal for P950-InO2, m/z=50
Time (s)	Mean Ion Signal (Torr)	Std (Torr)
0.000000e+00	1.866508e-12	3.141150e-12
6.500000e+00	-2.206193e-12	3.066299e-12
1.290000e+01	1.229787e-12	1.023085e-12
1.940000e+01	8.167460e-13	1.231106e-12
2.580000e+01	-3.284333e-13	3.754792e-13
3.230000e+01	2.930252e-13	5.531706e-13
3.870000e+01	-1.415406e-14	2.215544e-12
4.520000e+01	-2.649696e-12	2.669765e-12
5.160000e+01	-3.169875e-12	2.226082e-13
5.810000e+01	-3.047916e-12	1.804200e-12
6.450000e+01	-1.766096e-12	3.516173e-12
7.100000e+01	6.699363e-12	2.620864e-12
7.740000e+01	1.091318e-11	5.692237e-12
8.390000e+01	4.273142e-12	4.425714e-13
9.030000e+01	-3.621037e-12	1.463198e-12
9.680000e+01	4.269421e-12	3.249493e-12
1.033000e+02	4.013220e-12	6.253844e-12
1.097000e+02	3.524701e-12	5.768442e-12
1.162000e+02	1.074900e-11	2.268409e-12
1.226000e+02	5.512480e-12	6.018779e-13
1.291000e+02	5.043779e-12	1.068027e-12
1.355000e+02	3.000759e-12	2.365187e-12
1.420000e+02	3.544058e-12	1.974038e-12
1.484000e+02	6.006038e-12	5.771251e-12
1.549000e+02	1.177384e-11	3.366602e-12
1.613000e+02	3.164318e-12	2.601684e-12
1.678000e+02	1.005962e-11	3.102167e-12
1.742000e+02	1.780097e-12	5.758801e-13
1.807000e+02	1.032440e-11	7.757313e-13
1.871000e+02	3.808376e-12	1.748055e-12
1.936000e+02	3.671748e-13	4.829575e-14
2.000000e+02	-8.883448e-13	2.435009e-12
2.065000e+02	6.761137e-13	3.664701e-12
2.129000e+02	5.813934e-12	3.893926e-12
2.194000e+02	2.301893e-12	3.218735e-12
2.258000e+02	5.897214e-12	1.577862e-12
2.323000e+02	-5.723278e-13	5.085829e-12
2.387000e+02	9.504929e-13	4.883203e-12
2.452000e+02	2.963951e-12	8.628940e-13
2.516000e+02	1.225772e-12	3.009733e-12
2.581000e+02	1.384731e-12	6.022542e-12
2.645000e+02	-6.114487e-13	2.485168e-12
2.710000e+02	2.759510e-12	5.017977e-12
2.774000e+02	5.425831e-12	1.885896e-12
2.839000e+02	6.221289e-12	4.734125e-13
2.903000e+02	-7.828902e-13	8.509606e-13
2.968000e+02	2.030068e-12	4.953152e-12
3.033000e+02	3.560867e-12	3.819503e-12
3.097000e+02	-3.456524e-13	7.512165e-13
3.162000e+02	1.058146e-12	2.841568e-12
3.226000e+02	-6.173732e-13	1.691719e-12
3.291000e+02	7.088426e-12	1.141632e-12
3.355000e+02	-2.183094e-12	2.013655e-12
3.420000e+02	-2.823795e-12	1.330197e-12
3.484000e+02	-1.872315e-12	7.440900e-13
3.549000e+02	1.050984e-12	5.532389e-13
