Group Outgassing data P950-InO2
Mass number	Avg Values (Torr)	Std Values (Torr)
1	2.253271e-10	1.809643e-11
2	1.947099e-09	2.071288e-10
3	3.569097e-12	2.385417e-12
4	1.211555e-12	1.211555e-12
5	3.251469e-12	2.783756e-12
6	0.000000e+00	0.000000e+00
7	7.644044e-13	7.644044e-13
8	1.710080e-12	3.381037e-14
9	2.088463e-12	2.088463e-12
10	3.691175e-12	3.691175e-12
11	9.885608e-13	9.885608e-13
12	1.326080e-10	4.722205e-12
13	6.966914e-11	5.504501e-12
14	1.435638e-10	3.213484e-12
15	6.379573e-10	7.199027e-12
16	6.066736e-10	6.252277e-12
17	2.741512e-11	2.741512e-11
18	9.112087e-11	9.112087e-11
19	9.896087e-13	9.896087e-13
20	4.790119e-12	4.719595e-12
21	3.445176e-12	3.445176e-12
22	4.589247e-12	4.589247e-12
23	2.460289e-12	2.460289e-12
24	5.127778e-13	5.127778e-13
25	4.176210e-12	1.375389e-12
26	2.906665e-11	2.179829e-12
27	4.196940e-11	4.794731e-12
28	1.311430e-09	4.329877e-11
29	5.850968e-10	3.525698e-13
30	2.035941e-10	6.173611e-12
31	4.365845e-10	1.412163e-12
32	2.373936e-10	1.721316e-11
33	2.330312e-12	4.398507e-13
34	1.386621e-12	1.386621e-12
35	5.481858e-12	5.481858e-12
36	0.000000e+00	0.000000e+00
37	8.712942e-12	6.295872e-13
38	8.352986e-12	2.075967e-12
39	5.288488e-11	4.621738e-12
40	1.568061e-11	5.389115e-13
41	8.261200e-11	7.509111e-12
42	1.443455e-11	2.577691e-12
43	4.600462e-11	7.341255e-12
44	8.714548e-10	2.036223e-11
45	2.572702e-11	1.644579e-12
46	9.331375e-12	2.013112e-13
47	3.417448e-12	7.801494e-13
48	5.243011e-12	4.009805e-13
49	2.280329e-12	1.850208e-12
50	3.299711e-12	1.984701e-12
51	3.246057e-12	5.018089e-13
52	0.000000e+00	0.000000e+00
53	1.009049e-12	1.009049e-12
54	3.074700e-12	8.914208e-13
55	1.557025e-11	2.706029e-13
56	1.897911e-11	1.318944e-12
57	1.239626e-11	2.880288e-12
58	4.629021e-14	4.629021e-14
59	1.205671e-12	1.205671e-12
60	6.809866e-11	4.266076e-12
61	0.000000e+00	0.000000e+00
62	3.390493e-12	2.660659e-12
63	1.108453e-12	1.108453e-12
64	1.435145e-12	5.682719e-13
65	5.507950e-12	5.507950e-12
66	1.420964e-12	2.241926e-13
67	1.639086e-12	1.639086e-12
68	3.952771e-12	2.415723e-12
69	2.063641e-11	1.629408e-15
70	4.753408e-13	4.753408e-13
71	7.055163e-13	7.055163e-13
72	4.039569e-13	4.039569e-13
73	2.733967e-12	2.105514e-12
74	2.709566e-12	6.803285e-13
75	1.314610e-12	7.376298e-13
76	1.597996e-12	1.597996e-12
77	5.205149e-12	2.159730e-12
78	5.188704e-12	1.104104e-12
79	3.856254e-12	2.587300e-12
80	3.743732e-12	2.284433e-12
81	6.841471e-13	6.841471e-13
82	9.465963e-13	8.474540e-13
83	4.580700e-12	3.284599e-13
84	2.973186e-12	1.940327e-12
85	0.000000e+00	0.000000e+00
86	1.532652e-12	1.110819e-12
87	1.606658e-13	1.606658e-13
88	1.865026e-12	1.274131e-12
89	6.697413e-12	4.010776e-12
90	8.224276e-12	3.631021e-12
91	1.841327e-12	1.221301e-12
92	4.063609e-12	1.229839e-13
93	1.435665e-12	1.435665e-12
94	6.010554e-13	6.010554e-13
95	3.379384e-12	2.996825e-12
96	3.459843e-12	5.145998e-13
97	2.753016e-12	2.753016e-12
98	3.194241e-12	3.194241e-12
99	4.623951e-12	3.690916e-12
100	3.392962e-12	3.219962e-12
101	3.686659e-13	3.686659e-13
102	5.839995e-12	3.435062e-12
103	6.028971e-12	6.028971e-12
104	3.161107e-12	3.161107e-12
105	2.143873e-12	2.143873e-12
106	7.923955e-12	2.681226e-12
107	0.000000e+00	0.000000e+00
108	5.420660e-12	4.155880e-12
109	1.813894e-12	1.813894e-12
