Time	Averaged_Intensity	Std_Deviation
0.000000e+00	-1.775868e-09	3.811758e-10
6.500000e+00	3.925076e-10	8.705960e-10
1.290000e+01	-1.284890e-10	1.697301e-10
1.940000e+01	2.532524e-10	5.186930e-10
2.580000e+01	-4.262203e-10	4.034106e-10
3.230000e+01	4.930117e-11	5.142853e-11
3.870000e+01	-1.791006e-10	1.699603e-10
4.520000e+01	5.733083e-10	7.730030e-10
5.160000e+01	7.574730e-11	2.566812e-10
5.810000e+01	2.938368e-09	1.775807e-10
6.450000e+01	6.901266e-09	1.086585e-09
7.100000e+01	8.100449e-09	3.099023e-10
7.740000e+01	8.177681e-09	6.624700e-10
8.390000e+01	8.683777e-09	1.244444e-10
9.030000e+01	8.512795e-09	1.811028e-10
9.680000e+01	8.494812e-09	7.232698e-10
1.033000e+02	7.818083e-09	2.530445e-10
1.097000e+02	8.270078e-09	5.794620e-10
1.162000e+02	7.358220e-09	1.245427e-11
1.226000e+02	7.914183e-09	5.058974e-10
1.291000e+02	7.072958e-09	9.327849e-10
1.355000e+02	7.487496e-09	1.245055e-09
1.420000e+02	7.584716e-09	3.830694e-10
1.484000e+02	7.982471e-09	5.140808e-11
1.549000e+02	7.096519e-09	4.318457e-10
1.613000e+02	6.884672e-09	2.433048e-10
1.678000e+02	6.368415e-09	6.146794e-10
1.742000e+02	6.028467e-09	4.930231e-10
1.807000e+02	6.477315e-09	1.537314e-10
1.871000e+02	6.166243e-09	1.286072e-10
1.936000e+02	6.756229e-09	4.831661e-12
2.000000e+02	6.109315e-09	6.626736e-10
2.065000e+02	6.387482e-09	3.143549e-10
2.129000e+02	5.429170e-09	6.328457e-10
2.194000e+02	5.702950e-09	7.833279e-10
2.258000e+02	5.649752e-09	3.798472e-10
2.323000e+02	5.600205e-09	1.174080e-10
2.387000e+02	5.841200e-09	2.739813e-10
2.452000e+02	5.601508e-09	4.198970e-10
2.516000e+02	4.966464e-09	3.023037e-10
2.581000e+02	4.756640e-09	1.390023e-10
2.645000e+02	4.716707e-09	3.162775e-10
2.710000e+02	5.308974e-09	8.142617e-10
2.774000e+02	5.000254e-09	5.293401e-12
2.839000e+02	4.840329e-09	8.613381e-10
2.903000e+02	4.164471e-09	3.116502e-11
2.968000e+02	5.418240e-09	8.615941e-10
3.033000e+02	1.792350e-09	1.786010e-10
3.097000e+02	6.844446e-10	2.617600e-10
3.162000e+02	3.176981e-10	4.499734e-10
3.226000e+02	3.634579e-10	5.118012e-10
3.291000e+02	1.656287e-10	4.631071e-10
3.355000e+02	2.233638e-12	7.032471e-12
3.420000e+02	-4.123288e-11	3.559078e-11
3.484000e+02	-8.788055e-11	4.343978e-10
3.549000e+02	1.670573e-10	3.961935e-10
