Ion signal for P950-InO4 2, m/z=110
Time(s)	Corrected Signal(Torr)	Std(Torr)
0.000000e+00	4.365322e-12	6.020405e-12
6.400000e+00	-2.867902e-12	6.020405e-12
1.290000e+01	-1.469723e-12	6.020405e-12
1.930000e+01	-5.208947e-12	6.020405e-12
2.580000e+01	3.525232e-12	6.020405e-12
3.230000e+01	1.001041e-11	6.020405e-12
3.870000e+01	-2.963814e-12	6.020405e-12
4.520000e+01	-4.809635e-12	6.020405e-12
5.160000e+01	1.054014e-11	6.020405e-12
5.810000e+01	-6.840680e-12	6.020405e-12
6.450000e+01	2.480096e-12	6.020405e-12
7.100000e+01	9.656275e-12	6.020405e-12
7.740000e+01	-8.049494e-13	6.020405e-12
8.390000e+01	1.109423e-11	6.020405e-12
9.030000e+01	-1.672995e-12	6.020405e-12
9.680000e+01	5.035184e-12	6.020405e-12
1.032000e+02	-1.364040e-12	6.020405e-12
1.097000e+02	1.360914e-11	6.020405e-12
1.161000e+02	-3.277085e-12	6.020405e-12
1.226000e+02	1.261609e-11	6.020405e-12
1.290000e+02	-3.545131e-12	6.020405e-12
1.355000e+02	-3.337952e-12	6.020405e-12
1.419000e+02	1.054782e-11	6.020405e-12
1.484000e+02	7.447003e-12	6.020405e-12
1.548000e+02	-1.359922e-11	6.020405e-12
1.613000e+02	1.525896e-11	6.020405e-12
1.677000e+02	8.818734e-12	6.020405e-12
1.742000e+02	-1.626088e-12	6.020405e-12
1.806000e+02	1.271369e-11	6.020405e-12
1.871000e+02	2.881867e-12	6.020405e-12
1.935000e+02	-4.294357e-12	6.020405e-12
2.000000e+02	3.627822e-12	6.020405e-12
2.064000e+02	1.144360e-11	6.020405e-12
2.129000e+02	-2.135452e-11	6.020405e-12
2.193000e+02	2.109553e-12	6.020405e-12
2.258000e+02	6.105731e-12	6.020405e-12
2.322000e+02	1.020507e-12	6.020405e-12
2.387000e+02	1.786469e-11	6.020405e-12
2.451000e+02	4.715462e-12	6.020405e-12
2.516000e+02	1.341364e-11	6.020405e-12
2.580000e+02	7.945417e-12	6.020405e-12
2.645000e+02	6.480595e-12	6.020405e-12
2.709000e+02	1.732137e-11	6.020405e-12
2.774000e+02	-4.257450e-12	6.020405e-12
2.838000e+02	1.876933e-11	6.020405e-12
2.903000e+02	8.120505e-12	6.020405e-12
2.968000e+02	-1.077316e-12	6.020405e-12
3.032000e+02	4.285460e-12	6.020405e-12
3.097000e+02	-1.433362e-12	6.020405e-12
3.161000e+02	1.547141e-11	6.020405e-12
3.226000e+02	-1.772081e-11	6.020405e-12
3.290000e+02	-1.113863e-11	6.020405e-12
3.355000e+02	-1.987452e-12	6.020405e-12
3.419000e+02	7.118324e-12	6.020405e-12
3.484000e+02	4.982503e-12	6.020405e-12
3.548000e+02	1.511928e-11	6.020405e-12
