# TEY data for sample bare Si BNL 1
# time(s)	normalized_TEY
0.000000e+00	1.815203e-06
1.112160e-01	1.902509e-06
2.184620e-01	1.825072e-06
3.266920e-01	1.804575e-06
4.349240e-01	1.832664e-06
5.421670e-01	1.856958e-06
6.503930e-01	1.891881e-06
7.596310e-01	1.840256e-06
8.678740e-01	1.849366e-06
9.760950e-01	1.837219e-06
1.082334e+00	1.853162e-06
1.192577e+00	1.822795e-06
1.299805e+00	1.843292e-06
1.408585e+00	1.815962e-06
1.515872e+00	1.897954e-06
1.628791e+00	1.809129e-06
1.736424e+00	1.834942e-06
1.843110e+00	1.846330e-06
1.951579e+00	1.838738e-06
2.059341e+00	1.882771e-06
2.166335e+00	1.831146e-06
2.274562e+00	1.846330e-06
2.382829e+00	1.863031e-06
2.493283e+00	1.812166e-06
2.600899e+00	1.863791e-06
2.741249e+00	1.815962e-06
2.851477e+00	1.838738e-06
2.958952e+00	1.876697e-06
3.068600e+00	1.863791e-06
3.175860e+00	1.866827e-06
3.284164e+00	1.859236e-06
3.395638e+00	1.824313e-06
3.504299e+00	1.869864e-06
3.612507e+00	1.870623e-06
3.722889e+00	1.860754e-06
3.831752e+00	1.845570e-06
3.938635e+00	1.863031e-06
4.046792e+00	1.850126e-06
4.155355e+00	1.828109e-06
4.262456e+00	1.873660e-06
4.369371e+00	1.826590e-06
4.476092e+00	1.849366e-06
4.583497e+00	1.847848e-06
4.690570e+00	1.865309e-06
4.798634e+00	1.819758e-06
4.909373e+00	1.858476e-06
5.019006e+00	1.853922e-06
5.128774e+00	1.818239e-06
5.236023e+00	1.845570e-06
5.346433e+00	1.834182e-06
5.454097e+00	1.869864e-06
5.562502e+00	1.832664e-06
5.671779e+00	1.846330e-06
5.779384e+00	1.839496e-06
5.888279e+00	1.826590e-06
5.996395e+00	1.845570e-06
6.105752e+00	1.857717e-06
6.212837e+00	1.859236e-06
6.320516e+00	1.866827e-06
6.435368e+00	1.843292e-06
6.542745e+00	1.863791e-06
6.651312e+00	1.850126e-06
6.758309e+00	1.841774e-06
6.868014e+00	1.842534e-06
6.976256e+00	1.856958e-06
7.083475e+00	1.844052e-06
7.191076e+00	1.862272e-06
7.300297e+00	1.861513e-06
7.407933e+00	1.869105e-06
7.517581e+00	1.889603e-06
7.628819e+00	1.813685e-06
7.737511e+00	1.897954e-06
7.846906e+00	1.847848e-06
7.957230e+00	1.885047e-06
8.067213e+00	1.855440e-06
8.177472e+00	1.872901e-06
8.285881e+00	1.884289e-06
8.392799e+00	1.889603e-06
8.500590e+00	1.889603e-06
8.608872e+00	1.853922e-06
8.717009e+00	1.844810e-06
8.827324e+00	1.867587e-06
8.936010e+00	1.890363e-06
9.043331e+00	1.830386e-06
9.153647e+00	1.879733e-06
9.262219e+00	1.861513e-06
9.369965e+00	1.878215e-06
9.477292e+00	1.905546e-06
9.584776e+00	1.861513e-06
9.694515e+00	1.859236e-06
9.804276e+00	1.850884e-06
9.912098e+00	1.856958e-06
1.002135e+01	1.863031e-06
1.012791e+01	1.865309e-06
1.023558e+01	1.843292e-06
1.034326e+01	1.877455e-06
1.045435e+01	1.840256e-06
1.056127e+01	1.818999e-06
1.066859e+01	1.869105e-06
1.077454e+01	1.848606e-06
1.088289e+01	1.889603e-06
1.099069e+01	1.874419e-06
1.109767e+01	1.864550e-06
1.120689e+01	1.828868e-06
1.131496e+01	1.854680e-06
1.142268e+01	1.907823e-06
1.153039e+01	1.865309e-06
1.163862e+01	1.888843e-06
1.174659e+01	1.856199e-06
1.185651e+01	1.859995e-06
1.196375e+01	1.833423e-06
1.207242e+01	1.817481e-06
1.218309e+01	1.875937e-06
1.229217e+01	1.802297e-06
1.240274e+01	1.838738e-06
1.251123e+01	1.893399e-06
1.262266e+01	1.847088e-06
1.273333e+01	1.878215e-06
1.284190e+01	1.842534e-06
1.294927e+01	1.788631e-06
1.305831e+01	1.876697e-06
1.316476e+01	1.854680e-06
1.327575e+01	1.863791e-06
1.338460e+01	1.878215e-06
1.349368e+01	1.860754e-06
1.360198e+01	1.878215e-06
1.371035e+01	1.863791e-06
1.381909e+01	1.855440e-06
1.392659e+01	1.872141e-06
1.403735e+01	1.846330e-06
1.414635e+01	1.856199e-06
1.425416e+01	1.859236e-06
1.436265e+01	1.866827e-06
1.447263e+01	1.840256e-06
1.458088e+01	1.861513e-06
1.468917e+01	1.849366e-06
1.479677e+01	1.870623e-06
1.490558e+01	1.853922e-06
1.501552e+01	1.853162e-06
1.512248e+01	1.886567e-06
1.523039e+01	1.845570e-06
1.533808e+01	1.878975e-06
1.544651e+01	1.864550e-06
1.555376e+01	1.866827e-06
1.566068e+01	1.859236e-06
1.577054e+01	1.853162e-06
1.587914e+01	1.858476e-06
1.598741e+01	1.875179e-06
1.609629e+01	1.884289e-06
1.620373e+01	1.878215e-06
1.631206e+01	1.862272e-06
1.642080e+01	1.840256e-06
1.653051e+01	1.838738e-06
1.664025e+01	1.869864e-06
1.674748e+01	1.833423e-06
1.685705e+01	1.825831e-06
1.696440e+01	1.826590e-06
1.707385e+01	1.850884e-06
1.718194e+01	1.856958e-06
1.729107e+01	1.846330e-06
1.740091e+01	1.857717e-06
1.750955e+01	1.824313e-06
1.762090e+01	1.857717e-06
1.772881e+01	1.853162e-06
1.783716e+01	1.858476e-06
1.794605e+01	1.885047e-06
1.805438e+01	1.856958e-06
1.816261e+01	1.869105e-06
1.827138e+01	1.856958e-06
1.837958e+01	1.842534e-06
1.848754e+01	1.853922e-06
1.859603e+01	1.854680e-06
1.870430e+01	1.885807e-06
1.881186e+01	1.871383e-06
1.892216e+01	1.877455e-06
1.903206e+01	1.885807e-06
1.914012e+01	1.809129e-06
1.924749e+01	1.870623e-06
1.935777e+01	1.871383e-06
1.946806e+01	1.843292e-06
1.958024e+01	1.862272e-06
1.968949e+01	1.881251e-06
1.979681e+01	1.831146e-06
1.990512e+01	1.841774e-06
2.001346e+01	1.803815e-06
