Outgassing data bare Si BNL 1
Mass number	Avg Values (Torr)	Std Values (Torr)
1	-2.999638e-11	5.564403e-11
2	4.996324e-10	4.035935e-10
3	3.397883e-12	2.832290e-12
4	-1.940391e-12	1.314227e-11
5	-3.564391e-12	1.011212e-11
6	-6.227409e-13	7.795704e-12
7	-2.920084e-12	9.387319e-12
8	2.228650e-12	1.173816e-11
9	-7.686095e-12	1.016587e-11
10	-1.057701e-11	1.056187e-11
11	2.223262e-12	1.298668e-11
12	-2.060758e-12	1.003266e-11
13	5.718431e-12	3.387297e-12
14	2.907275e-13	9.908580e-12
15	3.972713e-11	7.845666e-12
16	2.574185e-11	2.638136e-11
17	3.916310e-11	7.617958e-11
18	-1.934824e-10	2.195201e-10
19	-7.379444e-14	4.374316e-12
20	-2.123574e-12	4.810641e-12
21	-8.826627e-14	6.054604e-12
22	3.413180e-12	9.128989e-12
23	-1.066427e-11	1.174003e-11
24	3.770182e-12	6.499960e-12
25	5.331197e-13	2.927730e-12
26	9.202570e-12	1.377335e-11
27	-5.335890e-12	1.019594e-11
28	4.267027e-11	9.722314e-11
29	1.204993e-11	9.256339e-12
30	4.496943e-12	1.023632e-11
31	2.681361e-12	1.049065e-11
32	-1.111502e-11	5.277691e-11
33	8.775143e-12	7.487421e-12
34	-4.876647e-13	6.317910e-12
35	-2.723591e-12	5.083044e-12
36	-2.876549e-12	7.562232e-12
37	-1.010330e-12	7.700774e-12
38	1.169144e-12	4.437461e-12
39	1.981288e-12	7.577021e-12
40	6.104469e-12	7.211410e-12
41	6.604183e-12	1.697296e-11
42	5.860672e-12	5.278919e-12
43	1.239242e-11	9.190023e-12
44	8.018137e-11	3.532609e-11
45	4.162130e-12	2.748255e-12
46	-4.224630e-12	3.294120e-12
47	-3.998479e-13	6.210087e-12
48	9.921456e-13	5.483944e-12
49	-1.849860e-12	7.531194e-12
50	-1.667497e-12	4.253508e-12
51	1.685820e-12	3.299631e-12
52	-4.186486e-12	6.659332e-12
53	-2.900591e-12	3.815056e-12
54	3.972480e-12	3.823730e-12
55	-3.493648e-12	6.298057e-12
56	4.203643e-12	7.100079e-12
57	6.861159e-12	4.751796e-12
58	4.528094e-12	1.540313e-12
59	5.876902e-12	4.793930e-12
60	-4.352450e-12	4.606885e-12
61	2.369528e-12	5.402198e-12
62	9.306259e-13	1.209677e-11
63	3.592053e-12	1.032614e-11
64	-3.472722e-12	5.752455e-12
65	-3.058452e-12	5.727779e-12
66	4.308841e-12	7.922815e-12
67	-1.464059e-12	3.839225e-12
68	-6.744724e-12	6.466084e-12
69	-2.728753e-12	4.131662e-12
70	-2.919665e-13	6.488790e-12
71	4.191246e-12	1.826567e-12
72	4.620946e-13	7.854040e-12
73	3.786371e-12	6.922906e-12
74	3.023123e-12	5.059848e-12
75	9.687397e-14	7.312986e-12
76	4.547778e-12	7.357126e-12
77	2.362675e-12	7.167815e-12
78	-1.810153e-12	1.005546e-11
79	4.969845e-12	1.022726e-11
