Ion signal for bare Si BNL 2, m/z=82
Time(s)	Corrected Signal(Torr)	Std(Torr)
0.000000e+00	1.369576e-11	6.614630e-12
6.500000e+00	1.061741e-12	6.614630e-12
1.290000e+01	6.726433e-12	6.614630e-12
1.940000e+01	-1.525458e-11	6.614630e-12
2.580000e+01	3.676108e-12	6.614630e-12
3.230000e+01	2.421092e-12	6.614630e-12
3.870000e+01	1.213784e-12	6.614630e-12
4.520000e+01	1.165077e-11	6.614630e-12
5.160000e+01	1.136746e-11	6.614630e-12
5.810000e+01	4.181443e-12	6.614630e-12
6.450000e+01	7.091350e-13	6.614630e-12
7.100000e+01	5.367119e-12	6.614630e-12
7.750000e+01	-3.328974e-13	6.614630e-12
8.390000e+01	6.444794e-12	6.614630e-12
9.040000e+01	1.159878e-11	6.614630e-12
9.680000e+01	1.645470e-12	6.614630e-12
1.033000e+02	4.662454e-12	6.614630e-12
1.097000e+02	-9.778544e-13	6.614630e-12
1.162000e+02	-4.638706e-13	6.614630e-12
1.226000e+02	-4.879179e-12	6.614630e-12
1.291000e+02	5.603805e-12	6.614630e-12
1.355000e+02	-7.965032e-13	6.614630e-12
1.420000e+02	7.917481e-12	6.614630e-12
1.484000e+02	-3.988828e-12	6.614630e-12
1.549000e+02	4.277156e-12	6.614630e-12
1.613000e+02	-1.049152e-12	6.614630e-12
1.678000e+02	9.760832e-12	6.614630e-12
1.742000e+02	9.438524e-12	6.614630e-12
1.807000e+02	7.147507e-12	6.614630e-12
1.871000e+02	-2.615801e-12	6.614630e-12
1.936000e+02	-1.798170e-13	6.614630e-12
2.000000e+02	6.227875e-12	6.614630e-12
2.065000e+02	7.088586e-13	6.614630e-12
2.129000e+02	7.668550e-12	6.614630e-12
2.194000e+02	-1.297466e-12	6.614630e-12
2.258000e+02	-1.862774e-12	6.614630e-12
2.323000e+02	4.043210e-12	6.614630e-12
2.387000e+02	1.127090e-11	6.614630e-12
2.452000e+02	-2.185311e-11	6.614630e-12
2.516000e+02	-3.980423e-12	6.614630e-12
2.581000e+02	-8.818439e-12	6.614630e-12
2.645000e+02	3.054253e-12	6.614630e-12
2.710000e+02	-6.959763e-12	6.614630e-12
2.774000e+02	5.805928e-12	6.614630e-12
2.839000e+02	-1.657088e-12	6.614630e-12
2.903000e+02	-2.120640e-11	6.614630e-12
2.968000e+02	5.265878e-13	6.614630e-12
3.032000e+02	-5.338720e-12	6.614630e-12
3.097000e+02	-9.349737e-12	6.614630e-12
3.161000e+02	-8.494045e-12	6.614630e-12
3.226000e+02	-4.013061e-12	6.614630e-12
3.291000e+02	-3.490771e-13	6.614630e-12
3.355000e+02	2.660615e-12	6.614630e-12
3.420000e+02	6.924598e-12	6.614630e-12
3.484000e+02	-9.080710e-12	6.614630e-12
3.549000e+02	-7.450726e-12	6.614630e-12
