Sum of corrected signals for bare Si BNL 2
Time(s)	SumCorrected(Torr)	Std(Torr)
0.000000e+00	-1.228648e-09	4.055616e-10
6.500000e+00	9.701198e-11	4.055616e-10
1.290000e+01	-6.097468e-12	4.055616e-10
1.940000e+01	-8.635730e-11	4.055616e-10
2.580000e+01	3.788632e-10	4.055616e-10
3.230000e+01	3.003784e-10	4.055616e-10
3.870000e+01	-7.110056e-10	4.055616e-10
4.520000e+01	-4.240817e-10	4.055616e-10
5.160000e+01	-4.974738e-10	4.055616e-10
5.810000e+01	5.777939e-10	4.055616e-10
6.450000e+01	2.022789e-10	4.055616e-10
7.100000e+01	5.525628e-10	4.055616e-10
7.750000e+01	3.307520e-10	4.055616e-10
8.390000e+01	5.320807e-10	4.055616e-10
9.040000e+01	1.129742e-09	4.055616e-10
9.680000e+01	9.455283e-10	4.055616e-10
1.033000e+02	6.881020e-10	4.055616e-10
1.097000e+02	9.223456e-10	4.055616e-10
1.162000e+02	2.168284e-10	4.055616e-10
1.226000e+02	-2.743927e-10	4.055616e-10
1.291000e+02	-3.084818e-11	4.055616e-10
1.355000e+02	1.915312e-10	4.055616e-10
1.420000e+02	-1.812187e-10	4.055616e-10
1.484000e+02	6.183157e-10	4.055616e-10
1.549000e+02	-4.491466e-10	4.055616e-10
1.613000e+02	4.150150e-10	4.055616e-10
1.678000e+02	-8.588844e-10	4.055616e-10
1.742000e+02	-2.040204e-10	4.055616e-10
1.807000e+02	1.724968e-10	4.055616e-10
1.871000e+02	5.497971e-10	4.055616e-10
1.936000e+02	6.462301e-10	4.055616e-10
2.000000e+02	-9.589726e-11	4.055616e-10
2.065000e+02	-2.832519e-10	4.055616e-10
2.129000e+02	3.031577e-10	4.055616e-10
2.194000e+02	2.524010e-10	4.055616e-10
2.258000e+02	6.224142e-11	4.055616e-10
2.323000e+02	5.870127e-10	4.055616e-10
2.387000e+02	3.897307e-10	4.055616e-10
2.452000e+02	-3.064679e-10	4.055616e-10
2.516000e+02	1.381333e-09	4.055616e-10
2.581000e+02	3.995302e-10	4.055616e-10
2.645000e+02	5.212990e-10	4.055616e-10
2.710000e+02	1.262447e-09	4.055616e-10
2.774000e+02	1.283395e-09	4.055616e-10
2.839000e+02	-2.558334e-10	4.055616e-10
2.903000e+02	9.265941e-10	4.055616e-10
2.968000e+02	4.753273e-10	4.055616e-10
3.032000e+02	-6.324875e-11	4.055616e-10
3.097000e+02	9.141647e-10	4.055616e-10
3.161000e+02	-8.260100e-10	4.055616e-10
3.226000e+02	-2.294114e-10	4.055616e-10
3.291000e+02	-4.007574e-10	4.055616e-10
3.355000e+02	3.218190e-10	4.055616e-10
3.420000e+02	6.093078e-10	4.055616e-10
3.484000e+02	-5.031627e-10	4.055616e-10
3.549000e+02	6.535726e-10	4.055616e-10
