Averaged TEY data for bare Si BNL
Time(s)	MeanTEY	Std
0.000000e+00	1.836146e-06	2.094338e-08
1.112160e-01	1.840302e-06	6.220641e-08
2.184620e-01	1.924631e-06	9.955872e-08
3.266920e-01	1.753738e-06	5.083669e-08
4.349240e-01	1.870322e-06	3.765736e-08
5.421670e-01	1.926522e-06	6.956392e-08
6.503930e-01	1.832709e-06	5.917124e-08
7.596310e-01	1.897283e-06	5.702727e-08
8.678740e-01	1.851329e-06	1.962904e-09
9.760950e-01	1.901461e-06	6.424259e-08
1.082334e+00	1.790564e-06	6.259825e-08
1.192577e+00	1.945899e-06	1.231040e-07
1.299805e+00	1.779553e-06	6.373947e-08
1.408585e+00	1.889694e-06	7.373183e-08
1.515872e+00	1.917018e-06	1.906377e-08
1.628791e+00	1.811842e-06	2.712685e-09
1.736424e+00	1.863865e-06	2.892300e-08
1.843110e+00	1.853988e-06	7.658188e-09
1.951579e+00	1.888549e-06	4.981145e-08
2.059341e+00	1.795494e-06	8.727642e-08
2.166335e+00	1.945517e-06	1.143711e-07
2.274562e+00	1.773096e-06	7.323366e-08
2.382829e+00	1.893860e-06	3.082860e-08
2.493283e+00	1.815259e-06	3.092833e-09
2.600899e+00	1.883227e-06	1.943559e-08
2.741249e+00	1.822094e-06	6.132048e-09
2.851477e+00	1.859686e-06	2.094844e-08
2.958952e+00	1.884362e-06	7.665469e-09
3.068600e+00	1.806892e-06	5.689910e-08
3.175860e+00	1.922342e-06	5.551478e-08
3.284164e+00	1.814488e-06	4.474756e-08
3.395638e+00	1.872222e-06	4.790912e-08
3.504299e+00	1.822840e-06	4.702330e-08
3.612507e+00	1.892339e-06	2.171610e-08
3.722889e+00	1.813728e-06	4.702549e-08
3.831752e+00	1.897282e-06	5.171195e-08
3.938635e+00	1.851705e-06	1.132648e-08
4.046792e+00	1.810313e-06	3.981258e-08
4.155355e+00	1.886652e-06	5.854381e-08
4.262456e+00	1.828536e-06	4.512352e-08
4.369371e+00	1.847157e-06	2.056610e-08
4.476092e+00	1.808034e-06	4.133162e-08
4.583497e+00	1.912093e-06	6.424514e-08
4.690570e+00	1.795498e-06	6.981080e-08
4.798634e+00	1.850956e-06	3.119765e-08
4.909373e+00	1.861960e-06	3.483946e-09
5.019006e+00	1.855125e-06	1.203978e-09
5.128774e+00	1.847918e-06	2.967902e-08
5.236023e+00	1.839936e-06	5.634063e-09
5.346433e+00	1.838040e-06	3.857541e-09
5.454097e+00	1.844108e-06	2.575576e-08
5.562502e+00	1.896526e-06	6.386149e-08
5.671779e+00	1.797022e-06	4.930782e-08
5.779384e+00	1.879054e-06	3.955787e-08
5.888279e+00	1.843739e-06	1.714838e-08
5.996395e+00	1.868040e-06	2.246952e-08
6.105752e+00	1.858542e-06	8.248795e-10
6.212837e+00	1.878290e-06	1.905448e-08
6.320516e+00	1.858160e-06	8.667271e-09
6.435368e+00	1.839177e-06	4.115162e-09
6.542745e+00	1.900696e-06	3.690481e-08
6.651312e+00	1.827403e-06	2.272277e-08
6.758309e+00	1.870699e-06	2.892464e-08
6.868014e+00	1.838798e-06	3.735924e-09
6.976256e+00	1.883987e-06	2.702941e-08
7.083475e+00	1.827404e-06	1.664762e-08
7.191076e+00	1.909431e-06	4.715880e-08
7.300297e+00	1.831578e-06	2.993550e-08
7.407933e+00	1.863857e-06	5.248411e-09
7.517581e+00	1.891575e-06	1.971963e-09
7.628819e+00	1.818677e-06	4.992064e-09
7.737511e+00	1.897270e-06	6.843301e-10
7.846906e+00	1.842974e-06	4.874088e-09
7.957230e+00	1.886259e-06	1.212031e-09
8.067213e+00	1.816768e-06	3.867186e-08
8.177472e+00	1.906770e-06	3.386928e-08
8.285881e+00	1.822457e-06	6.183136e-08
8.392799e+00	1.887777e-06	1.825771e-09
8.500590e+00	1.868788e-06	2.081444e-08
8.608872e+00	1.851707e-06	2.214336e-09
8.717009e+00	1.861204e-06	1.639332e-08
8.827324e+00	1.875250e-06	7.663285e-09
8.936010e+00	1.897651e-06	7.288737e-09
9.043331e+00	1.842978e-06	1.259154e-08
9.153647e+00	1.896514e-06	1.678111e-08
9.262219e+00	1.833097e-06	2.841664e-08
9.369965e+00	1.895375e-06	1.716017e-08
9.477292e+00	1.870304e-06	3.524212e-08
9.584776e+00	1.893101e-06	3.158767e-08
9.694515e+00	1.847908e-06	1.132739e-08
9.804276e+00	1.867658e-06	1.677419e-08
9.912098e+00	1.861201e-06	4.243011e-09
1.002135e+01	1.839932e-06	2.309910e-08
1.012791e+01	1.868035e-06	2.725567e-09
1.023558e+01	1.833861e-06	9.431754e-09
1.034326e+01	1.866133e-06	1.132243e-08
1.045435e+01	1.836900e-06	3.356461e-09
1.056127e+01	1.848298e-06	2.929919e-08
1.066859e+01	1.842589e-06	2.651596e-08
1.077454e+01	1.866519e-06	1.791309e-08
1.088289e+01	1.887398e-06	2.205191e-09
1.099069e+01	1.852842e-06	2.157751e-08
1.109767e+01	1.876010e-06	1.146088e-08
1.120689e+01	1.854751e-06	2.588324e-08
1.131496e+01	1.888165e-06	3.348549e-08
1.142268e+01	1.875240e-06	3.258269e-08
1.153039e+01	1.863478e-06	1.831596e-09
1.163862e+01	1.870307e-06	1.853575e-08
1.174659e+01	1.846011e-06	1.018868e-08
1.185651e+01	1.860821e-06	8.254256e-10
1.196375e+01	1.835382e-06	1.959081e-09
1.207242e+01	1.832348e-06	1.486732e-08
1.218309e+01	1.866513e-06	9.423926e-09
1.229217e+01	1.828933e-06	2.663630e-08
1.240274e+01	1.827406e-06	1.133230e-08
1.251123e+01	1.882080e-06	1.131920e-08
1.262266e+01	1.834619e-06	1.246915e-08
1.273333e+01	1.862715e-06	1.549999e-08
1.284190e+01	1.862724e-06	2.018992e-08
1.294927e+01	1.819442e-06	3.081076e-08
1.305831e+01	1.870311e-06	6.386028e-09
1.316476e+01	1.869556e-06	1.487624e-08
1.327575e+01	1.884366e-06	2.057443e-08
1.338460e+01	1.867272e-06	1.094283e-08
1.349368e+01	1.874113e-06	1.335884e-08
1.360198e+01	1.864993e-06	1.322170e-08
1.371035e+01	1.877530e-06	1.373898e-08
1.381909e+01	1.852846e-06	2.593392e-09
1.392659e+01	1.857779e-06	1.436201e-08
1.403735e+01	1.852469e-06	6.139330e-09
1.414635e+01	1.875253e-06	1.905376e-08
1.425416e+01	1.847529e-06	1.170681e-08
1.436265e+01	1.865756e-06	1.071214e-09
1.447263e+01	1.865383e-06	2.512654e-08
1.458088e+01	1.874112e-06	1.259900e-08
1.468917e+01	1.872216e-06	2.285044e-08
1.479677e+01	1.846766e-06	2.385730e-08
1.490558e+01	1.871456e-06	1.753435e-08
1.501552e+01	1.846011e-06	7.151101e-09
1.512248e+01	1.879044e-06	7.523099e-09
1.523039e+01	1.874116e-06	2.854613e-08
1.533808e+01	1.855500e-06	2.347528e-08
1.544651e+01	1.873732e-06	9.182004e-09
1.555376e+01	1.868034e-06	1.207073e-09
1.566068e+01	1.850946e-06	8.289082e-09
1.577054e+01	1.846770e-06	6.391672e-09
1.587914e+01	1.869935e-06	1.145942e-08
1.598741e+01	1.841069e-06	3.410997e-08
1.609629e+01	1.868790e-06	1.549853e-08
1.620373e+01	1.880184e-06	1.969233e-09
