Averaged ion signal for bare Si BNL, m/z=183
Time (s)	Mean Ion Signal (Torr)	Std (Torr)
0.000000e+00	-1.950269e-12	4.550172e-12
6.500000e+00	-7.122975e-12	1.501020e-11
1.290000e+01	6.469211e-12	7.903629e-12
1.940000e+01	2.407553e-13	1.803590e-12
2.580000e+01	-2.954809e-12	7.243414e-12
3.230000e+01	9.555735e-12	1.800633e-12
3.880000e+01	-6.335777e-12	1.337391e-11
4.520000e+01	-3.952785e-12	1.036482e-11
5.170000e+01	7.827903e-12	5.013749e-12
5.810000e+01	3.681195e-12	8.737815e-13
6.460000e+01	-1.723552e-11	5.132694e-12
7.100000e+01	-1.228008e-11	7.913989e-12
7.750000e+01	6.511219e-12	7.001019e-12
8.390000e+01	-1.736545e-11	5.138904e-12
9.040000e+01	-1.444140e-11	4.866623e-12
9.680000e+01	-3.339865e-12	1.811653e-12
1.033000e+02	5.979179e-12	6.419066e-12
1.097000e+02	6.564615e-12	5.916890e-12
1.162000e+02	-3.976341e-12	6.845391e-12
1.226000e+02	1.322859e-11	9.850674e-13
1.291000e+02	-5.037361e-12	9.205348e-12
1.355000e+02	-6.959254e-13	1.439948e-11
1.420000e+02	7.536188e-13	1.389231e-11
1.484000e+02	-1.630945e-12	1.545518e-12
1.549000e+02	-9.542901e-12	5.301762e-12
1.613000e+02	-1.053402e-11	9.341611e-12
1.678000e+02	-8.623821e-12	1.213818e-11
1.742000e+02	-1.210009e-11	9.420496e-12
1.807000e+02	8.225559e-12	8.165177e-12
1.871000e+02	-1.125006e-12	1.102235e-11
1.936000e+02	-1.210526e-11	9.165934e-12
2.000000e+02	9.254474e-12	3.156190e-12
2.065000e+02	5.463018e-12	3.538591e-12
2.130000e+02	-1.452394e-12	1.397362e-11
2.194000e+02	-4.185017e-13	2.391952e-12
2.259000e+02	1.180319e-11	1.497267e-14
2.323000e+02	2.810978e-12	4.365495e-12
2.388000e+02	-5.296334e-12	8.845570e-12
2.452000e+02	-3.295542e-12	9.488963e-12
2.517000e+02	-1.451635e-11	7.476130e-13
2.581000e+02	-2.209091e-11	1.578630e-12
2.646000e+02	-5.294874e-12	8.542156e-12
2.710000e+02	-1.082028e-11	9.255577e-12
2.775000e+02	-1.473394e-12	3.821699e-12
2.839000e+02	-6.584752e-12	1.559132e-11
2.904000e+02	-6.560914e-12	1.090224e-11
2.968000e+02	-6.343672e-12	1.242384e-11
3.033000e+02	-8.778884e-12	7.309666e-12
3.097000e+02	2.127858e-12	2.254752e-12
3.162000e+02	-4.028954e-12	3.776327e-12
3.226000e+02	-1.467216e-11	2.482794e-12
3.291000e+02	2.314382e-12	3.926014e-12
3.355000e+02	6.185818e-12	6.997837e-12
3.420000e+02	-6.805138e-12	3.628444e-12
3.484000e+02	-1.547202e-12	8.603120e-12
3.549000e+02	-3.090708e-12	1.864015e-11
