Group Outgassing data bare Si BNL
Mass number	Avg Values (Torr)	Std Values (Torr)
1	2.645397e-11	2.645397e-11
2	4.958349e-10	3.797416e-12
3	1.698941e-12	1.698941e-12
4	0.000000e+00	0.000000e+00
5	0.000000e+00	0.000000e+00
6	2.502299e-12	2.502299e-12
7	0.000000e+00	0.000000e+00
8	1.221219e-12	1.007431e-12
9	9.013051e-13	9.013051e-13
10	1.435839e-12	1.435839e-12
11	4.814046e-12	2.590784e-12
12	3.233993e-12	3.233993e-12
13	3.746019e-12	1.972412e-12
14	7.077887e-12	6.787160e-12
15	3.675816e-11	2.968967e-12
16	2.745146e-11	1.709607e-12
17	3.484003e-11	4.323069e-12
18	6.941676e-13	6.941676e-13
19	1.816355e-12	1.816355e-12
20	2.600216e-12	2.600216e-12
21	0.000000e+00	0.000000e+00
22	1.706590e-12	1.706590e-12
23	9.950331e-13	9.950331e-13
24	3.022186e-12	7.479962e-13
25	2.665599e-13	2.665599e-13
26	4.601285e-12	4.601285e-12
27	6.150724e-12	6.150724e-12
28	5.362974e-11	1.095947e-11
29	1.387796e-11	1.828026e-12
30	3.765459e-12	7.314838e-13
31	7.082996e-12	4.401635e-12
32	0.000000e+00	0.000000e+00
33	4.837846e-12	3.937297e-12
34	2.285216e-13	2.285216e-13
35	1.338983e-12	1.338983e-12
36	3.268891e-12	3.268891e-12
37	0.000000e+00	0.000000e+00
38	2.020340e-12	8.511953e-13
39	3.091455e-12	1.110167e-12
40	3.756733e-12	2.347736e-12
41	3.302092e-12	3.302092e-12
42	2.930336e-12	2.930336e-12
43	1.439702e-11	2.004602e-12
44	8.115957e-11	9.782074e-13
45	3.829965e-12	3.321652e-13
46	0.000000e+00	0.000000e+00
47	2.532757e-12	2.532757e-12
48	2.747651e-12	1.755505e-12
49	1.593629e-12	1.593629e-12
50	1.078036e-12	1.078036e-12
51	1.760403e-12	7.458227e-14
52	0.000000e+00	0.000000e+00
53	0.000000e+00	0.000000e+00
54	2.708713e-12	1.263766e-12
55	0.000000e+00	0.000000e+00
56	2.339187e-12	1.864456e-12
57	3.622341e-12	3.238818e-12
58	2.681148e-12	1.846947e-12
59	2.938451e-12	2.938451e-12
60	0.000000e+00	0.000000e+00
61	1.943052e-12	4.264760e-13
62	1.675355e-12	7.447288e-13
63	2.085508e-12	1.506545e-12
64	0.000000e+00	0.000000e+00
65	0.000000e+00	0.000000e+00
66	2.154420e-12	2.154420e-12
67	0.000000e+00	0.000000e+00
68	0.000000e+00	0.000000e+00
69	6.166607e-13	6.166607e-13
70	0.000000e+00	0.000000e+00
71	2.095623e-12	2.095623e-12
72	2.310473e-13	2.310473e-13
73	3.803191e-12	1.682016e-14
74	3.255361e-12	2.322384e-13
75	8.328234e-13	7.359494e-13
76	2.273889e-12	2.273889e-12
77	1.902398e-12	4.602773e-13
78	0.000000e+00	0.000000e+00
79	2.484922e-12	2.484922e-12
80	4.957724e-12	4.957724e-12
81	3.807191e-12	1.393135e-12
82	4.939102e-12	1.817161e-13
83	1.590043e-12	5.235587e-13
84	5.361727e-13	5.361727e-13
85	0.000000e+00	0.000000e+00
86	6.563560e-12	6.563560e-12
87	3.191503e-12	3.191503e-12
88	4.728796e-13	7.340172e-14
89	0.000000e+00	0.000000e+00
90	4.901269e-12	4.901269e-12
91	1.743240e-12	1.743240e-12
92	0.000000e+00	0.000000e+00
93	0.000000e+00	0.000000e+00
94	1.740309e-12	1.740309e-12
95	2.812505e-12	2.812505e-12
96	0.000000e+00	0.000000e+00
97	0.000000e+00	0.000000e+00
98	3.340571e-12	3.340571e-12
99	0.000000e+00	0.000000e+00
100	3.538162e-12	1.195049e-12
101	3.614673e-12	6.939592e-13
102	0.000000e+00	0.000000e+00
103	8.604863e-13	8.604863e-13
104	0.000000e+00	0.000000e+00
105	2.782342e-12	2.782342e-12
106	1.524845e-12	1.524845e-12
107	4.683586e-13	4.683586e-13
108	1.634862e-12	1.634862e-12
109	0.000000e+00	0.000000e+00
110	3.053229e-12	3.053229e-12
111	0.000000e+00	0.000000e+00
112	1.059101e-12	1.059101e-12
113	2.706513e-12	2.706513e-12
114	9.572575e-15	9.572575e-15
115	1.150873e-12	1.150873e-12
116	0.000000e+00	0.000000e+00
117	0.000000e+00	0.000000e+00
118	3.592634e-12	3.592634e-12
119	0.000000e+00	0.000000e+00
120	7.941645e-12	2.416655e-12
121	0.000000e+00	0.000000e+00
122	0.000000e+00	0.000000e+00
123	0.000000e+00	0.000000e+00
124	6.916532e-13	6.916532e-13
125	0.000000e+00	0.000000e+00
126	5.229789e-12	5.229789e-12
127	1.233920e-12	1.233920e-12
128	1.589395e-12	1.589395e-12
129	4.784417e-12	4.380723e-12
130	2.488919e-12	2.488919e-12
131	2.247929e-12	2.247929e-12
132	1.178412e-12	1.178412e-12
133	2.298901e-12	2.298901e-12
134	2.986389e-12	2.986389e-12
135	1.550971e-12	1.550971e-12
136	0.000000e+00	0.000000e+00
137	0.000000e+00	0.000000e+00
138	0.000000e+00	0.000000e+00
139	0.000000e+00	0.000000e+00
140	0.000000e+00	0.000000e+00
141	0.000000e+00	0.000000e+00
142	3.702464e-12	3.702464e-12
143	0.000000e+00	0.000000e+00
144	6.044520e-12	6.044520e-12
145	0.000000e+00	0.000000e+00
146	6.546688e-12	6.546688e-12
147	1.967570e-12	1.967570e-12
148	8.245806e-12	3.822348e-12
149	9.227444e-13	9.227444e-13
150	0.000000e+00	0.000000e+00
151	0.000000e+00	0.000000e+00
152	4.726360e-13	4.726360e-13
153	2.386617e-12	2.386617e-12
154	4.813829e-12	4.813829e-12
155	5.050699e-12	5.050699e-12
156	3.180534e-12	3.180534e-12
157	2.436390e-13	2.436390e-13
158	7.289442e-12	7.289442e-12
159	0.000000e+00	0.000000e+00
160	5.172426e-13	5.172426e-13
161	1.250667e-12	1.250667e-12
162	3.450959e-12	3.450959e-12
163	2.182803e-12	2.182803e-12
164	4.778355e-12	1.116800e-12
165	1.406482e-12	1.406482e-12
166	3.187834e-12	3.187834e-12
167	0.000000e+00	0.000000e+00
168	4.700483e-13	1.321252e-13
169	3.796832e-12	3.796832e-12
170	6.932418e-13	6.932418e-13
171	3.543133e-12	3.543133e-12
172	5.999406e-12	5.999406e-12
173	0.000000e+00	0.000000e+00
174	5.570722e-12	5.570722e-12
175	2.556425e-12	2.556425e-12
176	7.783020e-12	7.783020e-12
177	0.000000e+00	0.000000e+00
178	3.277561e-12	3.277561e-12
179	5.629371e-12	1.659206e-12
180	3.196977e-12	2.573016e-13
181	1.591488e-12	1.591488e-12
182	0.000000e+00	0.000000e+00
183	0.000000e+00	0.000000e+00
184	0.000000e+00	0.000000e+00
185	0.000000e+00	0.000000e+00
186	0.000000e+00	0.000000e+00
187	3.259587e-12	1.094463e-12
188	1.486927e-12	1.486927e-12
