Time	Averaged_Intensity	Std_Deviation
0.000000e+00	-1.258097e-09	4.164647e-11
6.500000e+00	1.167742e-10	2.794806e-11
1.290000e+01	-4.213967e-11	5.097138e-11
1.940000e+01	-2.186669e-11	9.120350e-11
2.580000e+01	-1.282174e-10	7.171203e-10
3.230000e+01	3.167717e-10	2.318363e-11
3.880000e+01	-2.580577e-10	6.405650e-10
4.520000e+01	2.138158e-10	9.021233e-10
5.170000e+01	-5.600342e-10	8.847384e-11
5.810000e+01	1.131923e-09	7.836568e-10
6.460000e+01	9.547374e-10	1.064137e-09
7.100000e+01	2.836026e-10	3.803671e-10
7.750000e+01	1.388561e-10	2.713817e-10
8.390000e+01	4.101849e-10	1.723868e-10
9.040000e+01	7.715969e-10	5.064937e-10
9.680000e+01	4.335745e-10	7.240120e-10
1.033000e+02	6.773238e-10	1.524275e-11
1.097000e+02	5.887517e-10	4.717730e-10
1.162000e+02	4.516167e-10	3.320408e-10
1.226000e+02	-3.016425e-11	3.453912e-10
1.291000e+02	3.327764e-10	5.142428e-10
1.355000e+02	5.966221e-10	5.728850e-10
1.420000e+02	-6.823286e-11	1.597861e-10
1.484000e+02	3.392905e-10	3.946012e-10
1.549000e+02	-1.918752e-10	3.638367e-10
1.613000e+02	3.671922e-10	6.763158e-11
1.678000e+02	-3.154246e-10	7.685681e-10
1.742000e+02	-2.605775e-11	2.516772e-10
1.807000e+02	7.291329e-10	7.872023e-10
1.871000e+02	6.119104e-10	8.784140e-11
1.936000e+02	4.141181e-10	3.282559e-10
2.000000e+02	-9.145731e-11	6.279038e-12
2.065000e+02	-1.970280e-10	1.219390e-10
2.130000e+02	-1.003398e-10	5.706316e-10
2.194000e+02	2.511752e-10	1.733472e-12
2.259000e+02	-7.933944e-11	2.002256e-10
2.323000e+02	7.506374e-10	2.314003e-10
2.388000e+02	8.727359e-10	6.830724e-10
2.452000e+02	5.844350e-11	5.160627e-10
2.517000e+02	6.754512e-10	9.982677e-10
2.581000e+02	4.576935e-11	5.002934e-10
2.646000e+02	7.266953e-10	2.904743e-10
2.710000e+02	9.666419e-10	4.183317e-10
2.775000e+02	3.624813e-10	1.302369e-09
2.839000e+02	-1.478287e-10	1.527418e-10
2.904000e+02	7.665173e-10	2.263828e-10
2.968000e+02	4.151846e-10	8.505462e-11
3.033000e+02	3.760110e-10	6.212071e-10
3.097000e+02	6.446901e-10	3.810946e-10
3.162000e+02	-1.480835e-10	9.587329e-10
3.226000e+02	1.260395e-11	3.422614e-10
3.291000e+02	-5.564060e-11	4.880689e-10
3.355000e+02	1.434845e-10	2.522031e-10
3.420000e+02	2.799092e-10	4.658400e-10
3.484000e+02	-3.510175e-10	2.151657e-10
3.549000e+02	1.084579e-10	7.709087e-10
