sample spot	sample x	sample y	sample_name	"shutter open,s"	"mass range, amu"	group_name
A1	-15.8	44.8	P950 1	240	200	P950
A2	-4.6	44.8	P950 2	240	200	P950
A3	6.6	44.8	P35 1	240	200	P35
A4	17.8	44.8	P35 2	240	200	P35
A5	29	33.6	CP8.5 1	240	200	CP8.5
A6	17.8	33.6	CP8.5 2	240	200	CP8.5
A7	6.6	33.6	CP8.5H 1	240	200	CP8.5H
A8	-4.6	33.6	CP8.5H 2	240	200	CP8.5H
A9	-15.8	33.6	CP33 1	240	200	CP33
A10	-27	33.6	CP33 2	240	200	CP33
A11	-38.2	22.4	CP33H 1	240	200	CP33H
A12	-27	22.4	CP33H 2	240	200	CP33H
A13	-15.8	22.4	ZEP 1	240	200	ZEP
A14	-4.6	22.4	ZEP 2	240	200	ZEP
A15	6.6	22.4	CSAR 1	240	200	CSAR
A16	17.8	22.4	CSAR 2	240	200	CSAR
A17	29	22.4	G 1	240	200	G
A18	40.2	22.4	G 2	240	200	G
A19	40.2	11.2	GH 1	240	200	GH
A20	29	11.2	GH 2	240	200	GH
A21	17.8	11.2	PHEMA 1	240	200	PHEMA
A22	6.6	11.2	PHEMA 2	240	200	PHEMA
A23	-4.6	11.2	PS 1	240	200	PS
A24	-15.8	11.2	PS 2	240	200	PS
A25	-27	11.2	PEG 1	240	200	PEG
A26	-38.2	11.2	PEG 2	240	200	PEG
A27	-38.2	0	P4VP 1	240	200	P4VP
A28	-27	0	P4VP 2	240	200	P4VP
A29	-15.8	0	P2VP 1	240	200	P2VP
A30	6.6	0	P2VP 2	240	200	P2VP
A31	17.8	0	SU8 1	240	200	SU8
A32	29	0	SU8 2	240	200	SU8
A33	40.2	0	P950-AlO2 1	240	200	P950-AlO2
A34	40.2	-11.2	P950-AlO2 2	240	200	P950-AlO2
A35	29	-11.2	P950-AlO4 1	240	200	P950-AlO4
A36	17.8	-11.2	P950-AlO4 2	240	200	P950-AlO4
A37	6.6	-11.2	P950-InO2 1	240	200	P950-InO2
A38	-4.6	-11.2	P950-InO2 2	240	200	P950-InO2
A39	-15.8	-11.2	P950-InO4 1	240	200	P950-InO4
A40	-27	-11.2	P950-InO4 2	240	200	P950-InO4
A41	-38.2	-11.2	P950-Hf10x4 1	240	200	P950-Hf10x4
A42	-27	-22.4	P950-Hf10x4 2	240	200	P950-Hf10x4
A43	-15.8	-22.4	P950-Hf15x1 1	240	200	P950-Hf15x1
A44	-4.6	-22.4	P950-Hf15x1 2	240	200	P950-Hf15x1
A46	17.8	-22.4	bare Si BNL 1	240	200	bare Si BNL
A47	29	-22.4	bare Si BNL 2	240	200	bare Si BNL
A49	6.6	-33.6	bare Si	240	200	bare Si
